AUTO,TIME,BOARD
false,0.41,-------- bbbbbbbb bbbbbbbb -------- w------- -wwwwwww wwwwwwww --------
false,2.32,-------- bbbbbbbb b-bbbbbb -b------ w------- -wwwwwww wwwwwwww --------
false,1.06,-------- bbbbbbbb b-bbbbbb -b------ -w------ -wwwwwww wwwwwwww --------
false,2.09,-------- b-bbbbbb bbbbbbbb -b------ -w------ -wwwwwww wwwwwwww --------
false,0.79,-------- b-bbbbbb bbbbbbbb -b------ w------- -wwwwwww wwwwwwww --------
false,7.03,-------- -bbbbbbb bbbbbbbb -b------ w------- -wwwwwww wwwwwwww --------
false,2.21,-------- -bbbbbbb bbbbbbbb -b------ -w------ -wwwwwww wwwwwwww --------
false,5.63,-------- -bbbbbbb bbbbbbbb --b----- -w------ -wwwwwww wwwwwwww --------
false,1.59,-------- -bbbbbbb bbbbbbbb --b----- w------- -wwwwwww wwwwwwww --------
false,5.84,-------- b-bbbbbb bbbbbbbb --b----- w------- -wwwwwww wwwwwwww --------
false,2.23,-------- b-bbbbbb bbbbbbbb --b----- -w------ -wwwwwww wwwwwwww --------
false,5.65,-------- b-bbbbbb bbbbbbbb ---b---- -w------ -wwwwwww wwwwwwww --------
false,1.58,-------- b-bbbbbb bbbbbbbb ---b---- w------- -wwwwwww wwwwwwww --------
false,4.91,-------- -bbbbbbb bbbbbbbb ---b---- w------- -wwwwwww wwwwwwww --------
false,1.63,-------- -bbbbbbb bbbbbbbb w--b---- -------- -wwwwwww wwwwwwww --------
true,0.0,-------- -bbbbbbb -bbbbbbb ---b---- b------- -wwwwwww wwwwwwww --------
false,2.24,-------- -bbbbbbb -bbbbbbb ---b---- bw------ --wwwwww wwwwwwww --------
true,0.0,-------- -bbbbbbb -bbbbbbb ---b---- --b----- --wwwwww wwwwwwww --------
true,0.0,-------- -bbbbbbb -bbbbbbb ----w--- -------- ---wwwww wwwwwwww --------
true,0.0,-------- -bbbbbbb -bbb-bbb -------- ----b--- ---wwwww wwwwwwww --------
true,0.0,-------- -bbbbbbb -bbb-bbb ----w--- -------- ---w-www wwwwwwww --------
false,4.64,-------- b-bbbbbb -bbb-bbb ----w--- -------- ---w-www wwwwwwww --------
false,0.71,-------- b-bbbbbb -bbb-bbb ---w---- -------- ---w-www wwwwwwww --------
true,0.0,-------- b-bbbbbb -bb--bbb -------- ---b---- ---w-www wwwwwwww --------
true,0.0,-------- b-bbbbbb -bb--bbb ---w---- -------- -----www wwwwwwww --------
false,3.02,-------- --bbbbbb bbb--bbb ---w---- -------- -----www wwwwwwww --------
false,1.09,-------- --bbbbbb bbb--bbb ----w--- -------- -----www wwwwwwww --------
false,2.41,-------- -b-bbbbb bbb--bbb ----w--- -------- -----www wwwwwwww --------
false,1.15,-------- -b-bbbbb bbb--bbb ---w---- -------- -----www wwwwwwww --------
false,3.03,-------- b--bbbbb bbb--bbb ---w---- -------- -----www wwwwwwww --------
false,1.07,-------- b--bbbbb bbb--bbb ----w--- -------- -----www wwwwwwww --------
false,2.01,-------- b--bbbbb bbb--bb- ----w--b -------- -----www wwwwwwww --------
false,1.73,-------- b--bbbbb bbb--bb- ---w---b -------- -----www wwwwwwww --------
false,5.27,-------- -b-bbbbb bbb--bb- ---w---b -------- -----www wwwwwwww --------
false,1.66,-------- -b-bbbbb bbb--bb- ----w--b -------- -----www wwwwwwww --------
false,6.68,-------- -b-bbbbb bbb--b-- ----w-bb -------- -----www wwwwwwww --------
false,1.33,-------- -b-bbbbb bbb-wb-- ------bb -------- -----www wwwwwwww --------
false,0.69,-------- -b-b-bbb bbb--b-- ----b-bb -------- -----www wwwwwwww --------
false,2.00,-------- -b-b-bbb bbb--b-- ----b-bb -----w-- ------ww wwwwwwww --------
false,8.67,-------- b--b-bbb bbb--b-- ----b-bb -----w-- ------ww wwwwwwww --------
false,2.60,-------- b--b-bbb bbb--b-- ----b-bb ------w- ------ww wwwwwwww --------
false,7.63,-------- b--b-b-b bbb--bb- ----b-bb ------w- ------ww wwwwwwww --------
false,2.74,-------- b--b-b-b bbb--bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,7.28,-------- -b-b-b-b bbb--bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,2.62,-------- -b-b-b-b bbb--bb- ----b-bb ------w- ------ww wwwwwwww --------
false,5.96,-------- --bb-b-b bbb--bb- ----b-bb ------w- ------ww wwwwwwww --------
false,2.14,-------- --bb-b-b bbb--bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,6.61,-------- --b--b-b bbbb-bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,2.58,-------- --b--b-b bbbb-bb- ----b-bb ------w- ------ww wwwwwwww --------
false,5.65,-------- -b---b-b bbbb-bb- ----b-bb ------w- ------ww wwwwwwww --------
false,2.48,-------- -b---b-b bbbb-bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,6.86,-------- b----b-b bbbb-bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,2.29,-------- b----b-b bbbb-bb- ----b-bb ------w- ------ww wwwwwwww --------
false,4.60,-------- b---b--b bbbb-bb- ----b-bb ------w- ------ww wwwwwwww --------
false,2.18,-------- b---b--b bbbb-bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,7.66,-------- -b--b--b bbbb-bb- ----b-bb -----w-- ------ww wwwwwwww --------
false,2.59,-------- -b--b--b bbbb-bb- ----b-bb ------w- ------ww wwwwwwww --------
false,5.44,-------- -b--b--b bbbb-bb- ----bb-b ------w- ------ww wwwwwwww --------
false,2.46,-------- -b--b--b bbbb-bb- ----bb-b -------w ------ww wwwwwwww --------
false,5.89,-------- -b--b--- bbbb-bbb ----bb-b -------w ------ww wwwwwwww --------
false,1.33,-------- -b--b--- bbbb-bbb ----bb-b ------w- ------ww wwwwwwww --------
false,3.13,-------- b---b--- bbbb-bbb ----bb-b ------w- ------ww wwwwwwww --------
false,1.28,-------- b---b--- bbbb-bbb ----bbwb -------- ------ww wwwwwwww --------
true,0.0,-------- b---b--- bbbb-b-b ----bb-b ------b- ------ww wwwwwwww --------
true,0.0,-------- b---b--- bbbb-b-b ----bbwb -------- -------w wwwwwwww --------
false,5.26,-------- -b--b--- bbbb-b-b ----bbwb -------- -------w wwwwwwww --------
false,1.80,-------- -b--b--- bbbb-bwb ----bb-b -------- -------w wwwwwwww --------
false,1.47,-------- -b-b---- bbbb-bwb ----bb-b -------- -------w wwwwwwww --------
true,0.0,-------- -b-b---- bbbbw--b ----bb-b -------- -------w wwwwwwww --------
true,0.0,-------- -b-b---- bbb--b-b ----bb-b -------- -------w wwwwwwww --------
false,2.95,-------- -b-b---- bbb--b-b ----bb-b -------- ------w- wwwwwwww --------
false,9.84,-------- b--b---- bbb--b-b ----bb-b -------- ------w- wwwwwwww --------
false,2.77,-------- b--b---- bbb--b-b ----bb-b -------- -----w-- wwwwwwww --------
false,12.88,-------- -b-b---- bbb--b-b ----bb-b -------- -----w-- wwwwwwww --------
false,2.56,-------- -b-b---- bbb--b-b ----bb-b -------- ----w--- wwwwwwww --------
false,10.43,-------- b--b---- bbb--b-b ----bb-b -------- ----w--- wwwwwwww --------
false,2.14,-------- b--b---- bbb--b-b ----bb-b -------- ---w---- wwwwwwww --------
false,4.19,-------- -b-b---- bbb--b-b ----bb-b -------- ---w---- wwwwwwww --------
false,1.77,-------- -b-b---- bbb--b-b ----bb-b -------- --w----- wwwwwwww --------
false,4.11,-------- b--b---- bbb--b-b ----bb-b -------- --w----- wwwwwwww --------
false,1.25,-------- b--b---- bbb--b-b ----bb-b --w----- -------- wwwwwwww --------
false,3.91,-------- -b-b---- bbb--b-b ----bb-b --w----- -------- wwwwwwww --------
false,2.21,-------- -b-b---- bbb--b-b ----bb-b -w------ -------- wwwwwwww --------
false,4.03,-------- b--b---- bbb--b-b ----bb-b -w------ -------- wwwwwwww --------
false,1.45,-------- b--b---- bbb--b-b ----bb-b w------- -------- wwwwwwww --------
false,3.33,-------- -b-b---- bbb--b-b ----bb-b w------- -------- wwwwwwww --------
false,1.87,-------- -b-b---- bbb--b-b ----bb-b w------- -------w wwwwwww- --------
false,5.08,-------- b--b---- bbb--b-b ----bb-b w------- -------w wwwwwww- --------
false,2.33,-------- b--b---- bbb--b-b ----bb-b -w------ -------w wwwwwww- --------
false,4.71,-------- -b-b---- bbb--b-b ----bb-b -w------ -------w wwwwwww- --------
false,2.04,-------- -b-b---- bbb--b-b ----bb-b -w------ -------w wwwwww-w --------
false,5.31,-------- b--b---- bbb--b-b ----bb-b -w------ -------w wwwwww-w --------
false,2.03,-------- b--b---- bbb--b-b ----bb-b w------- -------w wwwwww-w --------
false,4.84,-------- -b-b---- bbb--b-b ----bb-b w------- -------w wwwwww-w --------
false,2.00,-------- -b-b---- bbb--b-b ----bb-b w------- -------w wwwww-ww --------
false,4.63,-------- b--b---- bbb--b-b ----bb-b w------- -------w wwwww-ww --------
false,2.28,-------- b--b---- bbb--b-b ----bb-b -w------ -------w wwwww-ww --------
false,3.91,-------- -b-b---- bbb--b-b ----bb-b -w------ -------w wwwww-ww --------
false,2.07,-------- -b-b---- bbb--b-b ----bb-b -w------ ------ww wwwww--w --------
false,5.61,-------- b--b---- bbb--b-b ----bb-b -w------ ------ww wwwww--w --------
false,1.95,-------- b--b---- bbb--b-b ----bb-b w------- ------ww wwwww--w --------
false,10.99,-------- -b-b---- bbb--b-b ----bb-b w------- ------ww wwwww--w --------
false,4.98,-------- -b-b---- bbb--b-b ----bb-b w------- ------ww wwwww-w- --------
false,12.48,-------- b--b---- bbb--b-b ----bb-b w------- ------ww wwwww-w- --------
false,5.35,-------- b--b---- bbb--b-b ----bb-b -w------ ------ww wwwww-w- --------
false,12.53,-------- -b-b---- bbb--b-b ----bb-b -w------ ------ww wwwww-w- --------
false,4.95,-------- -b-b---- bbb--b-b ----bb-b -w------ ------ww wwwwww-- --------
false,13.89,-------- b--b---- bbb--b-b ----bb-b -w------ ------ww wwwwww-- --------
false,4.63,-------- b--b---- bbb--b-b ----bb-b w------- ------ww wwwwww-- --------
false,13.67,-------- -b-b---- bbb--b-b ----bb-b w------- ------ww wwwwww-- --------
false,4.52,-------- -b-b---- bbb--b-b ----bb-b w------- -----www wwwww--- --------
false,9.18,-------- b--b---- bbb--b-b ----bb-b w------- -----www wwwww--- --------
false,4.88,-------- b--b---- bbb--b-b ----bb-b -w------ -----www wwwww--- --------
false,9.73,-------- -b-b---- bbb--b-b ----bb-b -w------ -----www wwwww--- --------
false,4.25,-------- -b-b---- bbb--b-b ----bb-b -w------ -----www wwww-w-- --------
false,14.24,-------- b--b---- bbb--b-b ----bb-b -w------ -----www wwww-w-- --------
false,5.10,-------- b--b---- bbb--b-b ----bb-b w------- -----www wwww-w-- --------
false,13.40,-------- -b-b---- bbb--b-b ----bb-b w------- -----www wwww-w-- --------
false,3.73,-------- -b-b---- bbb--b-b ----bb-b w------- -----www wwww--w- --------
false,3.50,-------- b--b---- bbb--b-b ----bb-b w------- -----www wwww--w- --------
false,1.82,-------- b--b---- bbb--b-b ----bb-b -w------ -----www wwww--w- --------
false,4.20,-------- -b-b---- bbb--b-b ----bb-b -w------ -----www wwww--w- --------
false,1.62,-------- -b-b---- bbb--b-b ----bb-b -w------ -----www wwww---w --------
false,4.30,-------- b--b---- bbb--b-b ----bb-b -w------ -----www wwww---w --------
false,1.40,-------- b--b---- bbb--b-b ----bb-b w------- -----www wwww---w --------
false,3.99,-------- -b-b---- bbb--b-b ----bb-b w------- -----www wwww---w --------
false,1.42,-------- -b-b---- bbb--b-b ----bb-b w------- -----www www-w--w --------
false,4.35,-------- b--b---- bbb--b-b ----bb-b w------- -----www www-w--w --------
false,1.73,-------- b--b---- bbb--b-b ----bb-b -w------ -----www www-w--w --------
false,5.21,-------- -b-b---- bbb--b-b ----bb-b -w------ -----www www-w--w --------
false,1.88,-------- -b-b---- bbb--b-b ----bb-b -w------ -----www www--w-w --------
false,5.96,-------- b--b---- bbb--b-b ----bb-b -w------ -----www www--w-w --------
false,1.72,-------- b--b---- bbb--b-b ----bb-b w------- -----www www--w-w --------
false,5.10,-------- -b-b---- bbb--b-b ----bb-b w------- -----www www--w-w --------
false,1.57,-------- -b-b---- bbb--b-b ----bb-b w------- -----www www---ww --------
