AUTO,TIME,BOARD
false,0.46,-------- bbbbbbbb bbbbbbbb -------- ------w- wwwwww-w wwwwwwww --------
false,0.01,-------- bbbbbbbb bbbbbbb- -------b ------w- wwwwww-w wwwwwwww --------
false,0.40,-------- bbbbbbbb bbbbbbb- -------b w-----w- -wwwww-w wwwwwwww --------
false,0.02,-------- bbbbbbbb bbbbb-b- -----b-b w-----w- -wwwww-w wwwwwwww --------
false,0.44,-------- bbbbbbbb bbbbb-b- -----b-b w------w -wwwww-w wwwwwwww --------
false,0.02,-------- bbbbbbb- bbbbb-bb -----b-b w------w -wwwww-w wwwwwwww --------
false,0.40,-------- bbbbbbb- bbbbb-bb -----b-b w---w--w -www-w-w wwwwwwww --------
false,0.01,-------- bbbbbbb- bbbbb--b -----bbb w---w--w -www-w-w wwwwwwww --------
false,0.37,-------- bbbbbbb- bbbbb--b -----bbb w---w--w -www-www wwwwww-w --------
false,0.02,-------- bbbbbbb- bbb-b--b ---b-bbb w---w--w -www-www wwwwww-w --------
false,0.36,-------- bbbbbbb- bbb-b--b ---b-bbb w---w--w -wwwwwww wwww-w-w --------
false,0.01,-------- bbbbbbb- bb--b--b --bb-bbb w---w--w -wwwwwww wwww-w-w --------
false,0.35,-------- bbbbbbb- bb--b--b --bb-bbb w----w-w -wwwwwww wwww-w-w --------
false,0.01,-------- bbbbb-b- bb--bb-b --bb-bbb w----w-w -wwwwwww wwww-w-w --------
false,0.36,-------- bbbbb-b- bb--bb-b --bb-bbb w-----ww -wwwwwww wwww-w-w --------
false,0.02,-------- bbbbb--- bb--bbbb --bb-bbb w-----ww -wwwwwww wwww-w-w --------
false,0.39,-------- bbbbb--- bb--bbbb --bb-bbb w---w-ww -www-www wwww-w-w --------
false,0.01,-------- bbbbb--- b---bbbb -bbb-bbb w---w-ww -www-www wwww-w-w --------
false,0.31,-------- bbbbb--- b---bbbb -bbb-bbb -w--w-ww -www-www wwww-w-w --------
false,0.02,-------- b-bbb--- bb--bbbb -bbb-bbb -w--w-ww -www-www wwww-w-w --------
false,0.32,-------- b-bbb--- bb--bbbb -bbb-bbb -w--w-ww -wwww-ww wwww-w-w --------
false,0.01,-------- b-bbb--- -b--bbbb bbbb-bbb -w--w-ww -wwww-ww wwww-w-w --------
false,0.30,-------- b-bbb--- -b--bbbb bbbb-bbb -w-w--ww -wwww-ww wwww-w-w --------
false,0.01,-------- b-b-b--- -b-bbbbb bbbb-bbb -w-w--ww -wwww-ww wwww-w-w --------
false,0.31,-------- b-b-b--- -b-bbbbb bbbb-bbb --ww--ww -wwww-ww wwww-w-w --------
false,0.01,-------- b---b--- -bbbbbbb bbbb-bbb --ww--ww -wwww-ww wwww-w-w --------
false,0.31,-------- b---b--- -bbbbbbb bbbb-bbb --ww--ww -wwwwwww wwww---w --------
false,0.01,-------- b---b--- -bbbbbbb -bbb-bbb b-ww--ww -wwwwwww wwww---w --------
false,0.34,-------- b---b--- -bbbbbbb -bbb-bbb b-ww--ww w-wwwwww wwww---w --------
false,0.01,-------- b---b--- -bbbbbbb b-bb-bbb b-ww--ww w-wwwwww wwww---w --------
false,0.35,-------- b---b--- -bbbbbbb b-bb-bbb b-w-w-ww w-wwwwww wwww---w --------
false,0.01,-------- b---b--- --bbbbbb bbbb-bbb b-w-w-ww w-wwwwww wwww---w --------
false,0.30,-------- b---b--- --bbbbbb bbbb-bbb b-w-w-ww -wwwwwww wwww---w --------
false,0.02,-------- ----b--- b-bbbbbb bbbb-bbb b-w-w-ww -wwwwwww wwww---w --------
false,0.30,-------- ----b--- b-bbbbbb bbbb-bbb b-w-w-ww w-wwwwww wwww---w --------
false,0.02,-------- ----b--- b-bbbbbb b-bb-bbb bbw-w-ww w-wwwwww wwww---w --------
false,0.30,-------- ----b--- b-bbbbbb b-bbwbbb bbw---ww w-wwwwww wwww---w --------
true,0.0,-------- ----b--- b-bb-bbb b-bb-bbb bbw---ww w-ww-www wwwwb--w --------
true,0.0,-------- ----b--- b-bb-bbb b-bb-bbb bbw---ww w-ww-www www--w-w --------
true,0.0,-------- ----b--- b-bb-bbb b-bb-bbb b-----ww w-w--www wwwb-w-w --------
true,0.0,-------- ----b--- b-bb-bbb b-bb-bbb b-----ww w-w--www ww--ww-w --------
false,0.02,-------- ----b--- b-bb-bbb b-b--bbb b--b--ww w-w--www ww--ww-w --------
false,0.29,-------- ----b--- b-bb-bbb b-b--bbb b--b--ww w-w--www ww--w-ww --------
false,0.01,-------- ----b--- b-b--bbb b-bb-bbb b--b--ww w-w--www ww--w-ww --------
false,0.28,-------- ----b--- b-b--bbb b-bb-bbb b--b--ww w-w-wwww ww----ww --------
false,0.02,-------- ----b--- b-b--bbb b-bb-bbb b-----ww w-wbwwww ww----ww --------
false,0.28,-------- ----b--- b-b--bbb b-bb-bbb b-----ww ww-bwwww ww----ww --------
false,0.02,-------- ----b--- b-b--bbb b-bb-bbb b-----ww ww--wwww ww-b--ww --------
