AUTO,TIME,BOARD
false,0.10,-------- bbbbbbbb bbbbbbbb -------- ------w- wwwwww-w wwwwwwww --------
false,3.19,-------- bbbbbbbb b-bbbbbb -b------ ------w- wwwwww-w wwwwwwww --------
false,0.09,-------- bbbbbbbb b-bbbbbb -b------ ------w- wwwwwwww wwwwww-w --------
false,3.13,-------- bbbbbbbb b-bb-bbb -b--b--- ------w- wwwwwwww wwwwww-w --------
false,0.09,-------- bbbbbbbb b-bb-bbb -b--b--- --w---w- ww-wwwww wwwwww-w --------
false,3.26,-------- bbbbbbbb b-bb-bbb --b-b--- --w---w- ww-wwwww wwwwww-w --------
false,0.09,-------- bbbbbbbb b-bb-bbb --b-b--- --w---w- w-wwwwww wwwwww-w --------
false,3.05,-------- bbbb-bbb b-bbbbbb --b-b--- --w---w- w-wwwwww wwwwww-w --------
false,0.09,-------- bbbb-bbb b-bbbbbb --b-b--- --w----w w-wwwwww wwwwww-w --------
false,2.93,-------- bbbb-bbb b-bbb-bb --b-bb-- --w----w w-wwwwww wwwwww-w --------
false,0.09,-------- bbbb-bbb b-bbb-bb --b-bb-- ---w---w w-wwwwww wwwwww-w --------
false,2.91,-------- bbbb-bbb --bbb-bb b-b-bb-- ---w---w w-wwwwww wwwwww-w --------
false,0.08,-------- bbbb-bbb --bbb-bb b-b-bb-- ---w---w ww-wwwww wwwwww-w --------
false,2.86,-------- bbbb-bbb --bbb-bb b-bb-b-- ---w---w ww-wwwww wwwwww-w --------
false,0.10,-------- bbbb-bbb --bbb-bb b-bb-b-- ---w---w wwwwwwww ww-www-w --------
false,2.82,-------- b-bb-bbb -bbbb-bb b-bb-b-- ---w---w wwwwwwww ww-www-w --------
false,0.08,-------- b-bb-bbb -bbbb-bb b-bb-b-- ---w---w wwwwwwww www-ww-w --------
false,2.81,-------- b-bb--bb -bbbbbbb b-bb-b-- ---w---w wwwwwwww www-ww-w --------
false,0.08,-------- b-bb--bb -bbbbbbb b-bb-b-- ---w---w wwwwwwww www-w-ww --------
false,2.74,-------- b-bb--bb -bbbbbbb b-bbb--- ---w---w wwwwwwww www-w-ww --------
false,0.08,-------- b-bb--bb -bbbbbbb b-bbb--- ---w--ww wwwwww-w www-w-ww --------
false,2.66,-------- -bbb--bb -bbbbbbb b-bbb--- ---w--ww wwwwww-w www-w-ww --------
false,0.09,-------- -bbb--bb -bbbbbbb b-bbb--- --w---ww wwwwww-w www-w-ww --------
false,2.68,-------- -bbb--bb -bbbb-bb b-bbbb-- --w---ww wwwwww-w www-w-ww --------
false,0.08,-------- -bbb--bb -bbbb-bb b-bbbb-- --w--w-w wwwwww-w www-w-ww --------
false,2.58,-------- -bbb--bb -bbbb--b b-bbbbb- --w--w-w wwwwww-w www-w-ww --------
true,0.0,-------- -bbb--bb -bbbbw-b b-bbb-b- --w----w wwwwww-w www-w-ww --------
true,0.0,-------- -bbb--bb -bbb--bb b-bbb-b- --w----w wwwwww-w www-w-ww --------
false,0.07,-------- -bbb--bb -bbb--bb b-bbb-b- --w--w-w wwwww--w www-w-ww --------
false,2.54,-------- -bbb--bb -bbb--bb b-bbb--b --w--w-w wwwww--w www-w-ww --------
