AUTO,TIME,BOARD
false,0.82,-------- bbbbbbbb bbbbbbbb -------- -w------ w-wwwwww wwwwwwww --------
false,0.00,-------- bbbbbbbb b-bbbbbb -b------ -w------ w-wwwwww wwwwwwww --------
true,0.0,-W------ b-bbbbbb b-bbbbbb -------- -------- w-wwwwww wwwwwwww --------
false,0.00,-W------ bb-bbbbb b-bbbbbb -------- -------- w-wwwwww wwwwwwww --------
false,0.76,-------- b--bbbbb b-bbbbbb -------- -W------ w-wwwwww wwwwwwww --------
false,0.00,-------- b--bbbbb b-bbb-bb -----b-- -W------ w-wwwwww wwwwwwww --------
false,0.74,-------- b--bbbbb b-bbb-bb -----b-- -----W-- w-wwwwww wwwwwwww --------
false,0.00,-------- b--bbbbb b-bbb-bb ----b--- -----W-- w-wwwwww wwwwwwww --------
true,0.0,-----W-- b--bb-bb b-bbb-bb ----b--- -------- w-wwwwww wwwwwwww --------
false,0.00,-----W-- -b-bb-bb b-bbb-bb ----b--- -------- w-wwwwww wwwwwwww --------
false,0.67,-----W-- -b-bb-bb b-bbb-bb ----b--- --w----- w--wwwww wwwwwwww --------
false,0.00,-----W-- b--bb-bb b-bbb-bb ----b--- --w----- w--wwwww wwwwwwww --------
false,0.67,-----W-- b--bb-bb b-bbb-bb ----b--- --w---w- w--www-w wwwwwwww --------
false,0.00,-----W-- b--bb-bb -bbbb-bb ----b--- --w---w- w--www-w wwwwwwww --------
false,0.61,-W------ b--bb-bb -bbbb-bb ----b--- --w---w- w--www-w wwwwwwww --------
false,0.00,-W------ b--b-bbb -bbbb-bb ----b--- --w---w- w--www-w wwwwwwww --------
true,0.0,-----W-- b--b--bb --bbb-bb -------- --w---w- w--www-w wwwwwwww --------
false,0.00,-----W-- b--b--bb -b-bb-bb -------- --w---w- w--www-w wwwwwwww --------
false,0.49,-----W-- b--b--bb -b-bb-bb --w----- ------w- w--www-w wwwwwwww --------
false,0.00,-----W-- b---b-bb -b-bb-bb --w----- ------w- w--www-w wwwwwwww --------
false,0.46,-----W-- b---b-bb -b-bb-bb --w----- ------ww w--www-- wwwwwwww --------
false,0.00,-----W-- b--b--bb -b-bb-bb --w----- ------ww w--www-- wwwwwwww --------
false,0.41,-----W-- b--b--bb -b-bb-bb --w----- ------ww w--www-w wwwwwww- --------
false,0.00,-----W-- b--b--bb -b-bbb-b --w----- ------ww w--www-w wwwwwww- --------
false,0.35,-------- b--b--bb -b-bb--b --w----- -----Www w--www-w wwwwwww- --------
false,0.00,-------- b-b---bb -b-bb--b --w----- -----Www w--www-w wwwwwww- --------
false,0.40,-------- b-b---bb -b-bb--b --w---w- -----W-w w--www-w wwwwwww- --------
false,0.00,-------- -bb---bb -b-bb--b --w---w- -----W-w w--www-w wwwwwww- --------
false,0.41,-------- -bb---bb -b-bb--b -w----w- -----W-w w--www-w wwwwwww- --------
true,0.0,-------- -bb---bb ---bb--b ------w- -b---W-w w--www-w wwwwwww- --------
true,0.0,-------- -bb---bb ---bb--b ------w- W------w w--www-w wwwwwww- --------
false,0.00,-------- -bb----b ---bb-bb ------w- W------w w--www-w wwwwwww- --------
true,0.0,-------- -bb---wb ---bb--b -------- W------w w--www-w wwwwwww- --------
true,0.0,-------- -bb--b-- ---bb--b -------- W------w w--www-w wwwwwww- --------
false,0.30,-------- -bb--b-- ---bb--b -------- ----W--w w--www-w wwwwwww- --------
false,0.00,-------- --b--b-- -b-bb--b -------- ----W--w w--www-w wwwwwww- --------
false,0.17,-------- --b----- -b-b---- -------W -------w w--www-w wwwwwww- --------
false,0.00,-------- -------- -bbb---- -------W -------w w--www-w wwwwwww- --------
false,0.13,-------- -------W -bbb---- -------- -------w w--www-w wwwwwww- --------
false,0.00,-------- -------W --bb---- -b------ -------w w--www-w wwwwwww- --------
false,0.13,-------- -------- --bb---W -b------ -------w w--www-w wwwwwww- --------
false,0.00,-------- -------- --bb---W b------- -------w w--www-w wwwwwww- --------
false,0.07,-------- -------- --bb--W- b------- -------w w--www-w wwwwwww- --------
false,0.00,-------- -------- --b-b-W- b------- -------w w--www-w wwwwwww- --------
true,0.0,-------- -------- -------- -------- W------w w--www-w wwwwwww- --------
