AUTO,TIME,BOARD
false,0.24,-------- bbbbbbbb bbbbbbbb -------- ------w- wwwwww-w wwwwwwww --------
false,0.21,-------- bbbbbbbb bbbbbbb- -------b ------w- wwwwww-w wwwwwwww --------
false,0.20,-------- bbbbbbbb bbbbbbb- -------b -------w wwwwww-w wwwwwwww --------
false,0.19,-------- bbbbbbb- bbbbbbbb -------b -------w wwwwww-w wwwwwwww --------
false,0.21,-------- bbbbbbb- bbbbbbbb -------b ----w--w wwww-w-w wwwwwwww --------
false,0.19,-------- bbbbbbb- -bbbbbbb b------b ----w--w wwww-w-w wwwwwwww --------
false,0.18,-------- bbbbbbb- -bbbbbbb b------b ---ww--w www--w-w wwwwwwww --------
false,0.17,-------- bbbbbbb- -bbbbb-b b-----bb ---ww--w www--w-w wwwwwwww --------
false,0.15,-------- bbbbbbb- -bbbbb-b b-----bb -w-ww--w w-w--w-w wwwwwwww --------
false,0.17,-------- -bbbbbb- bbbbbb-b b-----bb -w-ww--w w-w--w-w wwwwwwww --------
false,0.16,-------- -bbbbbb- bbbbbb-b b-----bb --www--w w-w--w-w wwwwwwww --------
false,0.15,-------- -bbbbbb- b-bbbb-b bb----bb --www--w w-w--w-w wwwwwwww --------
false,0.15,-------- -bbbbbb- b-bbbb-b bb----bb --www--w w-ww-w-w www-wwww --------
false,0.16,-------- -bbbbb-- b-bbbbbb bb----bb --www--w w-ww-w-w www-wwww --------
false,0.15,-------- -bbbbb-- b-bbbbbb bb----bb --www--w w-ww--ww www-wwww --------
false,0.18,-------- -bbbbb-- b-bbb-bb bb---bbb --www--w w-ww--ww www-wwww --------
false,0.15,-------- -bbbbb-- b-bbb-bb bb---bbb --www--w ww-w--ww www-wwww --------
false,0.14,-------- -bbbbb-- b-bbb-bb b-b--bbb --www--w ww-w--ww www-wwww --------
false,0.14,-------- -bbbbb-- b-bbb-bb b-b--bbb --www--w wwww--ww ww--wwww --------
false,0.15,-------- --bbbb-- bbbbb-bb b-b--bbb --www--w wwww--ww ww--wwww --------
false,0.14,-------- --bbbb-- bbbbb-bb b-b--bbb --www--w wwww-www ww--w-ww --------
false,0.14,-------- --bbbb-- bbbbb-bb b-b---bb --wwwb-w wwww-www ww--w-ww --------
false,0.17,-------- --bbbb-- bbbbb-bb b-b---bb --ww--ww wwww-www ww--w-ww --------
false,0.16,-------- --bbbb-- bbbbb-bb b--b--bb --ww--ww wwww-www ww--w-ww --------
false,0.15,-------- --bbbb-- bbbbb-bb b--b--bb -w-w--ww wwww-www ww--w-ww --------
false,0.15,-------- --bbb--- bbbbbbbb b--b--bb -w-w--ww wwww-www ww--w-ww --------
false,0.15,-------- --bbb--- bbbbbbbb b--b--bb -w-w--ww wwwwwwww ww----ww --------
false,0.15,-------- --bbb--- bb-bbbbb b-bb--bb -w-w--ww wwwwwwww ww----ww --------
false,0.14,-------- --bbb--- bb-bbbbb b-bb--bb --ww--ww wwwwwwww ww----ww --------
false,0.13,-------- --bbb--- bb-bbbbb bb-b--bb --ww--ww wwwwwwww ww----ww --------
false,0.14,-------- --bbb--- bb-bbbbb bb-b--bb -w-w--ww wwwwwwww ww----ww --------
false,0.15,-------- --bbb--- bb-bb-bb bb-b-bbb -w-w--ww wwwwwwww ww----ww --------
false,0.14,-------- --bbb--- bb-bb-bb bb-b-bbb -w-w--ww wwwwwwww w-w---ww --------
false,0.14,-------- --bbb--- bb-bb-bb bb-bb-bb -w-w--ww wwwwwwww w-w---ww --------
false,0.14,-------- --bbb--- bb-bb-bb bb-bb-bb -ww---ww wwwwwwww w-w---ww --------
false,0.15,-------- --bb-b-- bb-bb-bb bb-bb-bb -ww---ww wwwwwwww w-w---ww --------
false,0.16,-------- --bb-b-- bb-bb-bb bb-bb-bb -ww---ww wwwwwwww ww----ww --------
