AUTO,TIME,BOARD
false,0.26,-------- bbbbbbbb bbbbbbbb -------- ---w---- www-wwww wwwwwwww --------
false,0.03,-------- bbbbbbbb bbbbbbb- -------b ---w---- www-wwww wwwwwwww --------
false,0.22,-------- bbbbbbbb bbbbbbb- -------b --ww---- ww--wwww wwwwwwww --------
false,0.04,-------- bbbbbbbb bbbbbb-- ------bb --ww---- ww--wwww wwwwwwww --------
false,0.21,-------- bbbbbbbb bbbbbb-- ------bb --www--- ww---www wwwwwwww --------
false,0.04,-------- bbbbbbbb bbbbbb-- -------b --www-b- ww---www wwwwwwww --------
true,0.0,-------- bbbbbbbb bbbbbb-- ------wb --www--- ww---w-w wwwwwwww --------
true,0.0,-------- bbbbbbbb bbbbbb-- -----b-- --www--- ww---w-w wwwwwwww --------
false,0.21,-------- bbbbbbbb bbbbbb-- -----b-- -wwww--- w----w-w wwwwwwww --------
false,0.05,-------- bbbbbb-b bbbbbbb- -----b-- -wwww--- w----w-w wwwwwwww --------
false,0.20,-------- bbbbbb-b bbbbbbb- ---w-b-- -ww-w--- w----w-w wwwwwwww --------
true,0.0,-------- bbbbbb-b bbb-bbb- -----b-- -ww--b-- w----w-w wwwwwwww --------
false,0.17,-------- bbbbbb-b bbb-bbb- -----b-- -ww--b-- w-----ww wwwwwwww --------
false,0.06,-------- bbbbbb-b bbb-bb-- -----bb- -ww--b-- w-----ww wwwwwwww --------
false,0.21,-------- bbbbbb-b bbb-bb-- -----bb- www--b-- ------ww wwwwwwww --------
false,0.05,-------- bbbbbb-b bbb--b-- ----bbb- www--b-- ------ww wwwwwwww --------
false,0.20,-------- bbbbbb-b bbb--b-- ----bbb- www--b-- -----w-w wwwwwwww --------
false,0.06,-------- bbbbbb-b bbb--b-- ----bb-- www--bb- -----w-w wwwwwwww --------
false,0.17,-------- bbbbbb-b bbb--b-- ----bb-- www--bbw -----w-- wwwwwwww --------
false,0.07,-------- bbbbbb-b bbb--b-- ----b-b- www--bbw -----w-- wwwwwwww --------
false,0.15,-------- bbbbbb-b bbb--b-- ----b--w www---bw -------- wwwwwwww --------
false,0.03,-------- bbbbbb-b bbb--b-- -----b-w www---bw -------- wwwwwwww --------
true,0.0,-------- bbbbbb-b bbb--b-- -----b-w www--w-- -------- wwwwwwww --------
true,0.0,-------- bbbbbb-b bbb--b-- -------w www----- -------- wwwww-ww -----B--
false,0.15,-------- bbbbbb-b bbb--b-- -------w www----- ------w- wwwww--w -----B--
false,0.11,-------- bbbbbb-b bbb----- -----b-w www----- ------w- wwwww--w -----B--
false,0.17,-------- bbbbbb-b bbb----- -----b-w www----- ---w--w- www-w--w -----B--
false,0.13,-------- bbbbbb-b bbb----- -------w www--b-- ---w--w- www-w--w -----B--
false,0.14,-------- bbbbbb-b bbb----- -------w www--b-- ---w--ww www-w--- -----B--
false,0.12,-------- bbbbb--b bbb--b-- -------w www--b-- ---w--ww www-w--- -----B--
false,0.12,-------- bbbbb--b bbb--b-- -------w www--b-w ---w--w- www-w--- -----B--
false,0.18,-------- bbbbb--b bbb----- -----b-w www--b-w ---w--w- www-w--- -----B--
false,0.12,-------- bbbbb--b bbb----- -----b-w www--b-w ---ww-w- www----- -----B--
false,0.16,-------- bbbb---b bbb-b--- -----b-w www--b-w ---ww-w- www----- -----B--
false,0.12,-------- bbbb---b bbb-b--- -----b-w www--b-w ---ww--w www----- -----B--
false,0.08,-------- bbbb---b bbb-b--- -----b-w www--b-w ---ww--w www----- ------B-
false,0.13,-------- bbbb---b bbb-b--- -----b-w www--b-w --w-w--w www----- ------B-
false,0.09,-------- bbbb---b bbb-b--- ------bw www--b-w --w-w--w www----- ------B-
true,0.0,-------- bbbb---b bbb-b--- -----w-- www--b-w --w-w--w www----- ------B-
false,0.13,-------- bbbb---b bbb-b--- -----w-- www----w --w-wb-w www----- ------B-
true,0.0,-------- bbbb---b bbb-b--- -----w-- www----w --w---ww www----- ------B-
false,0.04,-------- bbbb---b bbb-b--- -------- -ww----w -----B-w www----- --------
false,0.09,-------- bbbb---b bbb-b--- -------- -ww---w- -----B-w www----- --------
false,0.11,-------- bbbb---b bbb----- ----b--- -ww---w- -----B-w www----- --------
false,0.10,-------- bbbb---b bbb----- ----b--- -w-w--w- -----B-w www----- --------
false,0.12,-------- bbbb---b bbb----- ----b--- -w-w--w- -B-----w www----- --------
false,0.08,-------- bbbb---b bbb----- ----b--- -w--w-w- -B-----w www----- --------
false,0.01,-------- bbbb---b bbb----- -------- -w----w- -B--b--w www----- --------
false,0.07,-------- bbbb---b bbb----- -------- -w----w- wB--b--w -ww----- --------
false,0.01,-------- bbbb---b bbb----- -B------ ------w- w---b--w -ww----- --------
false,0.06,-------- bbbb---b bbb----- -B------ ------w- w---b--w w-w----- --------
false,0.06,-------- bbbb---b bbb----- -B------ ------w- w------w w-w-b--- --------
false,0.07,-------- bbbb---b bbb----- -B------ ------w- w-----w- w-w-b--- --------
false,0.23,-------- bbbb---b bbb----- -B------ ------w- w-----w- w-w----- ----B---
false,0.06,-------- bbbb---b bbb----- -B------ ------w- w-----w- w--w---- ----B---
false,0.13,-------- bbbb---b bb------ -Bb----- ------w- w-----w- w--w---- ----B---
false,0.06,-------- bbbb---b bb------ -Bb---w- -------- w-----w- w--w---- ----B---
false,0.12,-------- bbbb---b bb------ -Bb---w- -------- w-----w- w--w---- ------B-
false,0.03,-------- bbbb---b bb------ -Bb----w -------- w-----w- w--w---- ------B-
false,0.02,------B- bbbb---b bb------ -Bb----w -------- w------- w--w---- --------
false,0.03,------B- bbbb---b bb------ -Bb----w -------- w------- w---w--- --------
false,0.09,------B- bbbb---b bb------ --b----w -------- w------- w---w--- -B------
false,0.04,------B- bbbb---b bb------ --b----w w------- -------- w---w--- -B------
false,0.27,------B- bbbb---b bb------ -------w w-b----- -------- w---w--- -B------
false,0.04,------B- bbbb---b bb------ -------w w-b----- -------- w----w-- -B------
false,0.19,------B- bbbb---b bb------ -------w w------- --b----- w----w-- -B------
false,0.03,------B- bbbb---b bb------ -------w w------- w-b----- -----w-- -B------
false,0.15,------B- bbbb---b bb------ -------w w------- w------- --b--w-- -B------
false,0.02,------B- bbbb---b bb------ w------w -------- w------- --b--w-- -B------
true,0.0,------B- bbbb---b -b------ -------w -------- -------- b-b--w-- -B------
false,0.01,------B- bbbb---b -b------ -------w -------- -----w-- b-b----- -B------
false,0.16,------B- bbbb---b -b------ -------w -------- -----w-- b------- -BB-----
false,0.00,------B- bbbb---b -b------ -------w -------- ----w--- b------- -BB-----
false,0.17,------B- bbbb---b -b------ -------w -------- ----w--- -------- BBB-----
false,0.01,------B- bbbb---b -b------ -------w -------- -----w-- -------- BBB-----
false,0.17,------B- bbbb---b -------- -b-----w -------- -----w-- -------- BBB-----
false,0.01,------B- bbbb---b -------w -b------ -------- -----w-- -------- BBB-----
true,0.0,------B- bbbb---- -------- -b-----b -------- -----w-- -------- BBB-----
