AUTO,TIME,BOARD
false,3.24,-------- bbbbbbbb bbbbbbbb -------- -----w-- wwwww-ww wwwwwwww --------
false,0.84,-------- bbbbbbbb bbbbbb-b ------b- -----w-- wwwww-ww wwwwwwww --------
false,3.15,-------- bbbbbbbb bbbbbb-b ------b- ------w- wwwww-ww wwwwwwww --------
false,0.84,-------- bbbbbbbb bbbbb-bb ------b- ------w- wwwww-ww wwwwwwww --------
false,3.18,-------- bbbbbbbb bbbbb-bb ------b- --w---w- ww-ww-ww wwwwwwww --------
false,0.79,-------- bbbbbbbb -bbbb-bb b-----b- --w---w- ww-ww-ww wwwwwwww --------
false,3.02,-------- bbbbbbbb -bbbb-bb b-----b- --ww--w- ww--w-ww wwwwwwww --------
false,0.73,-------- bbbbbbbb --bbb-bb bb----b- --ww--w- ww--w-ww wwwwwwww --------
false,2.72,-------- bbbbbbbb --bbb-bb bb----b- -w-w--w- ww--w-ww wwwwwwww --------
false,0.73,-------- bbbbbbbb --b-b-bb bb-b--b- -w-w--w- ww--w-ww wwwwwwww --------
true,0.0,-----W-- bbbbb-bb ------bb b--b--b- ---w--w- ww--w-ww wwwwwwww --------
true,0.0,-----W-- bbbbb-bb ------bb b-----b- ------w- ww----ww wwwww-ww -----B--
false,2.50,-------W bbbbb-bb ------bb b-----b- ------w- ww----ww wwwww-ww -----B--
false,0.59,-------W bbbbb-bb ------bb b-----b- ------w- ww----ww wwwww-ww -B------
false,2.37,-------W bbbbb-bb ------bb b-----b- -w----w- w-----ww wwwww-ww -B------
false,0.59,-------W bbbbb-bb -B----bb b-----b- ------w- w-----ww w-www-ww --------
false,2.26,W------- bbbbb-bb -B----bb b-----b- ------w- w-----ww w-www-ww --------
false,0.53,W------- -bbbb-bb bB----bb b-----b- ------w- w-----ww w-www-ww --------
false,2.20,W------- -bbbb-bb bB----bb b-----b- ------w- w-----ww -wwww-ww --------
true,0.0,W------- -bbbb-bb b-----bb b-----b- ------w- w-----ww --www-ww -B------
false,2.09,W------- -bbbb-bb b-----bb b-----b- w-----w- ------ww --www-ww -B------
true,0.0,W------- -bbbb-bb b-----bb ------b- ------w- b-----ww --www-ww -B------
false,2.02,-------- -bbbb-bb ------bb ------b- ------w- ------ww --www-ww ----W---
false,0.52,-------- -bbbb-bb ------bb -------b ------w- ------ww --www-ww ----W---
false,2.02,-------- -bbbb-bb ------bb -------b ------w- ------ww --www-ww -------W
false,0.51,-------- --bbb-bb -b----bb -------b ------w- ------ww --www-ww -------W
false,2.03,-------- --bbb-bb -b----bb ------wb -------- ------ww --www-ww -------W
false,0.51,-------- --bbb-bb -b----bb -----b-- -------- ------ww --www-ww -------W
false,2.08,-------- --bbb-bb -b----bb -----b-- -------w ------w- --www-ww -------W
false,0.50,-------- --bbb-bb -b----bb ------b- -------w ------w- --www-ww -------W
false,1.93,-------- --bbb-bb -b----bb ------b- ------ww -------- --www-ww -------W
true,0.0,-------- --bbb-bb -b----bb -------- -------w -------- --www--w ------BW
false,1.41,-W------ --bbb-bb ------bb -------- -------w -------- --www--w --------
false,0.33,-W------ --b-b-bb ---b--bb -------- -------w -------- --www--w --------
false,1.34,------W- --b-b-bb ---b--bb -------- -------w -------- --www--w --------
false,0.30,------W- --b-b-bb ---b---b ------b- -------w -------- --www--w --------
true,0.0,--W----- ----b--b -------b ------b- -------w -------- --www--w --------
false,0.19,--W----- ----b--b -------b -------b -------w -------- --www--w --------
false,0.68,--W----- ----b--b -------b -------b -------w -------w --www--- --------
false,0.16,--W----- ---b---b -------b -------b -------w -------w --www--- --------
false,0.63,---W---- ---b---b -------b -------b -------w -------w --www--- --------
false,0.12,---W---- ----b--b -------b -------b -------w -------w --www--- --------
false,0.62,-------W ----b--b -------b -------b -------w -------w --www--- --------
false,0.13,-------W ---b---b -------b -------b -------w -------w --www--- --------
false,0.60,-------W ---b---b -------b -------b -------w --w----w ---ww--- --------
false,0.13,-------W -------b ---b---b -------b -------w --w----w ---ww--- --------
false,0.54,-------W -------b ---b---b -------b -------w --ww---w ----w--- --------
false,0.12,-------W -------b -------b ---b---b -------w --ww---w ----w--- --------
false,0.51,-------W -------b -------b ---b---b --w----w ---w---w ----w--- --------
false,0.08,-------W ------b- -------b ---b---b --w----w ---w---w ----w--- --------
false,0.41,-------W ------b- -------b ---b---b --w----w --w----w ----w--- --------
false,0.08,-------W -------b -------b ---b---b --w----w --w----w ----w--- --------
false,0.44,-------W -------b -------b ---b---b --w----w --w-w--w -------- --------
false,0.08,-------W -------b -------b ----b--b --w----w --w-w--w -------- --------
false,0.47,-------W -------b -------b --w-b--b -------w --w-w--w -------- --------
false,0.09,-------W -------b -------b --w--b-b -------w --w-w--w -------- --------
false,0.48,-------W -------b -------b --w--b-b -------w --w--w-w -------- --------
false,0.09,-------W -------b -------b --w---bb -------w --w--w-w -------- --------
false,0.43,-------W -------b -------b --w---bb -------w --w---ww -------- --------
false,0.09,-------W -------b -------b --w--b-b -------w --w---ww -------- --------
false,0.43,-------W -------b -------b --w--b-b ------w- --w---ww -------- --------
false,0.07,-------W -------b -------b --w-b--b ------w- --w---ww -------- --------
false,0.43,-------W -------b -------b --w-b--b -----w-- --w---ww -------- --------
false,0.06,-------W ------b- -------b --w-b--b -----w-- --w---ww -------- --------
false,0.40,-------W ------b- -------b --w-b--b -----w-w --w---w- -------- --------
true,0.0,-------W ------b- -------b --w-b--- -----w-- --w--b-- -------- --------
true,0.0,-------- -------W -------- --w----- -----w-- --w----- -------- --------
