AUTO,TIME,BOARD
false,3.22,-------- bbbbbbbb bbbbbbbb -------- ------w- wwwwww-w wwwwwwww --------
false,0.19,-------- bbbbbbbb bb-bbbbb --b----- ------w- wwwwww-w wwwwwwww --------
false,3.14,-------- bbbbbbbb bb-bbbbb --b----- ----w-w- wwww-w-w wwwwwwww --------
false,0.20,-------- bbbbbbbb bb-bb-bb --b--b-- ----w-w- wwww-w-w wwwwwwww --------
false,3.29,-------- bbbbbbbb bb-bb-bb --b--b-- ----w-w- wwwwww-w wwww-www --------
false,0.20,-------- bbbbbbbb -b-bb-bb b-b--b-- ----w-w- wwwwww-w wwww-www --------
false,2.94,-------- bbbbbbbb -b-bb-bb b-b--b-- ----ww-- wwwwww-w wwww-www --------
false,0.18,-------- bbbbbbbb -b-b-bbb b-b--b-- ----ww-- wwwwww-w wwww-www --------
false,2.95,-------- bbbbbbbb -b-b-bbb b-b--b-- ---www-- www-ww-w wwww-www --------
false,0.17,-------- bbbbbbbb -b-b-bbb bb---b-- ---www-- www-ww-w wwww-www --------
false,2.84,-------- bbbbbbbb -b-b-bbb bb---b-- ---www-- wwwwww-w www--www --------
false,0.18,-------- bbbbbbbb -b-b-bb- bb---b-b ---www-- wwwwww-w www--www --------
false,2.63,-------- bbbbbbbb -b-b-bb- bb---b-b --wwww-- ww-www-w www--www --------
false,0.16,-------- -bbbbbbb bb-b-bb- bb---b-b --wwww-- ww-www-w www--www --------
false,2.61,-------- -bbbbbbb bb-b-bb- bb---b-b --wwww-- ww-wwwww www--w-w --------
false,0.16,-------- -bbbbbb- bb-b-bbb bb---b-b --wwww-- ww-wwwww www--w-w --------
false,2.53,-------- -bbbbbb- bb-b-bbb bbw--b-b ---www-- ww-wwwww www--w-w --------
true,0.0,-------- -bbbbbb- bb-b-bbb b--b-b-b ---www-- ww-wwwww www--w-w --------
false,2.53,-------- -bbbbbb- bb-b-bbb b--b-b-b ---www-- w-wwwwww www--w-w --------
false,0.16,-------- -bbbbbb- b-bb-bbb b--b-b-b ---www-- w-wwwwww www--w-w --------
false,2.62,-------- -bbbbbb- b-bb-bbb b--b-b-b ---www-- w-wwwwww www-w--w --------
false,0.15,-------- -bbbbbb- b-bb-bbb b-b--b-b ---www-- w-wwwwww www-w--w --------
false,2.62,-------- -bbbbbb- b-bb-bbb b-b--b-b ---www-- w-wwwwww ww-ww--w --------
false,0.15,-------- -bbbbbb- b-bb-bbb b-b---bb ---www-- w-wwwwww ww-ww--w --------
false,2.66,-------- -bbbbbb- b-bb-bbb b-b---bb ---www-- w-wwwwww ww-w-w-w --------
false,0.16,-------- -bbbbb-b b-bb-bbb b-b---bb ---www-- w-wwwwww ww-w-w-w --------
false,2.65,-------- -bbbbb-b b-bb-bbb b-b--wbb ---ww--- w-wwwwww ww-w-w-w --------
false,0.16,-------- -bbbbb-b b-bb--bb b-b---bb ---wwb-- w-wwwwww ww-w-w-w --------
false,2.65,-------- -bbbbb-b b-bb--bb b-b--wbb ---ww--- w-www-ww ww-w-w-w --------
true,0.0,-------- -bbbbb-b b-bb--bb b-b-b--b ---ww--- w-www-ww ww-w-w-w --------
true,0.0,----W--- -bbb-b-b b-bb--bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,0.14,----W--- --bb-b-b bbbb--bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,2.34,--W----- --bb-b-b bbbb--bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,0.16,--W----- --b-bb-b bbbb--bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,2.35,--W----- --b-bb-b bbbb--bb b-b----b ---w---- w-www-ww ww-ww--w --------
false,0.14,--W----- --b-bb-b bbb-b-bb b-b----b ---w---- w-www-ww ww-ww--w --------
false,2.41,--W----- --b-bb-b bbb-b-bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,0.14,--W----- -b--bb-b bbb-b-bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,2.39,-W------ -b--bb-b bbb-b-bb b-b----b ---w---- w-www-ww ww-w-w-w --------
false,0.15,-W------ -b--bb-b bbb-bb-b b-b----b ---w---- w-www-ww ww-w-w-w --------
false,2.47,-W------ -b--bb-b bbb-bb-b b-b----b ---w--w- w-www--w ww-w-w-w --------
false,0.16,-W------ -b--bb-b bbb-bb-b bb-----b ---w--w- w-www--w ww-w-w-w --------
false,2.46,-W------ -b--bb-b bbb-bb-b bb-----b ---w---w w-www--w ww-w-w-w --------
false,0.14,-W------ -b--bb-b bb-bbb-b bb-----b ---w---w w-www--w ww-w-w-w --------
false,2.33,-W------ -b--bb-b bb-bbb-b bb-----b ---w---w w-ww-w-w ww-w-w-w --------
