AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,0.86,-------- bbbbbbbb bbbb-bbb ----b--- -------w wwwwwww- wwwwwwww --------
false,0.02,-------- bbbbbbbb bbbb-bbb ----b--- -------w wwwwwwww wwwwwww- --------
false,0.80,-------- bbbbbbbb bb-b-bbb --b-b--- -------w wwwwwwww wwwwwww- --------
false,0.02,-------- bbbbbbbb bb-b-bbb --b-b--- ------ww wwwwww-w wwwwwww- --------
false,0.79,-------- bbbbbbbb bb---bbb --bbb--- ------ww wwwwww-w wwwwwww- --------
false,0.02,-------- bbbbbbbb bb---bbb --bbb--- ------ww wwwwwwww wwwwww-- --------
false,0.73,-------- bbbbbbbb b----bbb -bbbb--- ------ww wwwwwwww wwwwww-- --------
false,0.02,-------- bbbbbbbb b----bbb -bbbb--- -----www wwwww-ww wwwwww-- --------
false,0.64,-------- bbbbbbbb b----bbb -bbb-b-- -----www wwwww-ww wwwwww-- --------
false,0.02,-------- bbbbbbbb b----bbb -bbb-b-- -----www wwwwwwww wwwww--- --------
false,0.65,-------- bb-bbbbb b-b--bbb -bbb-b-- -----www wwwwwwww wwwww--- --------
false,0.01,-------- bb-bbbbb b-b--bbb -bbb-b-- ----wwww wwww-www wwwww--- --------
false,0.65,-------- bb--bbbb b-bb-bbb -bbb-b-- ----wwww wwww-www wwwww--- --------
false,0.01,-------- bb--bbbb b-bb-bbb -bbb-b-- ----wwww wwwwwwww wwww---- --------
false,0.64,-------- bb--bbbb b-bb-bbb b-bb-b-- ----wwww wwwwwwww wwww---- --------
false,0.02,-------- bb--bbbb b-bb-bbb b-bb-b-- ----wwww wwwwwwww www-w--- --------
false,0.64,-------- bb--bbbb bb-b-bbb b-bb-b-- ----wwww wwwwwwww www-w--- --------
false,0.01,-------- bb--bbbb bb-b-bbb b-bb-b-- ----wwww wwwwwwww www--w-- --------
false,0.60,-------- bb---bbb bb-bbbbb b-bb-b-- ----wwww wwwwwwww www--w-- --------
false,0.01,-------- bb---bbb bb-bbbbb b-bb-b-- ----wwww wwwwwwww www---w- --------
false,0.71,-------- bb---bbb bb-bbbbb b-bb--b- ----wwww wwwwwwww www---w- --------
