AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,0.24,-------- bbbbbbbb bbb-bbbb ---b---- -------w wwwwwww- wwwwwwww --------
false,0.02,-------- bbbbbbbb bbb-bbbb ---b---- -------w wwwwwwww wwwwwww- --------
false,0.24,-------- bbbbbbbb -bb-bbbb b--b---- -------w wwwwwwww wwwwwww- --------
false,0.02,-------- bbbbbbbb -bb-bbbb b--b---- ------ww wwwwww-w wwwwwww- --------
false,0.23,-------- bbbbbbbb b-b-bbbb b--b---- ------ww wwwwww-w wwwwwww- --------
false,0.01,-------- bbbbbbbb b-b-bbbb b--b---- ------ww wwwwwwww wwwwww-- --------
false,0.20,-------- bbbbbbbb b---bbbb b-bb---- ------ww wwwwwwww wwwwww-- --------
false,0.01,-------- bbbbbbbb b---bbbb b-bb---- -----www wwwww-ww wwwwww-- --------
false,0.19,-------- bbb-bbbb b--bbbbb b-bb---- -----www wwwww-ww wwwwww-- --------
false,0.01,-------- bbb-bbbb b--bbbbb b-bb---- -----www wwwwwwww wwwww--- --------
false,0.19,-------- bb--bbbb b-bbbbbb b-bb---- -----www wwwwwwww wwwww--- --------
false,0.01,-------- bb--bbbb b-bbbbbb b-bb---- ----wwww wwww-www wwwww--- --------
false,0.19,-------- bb--bbbb b-bbbbbb b-b-b--- ----wwww wwww-www wwwww--- --------
false,0.01,-------- bb--bbbb b-bbbbbb b-b-b--- ----wwww wwwwwwww wwww---- --------
false,0.20,-------- bb--bbbb b-b-bbbb b-bbb--- ----wwww wwwwwwww wwww---- --------
false,0.01,-------- bb--bbbb b-b-bbbb b-bbb--- ----wwww wwwwwwww www-w--- --------
false,0.18,-------- bb--bbbb b--bbbbb b-bbb--- ----wwww wwwwwwww www-w--- --------
false,0.01,-------- bb--bbbb b--bbbbb b-bbb--- ----wwww wwwwwwww www--w-- --------
false,0.17,-------- bb--bbbb b--bbbbb b-bb-b-- ----wwww wwwwwwww www--w-- --------
false,0.02,-------- bb--bbbb b--bbbbb b-bb-b-- ----wwww wwwwwwww www---w- --------
false,0.16,-------- bb--bbbb b-b-bbbb b-bb-b-- ----wwww wwwwwwww www---w- --------
false,0.02,-------- bb--bbbb b-b-bbbb b-bb-b-- ----wwww wwwwwwww www----w --------
false,0.18,-------- bb--bbbb b-bb-bbb b-bb-b-- ----wwww wwwwwwww www----w --------
false,0.01,-------- bb--bbbb b-bb-bbb b-bb-b-w ----www- wwwwwwww www----w --------
true,0.0,-------- bb--bbbb b-bb-bb- b-bb-b-- ----wwwb wwwwwwww www----w --------
true,0.0,-------- bb--bbbb b-bb-bb- b-bb-b-w ----www- wwwwwww- www----w --------
false,0.18,-------- bb-b-bbb b-bb-bb- b-bb-b-w ----www- wwwwwww- www----w --------
false,0.01,-------- bb-b-bbb b-bb-bb- b-bb-b-w ----www- wwwwwwww www----- --------
false,0.20,-------- bb-b-bbb bb-b-bb- b-bb-b-w ----www- wwwwwwww www----- --------
false,0.02,-------- bb-b-bbb bb-b-bb- b-bb-b-w ----wwww wwwwwww- www----- --------
