AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,0.03,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,0.01,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,0.04,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,0.01,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,0.05,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,0.02,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,0.09,-------- bbbbbbbb bb--b--b --bb-bb- ----w--w wwwwwwww wwww-ww- --------
false,0.02,-------- bbbbbbbb bb--b--b --bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,0.11,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,0.03,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w wwwwwwww w-ww-ww- --------
false,0.15,-------- bbbbbb-b -b--b-bb b-bb-bb- -w--w--w wwwwwwww w-ww-ww- --------
false,0.03,-------- bbbbbb-b -b--b-bb b-bb-bb- -w--w--w wwwwwwww w-ww-w-w --------
false,0.14,-------- bbbbb--b -b--bbbb b-bb-bb- -w--w--w wwwwwwww w-ww-w-w --------
false,0.03,-------- bbbbb--b -b--bbbb b-bb-bbw -w--w--- wwwwwwww w-ww-w-w --------
true,0.0,-------- bbbbb--b -b--bbb- b-bb-bb- -w--w--b wwwwwwww w-ww-w-w --------
true,0.0,-------- bbbbb--b -b--bbb- b-bb-bbw -w--w--- wwwwwww- w-ww-w-w --------
false,0.09,-------- bbb-b--b -b-bbbb- b-bb-bbw -w--w--- wwwwwww- w-ww-w-w --------
false,0.03,-------- bbb-b--b -b-bbbb- b-bb-bbw -w--w--- wwwwwwww w-ww-w-- --------
false,0.10,-------- bb--b--b -bbbbbb- b-bb-bbw -w--w--- wwwwwwww w-ww-w-- --------
false,0.03,-------- bb--b--b -bbbbbb- b-bb-bbw -w--w--w wwwwwww- w-ww-w-- --------
false,0.08,-------- -b--b--b bbbbbbb- b-bb-bbw -w--w--w wwwwwww- w-ww-w-- --------
false,0.03,-------- -b--b--b bbbbbbb- b-bb-bbw -w--w-ww wwwwww-- w-ww-w-- --------
true,0.0,-------- -b--b--b bbbbbbb- b-bb-b-w -w--w--w wwwwwwb- w-ww-w-- --------
true,0.0,-------- -b--b--b bbbbbbb- b-bb-b-w -w--w--w wwwww--w w-ww-w-- --------
false,0.12,-------- -b--b--b bbbbbb-- b-bb-bbw -w--w--w wwwww--w w-ww-w-- --------
false,0.02,-------- -b--b--b bbbbbb-- b-bb-bbw -w--w--w wwwwww-w w-ww---- --------
false,0.08,-------- -b--b--b bbbbb-b- b-bb-bbw -w--w--w wwwwww-w w-ww---- --------
false,0.01,-------- -b--b--b bbbbb-b- b-bb-bbw -w--ww-w wwwww--w w-ww---- --------
true,0.0,-------- -b--b--b bbbbb-b- b-bb--bw -w--w--w wwwwwb-w w-ww---- --------
false,0.01,-------- -b--b--b bbbbb-b- b-bb--bw -w--w--w wwww--ww w-ww---- --------
false,0.04,-------- -b--b--b bbbbb-b- --bb--bw bw--w--w wwww--ww w-ww---- --------
true,0.0,-------- --w-b--b -bbbb-b- --bb--bw -w--w--w -www--ww w-ww---- --------
false,0.02,-------- --wb---b -bbbb-b- --bb--bw -w--w--w -www--ww w-ww---- --------
false,0.00,-------- ----w--b -bbbb-b- --bb--bw -w--w--w -www--ww w-ww---- --------
false,0.02,-------- ----w--b -bbbb-b- --bb---w -w--w-bw -www--ww w-ww---- --------
true,0.0,-------- ----w-wb -bbbb--- --bb---w -w--w--w -www---w w-ww---- --------
true,0.0,-------- ---b---- -bbbb--- --bb---w -w--w--w -www---w w-ww---- --------
false,0.01,-------- ---b---- -bbbb--- --bb---w -w--w--w wwww---w --ww---- --------
false,0.03,-------- ---b---- -bbb---- --bbb--w -w--w--w wwww---w --ww---- --------
true,0.0,-------- ---b---- -bbbw--- --bb---w -w-----w wwww---w --ww---- --------
true,0.0,-------- ---b---- -bb--b-- --bb---w -w-----w wwww---w --ww---- --------
false,0.01,-------- ---b---- -bb--b-w --bb---- -w-----w wwww---w --ww---- --------
false,0.03,-------- ---b---- -bb---bw --bb---- -w-----w wwww---w --ww---- --------
true,0.0,-------- ---b---- -bb--w-- --bb---- -w-----w wwww---w --ww---- --------
false,0.02,-------- ----b--- -bb--w-- --bb---- -w-----w wwww---w --ww---- --------
false,0.01,-------- ----b--- -bb--w-- --bb---- ww-----w -www---w --ww---- --------
false,0.03,-------- -------- -bb-bw-- --bb---- ww-----w -www---w --ww---- --------
true,0.0,-------- -------- -bbw---- --bb---- ww-----w -www---w --ww---- --------
true,0.0,-------- -------- -b--b--- --bb---- ww-----w -www---w --ww---- --------
false,0.01,-------- -------- -b--b--- --bb---w ww------ -www---w --ww---- --------
false,0.01,-------- -------- -b------ --bbb--w ww------ -www---w --ww---- --------
false,0.00,-------- -------- -b-----w --bbb--- ww------ -www---w --ww---- --------
false,0.01,-------- -------- -------w -bbbb--- ww------ -www---w --ww---- --------
true,0.0,-------- -------- -w-----w --bbb--- w------- -www---w --ww---- --------
false,0.01,-------- -------- -w-----w ---bb--- w-b----- -www---w --ww---- --------
true,0.0,-------- -------- -w-----w --wbb--- w------- -w-w---w --ww---- --------
true,0.0,-------- -------- -w-----w -b--b--- w------- -w-w---w --ww---- --------
false,0.00,-------- -------w -w------ -b--b--- w------- -w-w---w --ww---- --------
false,0.01,-------- -------w -w------ -b------ w---b--- -w-w---w --ww---- --------
false,0.01,-------W -------- -w------ -b------ w---b--- -w-w---w --ww---- --------
false,0.01,-------W -------- -w------ -b------ w------- -w-wb--w --ww---- --------
true,0.0,-------W -------- -w------ -b------ w------- -w---w-w --ww---- --------
