AUTO,TIME,BOARD
false,0.05,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,0.00,-------- bbbbbbbb b-bbbbbb -b------ -------w wwwwwww- wwwwwwww --------
false,0.10,-------- bbbbbbbb b-bbbbbb -b------ -------w wwwwwwww wwwwwww- --------
false,0.00,-------- bbbbbbbb b-b-bbbb -b-b---- -------w wwwwwwww wwwwwww- --------
false,0.14,-------- bbbbbbbb b-b-bbbb -b-b---- ------ww wwwwww-w wwwwwww- --------
false,0.00,-------- bbbbbbbb b-b-bbbb ---b---- -b----ww wwwwww-w wwwwwww- --------
true,0.0,-------- bbbbbbbb b-b-bbbb -w-b---- ------ww w-wwww-w wwwwwww- --------
false,0.00,-------- bbbbbbbb b-b-bbbb -wb----- ------ww w-wwww-w wwwwwww- --------
true,0.0,-------- bbbbbbbb b-b-bbbb ---w---- ------ww w-wwww-w wwwwwww- --------
false,0.00,-------- bbbbbbbb b-b-b-bb ---w-b-- ------ww w-wwww-w wwwwwww- --------
false,0.25,-------- bbbbbbbb b-b-b-bb ---w-b-- ------ww w-wwwwww wwwwww-- --------
false,0.00,-------- bbbbbbbb b-b-bb-b ---w-b-- ------ww w-wwwwww wwwwww-- --------
false,0.15,-------- bbbbbbbb b-b-bb-b ---w-b-- ------ww wwwwwwww w-wwww-- --------
false,0.00,-------- bbbbbbbb b---bb-b --bw-b-- ------ww wwwwwwww w-wwww-- --------
true,0.0,-------- bbbbbbbb b---bb-b -w---b-- ------ww wwwwwwww w-wwww-- --------
false,0.00,-------- bbbbbbbb b--b-b-b -w---b-- ------ww wwwwwwww w-wwww-- --------
false,0.20,-------- bbbbbbbb b--b-b-b -w---b-- ---w--ww www-wwww w-wwww-- --------
false,0.00,-------- bbbbbbbb b--b-bb- -w---b-- ---w--ww www-wwww w-wwww-- --------
false,0.26,-------- bbbbbbbb b--b-bb- -w---b-- ---w--ww wwwwwwww w-w-ww-- --------
false,0.00,-------- bbbbbbbb b--b-b-- -w---bb- ---w--ww wwwwwwww w-w-ww-- --------
true,0.0,--W----- bb-bbbbb b------- -w---b-- ---w---w wwwwwwww w-w-ww-- --------
false,0.00,--W----- bbb-bbbb b------- -w---b-- ---w---w wwwwwwww w-w-ww-- --------
false,0.02,-------W bb--bbb- b------- -w------ ---w---w wwwwwwww w-w-ww-- --------
false,0.00,-------W b-b-bbb- b------- -w------ ---w---w wwwwwwww w-w-ww-- --------
false,0.63,W------- b-b-bbb- b------- -w------ ---w---w wwwwwwww w-w-ww-- --------
false,0.00,W------- b-b-bb-b b------- -w------ ---w---w wwwwwwww w-w-ww-- --------
false,0.63,W------- b-b-bb-b bw------ -------- ---w---w wwwwwwww w-w-ww-- --------
true,0.0,W------- b-b-bb-b --b----- -------- ---w---w wwwwwwww w-w-ww-- --------
false,0.10,-------W --b-bb-- -------- -------- ---w---w wwwwwwww w-w-ww-- --------
false,0.00,-------W ----bb-- --b----- -------- ---w---w wwwwwwww w-w-ww-- --------
false,0.53,-------W ----bb-- --b----- -------- ---w-w-w wwwww-ww w-w-ww-- --------
false,0.00,-------W -----b-- --b-b--- -------- ---w-w-w wwwww-ww w-w-ww-- --------
false,0.59,-------W -----b-- --b-b--- -------- ---w-w-w wwwwwwww w-w-w--- --------
false,0.00,-------W -----b-- -b--b--- -------- ---w-w-w wwwwwwww w-w-w--- --------
false,0.50,-------W -----b-- -b--b--- -------- --ww-w-w ww-wwwww w-w-w--- --------
false,0.00,-------W ------b- -b--b--- -------- --ww-w-w ww-wwwww w-w-w--- --------
false,0.82,-------- ------bW -b--b--- -------- --ww-w-w ww-wwwww w-w-w--- --------
false,0.00,-------- ------bW b---b--- -------- --ww-w-w ww-wwwww w-w-w--- --------
false,0.00,-------- -------- ----b--- -------- W-ww-w-w ww-wwwww w-w-w--- --------
