AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- w------- -wwwwwww wwwwwwww --------
false,0.41,-------- bbbbbbbb bbbbbb-b ------b- w------- -wwwwwww wwwwwwww --------
false,0.00,-------- bbbbbbbb bbbbbb-b ------b- w---w--- -www-www wwwwwwww --------
false,0.37,-------- bbbbbbbb bbb-bb-b ---b--b- w---w--- -www-www wwwwwwww --------
false,0.00,-------- bbbbbbbb bbb-bb-b ---b--b- -w--w--- -www-www wwwwwwww --------
false,0.37,-------- bbbbbbbb bbb-bb-- ---b--bb -w--w--- -www-www wwwwwwww --------
false,0.00,-------- bbbbbbbb bbb-bb-- ---b--bb -ww-w--- -w-w-www wwwwwwww --------
false,0.34,-------- bbbbbbbb bbb-bb-- --b---bb -ww-w--- -w-w-www wwwwwwww --------
false,0.00,-------- bbbbbbbb bbb-bb-- --b---bb -www---- -w-w-www wwwwwwww --------
false,0.28,-------- bbbbbbbb bbb-bb-- ------bb -w-w---- ---w-www -wwwwwww B-------
false,0.00,-------- bbbbbbbb bbb-bb-- ------bb -w-w---- --ww-www -w-wwwww B-------
false,0.30,-------- bbb-bbbb bbbbbb-- ------bb -w-w---- --ww-www -w-wwwww B-------
false,0.00,-------- bbb-bbbb bbbbbb-- -w----bb ---w---- --ww-www -w-wwwww B-------
true,0.0,-------- bbb-bbbb b-bbbb-- ------bb -b-w---- --ww-www -w-wwwww B-------
false,0.00,-------- bbb-bbbb b-bbbb-- ------bb -b-w---- --w-wwww -w-wwwww B-------
false,0.25,-------- bbb-bbb- b-bbbb-b ------bb -b-w---- --w-wwww -w-wwwww B-------
false,0.00,-------- bbb-bbb- b-bbbb-b ------bb -b-w---- --ww-www -w-wwwww B-------
false,0.25,-------- bbb-bbb- b-bb-b-b ----b-bb -b-w---- --ww-www -w-wwwww B-------
false,0.00,-------- bbb-bbb- b-bb-b-b ----b-bb -b-w---- --ww-www -ww-wwww B-------
false,0.26,-------- bbb-bbb- b-bb-b-b ----b-bb -b-w---- --ww-www -ww-wwww -------B
false,0.00,-------- bbb-bbb- b-bb-b-b ---wb-bb -b------ --ww-www -ww-wwww -------B
true,0.0,-------- bbb-bbb- b-b--b-b ----b-bb -b------ --w--www -wwbwwww -------B
false,0.00,-------- bbb-bbb- b-b--b-b ----b-bb -b----w- --w--w-w -wwbwwww -------B
true,0.0,-------- bbb-bbb- b-b--b-b ----b--b -b------ --w----w -wwb-www ----B--B
true,0.0,-------- bbb-bbb- b-b--b-b ----b--b -b------ --w----w -w--wwww ----B--B
true,0.0,-------- bbb-bbb- b-b--b-b ----b--b -b------ -------w -----www -B-----B
false,0.00,-------- bbb-bbb- b-b--b-b ----b--b -b-----w -------- -----www -B-----B
false,0.04,-------- bbb-bbb- b-b--b-b ----b--b -b-----w -------B -----ww- -B------
false,0.00,-------- bbb-bbb- b-b--b-b ----b--b -b----w- -------B -----ww- -B------
false,0.05,-------- b-b-bbb- bbb--b-b ----b--b -b----w- -------B -----ww- -B------
false,0.00,-------- b-b-bbb- bbb--b-b ----b--b -b----w- -------B ----w-w- -B------
false,0.05,-------- b--bbbb- bbb--b-b ----b--b -b----w- -------B ----w-w- -B------
false,0.00,-------- b--bbbb- bbb--b-b ----b--b -b----w- -------B -----ww- -B------
false,0.04,-------- -b-bbbb- bbb--b-b ----b--b -b----w- -------B -----ww- -B------
false,0.00,-------- -b-bbbb- bbb--b-b ----b--b -b----w- -----w-B ------w- -B------
false,0.02,-------- -b-bbbb- bbb--b-b ----b--b -b----w- ---B---- ------w- -B------
false,0.00,-------- -b-bbbb- bbb--b-b ----b--b -b-----w ---B---- ------w- -B------
true,0.0,-------- -b-bbbb- bbb--b-b ----b--- -b------ ---B---b ------w- -B------
