AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- ---w---- www-wwww wwwwwwww --------
false,0.20,-------- bbbbbbbb bbbbb-bb -----b-- ---w---- www-wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb bbbbb-bb -----b-- --ww---- ww--wwww wwwwwwww --------
false,0.20,-------- bbbbbbbb b-bbb-bb -b---b-- --ww---- ww--wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb b-bbb-bb -b---b-- --w-w--- ww--wwww wwwwwwww --------
false,0.20,-------- bbbbbbbb b-bb-bbb -b---b-- --w-w--- ww--wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb b-bb-bbb -bw--b-- ----w--- ww--wwww wwwwwwww --------
false,0.23,-------- bbbbbbbb b--b-bbb -b---b-- --b-w--- ww--wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb b--b-bbb -b---b-- w-b-w--- -w--wwww wwwwwwww --------
false,0.17,-------- bbbbbbbb b--b-bbb b----b-- w-b-w--- -w--wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb b--b-bbb b----b-- w-b-w--- w---wwww wwwwwwww --------
false,0.17,-------- bb-bbbbb b-bb-bbb b----b-- w-b-w--- w---wwww wwwwwwww --------
false,0.00,-------- bb-bbbbb b-bb-bbb b----b-- w-b-w--w w---www- wwwwwwww --------
false,0.17,-------- b--bbbbb bbbb-bbb b----b-- w-b-w--w w---www- wwwwwwww --------
false,0.00,-------- b--bbbbb bbbb-bbb b---wb-- w-b----w w---www- wwwwwwww --------
true,0.0,-------- b--bbbbb bbbb-bbb b--b---- w-b----w w---www- wwwwwwww --------
false,0.00,-------- b--bbbbb bbbb-bbb b--b---- w-b---ww w---ww-- wwwwwwww --------
false,0.15,-------- b--bbbbb bbbbb-bb b--b---- w-b---ww w---ww-- wwwwwwww --------
false,0.00,-------- b--bbbbb bbbbb-bb b--b---- w-b---ww w-w-ww-- ww-wwwww --------
true,0.0,-------- b--bbbbb bbbbb-bb b--b---- w-----ww w---ww-- wwbwwwww --------
false,0.00,-------- b--bbbbb bbbbb-bb b--b--w- w------w w---ww-- wwbwwwww --------
true,0.0,-------- b--bbbbb bbbbb--b b--b---- w-----bw w---ww-- wwbwwwww --------
true,0.0,-------- b--bbbbb bbbbb--b b--b---- w----w-- w---ww-- wwbwwwww --------
false,0.16,-------- b--bbbbb bbbbb--b b--b---- w----w-- w---ww-- ww-wwwww --B-----
false,0.00,-------- b--bbbbb bbbbb--b b--b---- w----w-- w--www-- ww--wwww --B-----
false,0.13,-------- b--bbbbb bb-bb--b b-bb---- w----w-- w--www-- ww--wwww --B-----
