AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- ------w- wwwwww-w wwwwwwww --------
false,0.28,-------- bbbbbbbb bbbbbbb- -------b ------w- wwwwww-w wwwwwwww --------
false,0.00,-------- bbbbbbbb bbbbbbb- -------b ---w--w- www-ww-w wwwwwwww --------
false,0.59,-------- bbbbbbbb bbbbb-b- -----b-b ---w--w- www-ww-w wwwwwwww --------
false,0.00,-------- bbbbbbbb bbbbb-b- -----b-b ----w-w- www-ww-w wwwwwwww --------
false,1.04,-------- bbbbbbbb bb-bb-b- --b--b-b ----w-w- www-ww-w wwwwwwww --------
false,0.00,-------- bbbbbbbb bb-bb-b- --b-wb-b ------w- www-ww-w wwwwwwww --------
false,0.07,-------- bbbbbbbb bb-bb-b- --bb---b ------w- www-ww-w wwwwwwww --------
false,0.00,-------- bbbbbbbb bb-bb-b- --bb---b --w---w- ww--ww-w wwwwwwww --------
true,0.0,-------- bbbbbbbb bb-bb-b- ---b---b ------w- ww--ww-w ww-wwwww --B-----
false,0.00,-------- bbbbbbbb bb-bb-b- ---b---b ------w- w-w-ww-w ww-wwwww --B-----
true,0.0,-------- bbbbbbbb bb-bb-b- ---b---b -------B w---ww-w ww-wwwww --------
false,0.00,-------- bbbbbbbb bb-bb-b- ---b---b w------B ----ww-w ww-wwwww --------
false,1.09,-------- bbbbbbbb bb-b--b- ---bb--b w------B ----ww-w ww-wwwww --------
false,0.00,-------- bbbbbbbb bb-b--b- ---bb--b w------B ---w-w-w ww-wwwww --------
false,2.19,-------- bbbbbbbb bb-b--b- ---b---b w---b--B ---w-w-w ww-wwwww --------
false,0.00,-------- bbbbbbbb bb-b--b- ---b---b w---b--B -w-w-w-w w--wwwww --------
false,2.05,-------- bbbbbbbb bb-b--b- ---b---b w----b-B -w-w-w-w w--wwwww --------
true,0.0,-------- bbbbbbbb bb-b--b- ---b-w-b w------B -w-w---w w--wwwww --------
false,2.90,-------- bbbbbbbb bb-b--b- ---b-w-b w-B----- -w-w---w w--wwwww --------
false,0.00,-------- bbbbbbbb bb-b--b- ---b-w-b w-B----- ww-w---w ---wwwww --------
false,3.02,-------- bbbbbbbb bb-b--b- ---b-w-- w-B----b ww-w---w ---wwwww --------
true,0.0,-------- bbbbbbbb bb-b--b- ---b-w-w w-B----- ww-w---- ---wwwww --------
false,2.30,-------- bbbb-bbb bb-bb-b- ---b-w-w w-B----- ww-w---- ---wwwww --------
false,0.00,-------- bbbb-bbb bb-bb-b- ---b--ww w-B----- ww-w---- ---wwwww --------
true,0.0,-------- bbbb-bbb bb-bb--- ---b---w w-B---b- ww-w---- ---wwwww --------
false,0.00,-------- bbbb-bbb bb-bb--- ---b---w w-B---b- www----- ---wwwww --------
false,0.30,-------- bbbb-bbb bb-bb--- ---b---w w-----b- ww------ ---wwwww --B-----
false,0.00,-------- bbbb-bbb bb-bb--- ---b---w w-----b- ww---w-- ---ww-ww --B-----
false,2.98,-------- bbbb-bbb bb-bb--- ---b---w w-----b- ww---w-- ---ww-ww ----B---
false,0.00,-------- bbbb-bbb bb-bb--w ---b---- w-----b- ww---w-- ---ww-ww ----B---
false,0.57,-------- bbbb-bbb bb-bb--w ---b---- w-----b- ww------ ---w--w- -------B
true,0.0,-------W bbbb-bb- bb-bb--- ---b---- w-----b- ww------ ---w--w- -------B
false,15.69,-------W bbbb-bb- bb-bb--- ---b---- w------b ww------ ---w--w- -------B
false,0.00,-------- bbbb-bb- bb-bb--- ---b---- w------- ww-----W ---w--w- -------B
false,0.67,-------B bbbb-bb- bb-bb--- ---b---- w------- ww------ ---w--w- --------
false,0.00,-------B bbbb-bb- bb-bb--- w--b---- -------- ww------ ---w--w- --------
true,0.0,-------B bbbb-bb- -b-bb--- ---b---- -------- -w------ b--w--w- --------
false,0.00,-------B bbbb-bb- -b-bb--- ---b---- -------- -w----w- b--w---- --------
false,2.38,-------- bbbb-bb- -b-bb--- ---b---- -------- -w----w- b--w---B --------
false,0.00,-------- bbbb-bb- -b-bb--- ---b---- -------- -w-----w b--w---B --------
false,0.00,-------- bbbb-bb- -b-bb--- -B-b---- -------- -------w b------- --------
