AUTO,TIME,BOARD
false,0.00,-------- bbbbbbbb bbbbbbbb -------- ---w---- www-wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb -bbbbbbb b------- ---w---- www-wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb -bbbbbbb b------- ----w--- www-wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb --bbbbbb bb------ ----w--- www-wwww wwwwwwww --------
false,0.00,-------- bbbbbbbb --bbbbbb bb--w--- -------- www-wwww wwwwwwww --------
true,0.0,-------- bbbbbbbb --bb-bbb bb------ ----b--- www-wwww wwwwwwww --------
true,0.0,-------- bbbbbbbb --bb-bbb bb--w--- -------- www--www wwwwwwww --------
false,0.00,-------- bbbbbbbb --bb--bb bb--wb-- -------- www--www wwwwwwww --------
true,0.0,-------- bbbbbbbb --bb--bb bb----w- -------- www--www wwwwwwww --------
true,0.0,-------- bbbbbbbb --bb---b bb------ ------b- www--www wwwwwwww --------
true,0.0,-------- bbbbbbbb --bb---b bb----w- -------- www--w-w wwwwwwww --------
false,0.00,-------- bbbbbbbb --bb---- bb----wb -------- www--w-w wwwwwwww --------
false,0.00,-------- bbbbbbbb --bb---- bb----wb -w------ w-w--w-w wwwwwwww --------
true,0.0,-------- bbbbbbbb --bb---- b-----wb -------- w----w-w www-wwww ---B----
false,0.00,-------- bbbbbbbb --bb--w- b------b -------- w----w-w www-wwww ---B----
true,0.0,-------- bbbbbb-b --bb---- b-----bb -------- w----w-w www-wwww ---B----
false,0.00,-------- bbbbbb-b --bb---- b-----bb -------- w----ww- www-wwww ---B----
false,0.00,-------- bbbbb-bb --bb---- b-----bb -------- w----ww- www-wwww ---B----
false,0.00,-------- bbbbb-bb --bb---- b-----bb -------- ww---ww- w-w-wwww ---B----
false,0.00,-------- bbbbb-bb --b----- b--b--bb -------- ww---ww- w-w-wwww ---B----
false,0.00,-------- bbbbb-bb --b----- b--b--bb w------- -w---ww- w-w-wwww ---B----
true,0.0,-------- bbbbb-bb --b----- ---b--bb -------- -----ww- w---wwww --BB----
false,0.00,-------- bbbbb-bb --b----- ---b--bb -------- -----ww- -w--wwww --BB----
false,0.00,-------- bbbbb-bb --b----- ---b-b-b -------- -----ww- -w--wwww --BB----
false,0.00,-------- bbbbb-bb --b----- ---b-b-b -------- -w---ww- ----wwww --BB----
false,0.00,-------- bbbbb-bb --b----- ---b-b-b -------- -w---ww- ---Bwwww --B-----
true,0.0,-------- bbbbb-bb --b----- ---b-b-b -------- -w---ww- --w--www --B-----
true,0.0,-------- bbbbb-bb --b----- ---b-b-b -------- B----ww- -----www --------
false,0.00,-------- bbbbb-bb --b----- ---b-b-b -------- B----ww- ----w-ww --------
false,0.00,-------- -bbbb-bb b-b----- ---b-b-b -------- B----ww- ----w-ww --------
false,0.00,-------- -bbbb-bb b-b----- ---b-b-b -------- B----ww- ---w--ww --------
false,0.00,-------- -bbbb-bb b-b----- ---b-b-b -------- -----ww- ---w--ww B-------
false,0.00,-------- -bbbb-bb b-b----- ---b-b-b -------- -----ww- --w---ww B-------
false,0.00,-------- -bbbb-b- b-b----b ---b-b-b -------- -----ww- --w---ww B-------
false,0.00,-------- -bbbb-b- b-b----b ---b-b-b -------- -----ww- --w--w-w B-------
false,0.00,-------- -bbbb-b- b-b----b ---bb--b -------- -----ww- --w--w-w B-------
false,0.00,-------- -bbbb-b- b-b----b ---bb--b ------w- -----w-- --w--w-w B-------
false,0.00,-------- -bbbb-b- b-b----b ---b-b-b ------w- -----w-- --w--w-w B-------
false,0.00,-------- -bbbb-b- b-b----b ---b-b-b ------w- ------w- --w--w-w B-------
false,0.00,-------- -bbbb-b- b-b----b ----bb-b ------w- ------w- --w--w-w B-------
false,0.00,-------- -bbbb-b- b-b----b ----bb-b ------w- ------w- ---w-w-w B-------
false,0.00,-------- -bbbb-b- --b----b b---bb-b ------w- ------w- ---w-w-w B-------
false,0.00,-------- -bbbb-b- --b----b b---bb-b ------w- ------ww ---w-w-- B-------
false,0.00,-------- -bbb-bb- --b----b b---bb-b ------w- ------ww ---w-w-- B-------
false,0.00,-------- -bbb-bb- --b----b b---bb-b ------w- ------ww --w--w-- B-------
false,0.00,-------- -bbb-bb- --b----b b---bb-b ------w- ------ww --w--w-- ------B-
false,0.00,-------- -bbb-bb- --b----b b---bb-b ------w- ------ww ---w-w-- ------B-
false,0.00,-------- -bbb-bb- --b----b b---bb-b ------w- ------ww ---w-w-- ---B----
false,0.00,-------- -bbb-bb- --b----b b---bb-b -------w ------ww ---w-w-- ---B----
false,0.00,-------- -bbb-bb- --b----b b--Bbb-b -------w ------ww -----w-- --------
false,0.00,-------- -bbb-bb- --b----b b--Bbb-b -------w ------ww ----w--- --------
false,0.00,-------- -bbb-bb- --b----b ---Bbb-b b------w ------ww ----w--- --------
false,0.00,-------- -bbb-bb- --b----b ---Bbb-b b-----ww -------w ----w--- --------
false,0.00,-------- -bbb-bb- -------b --bBbb-b b-----ww -------w ----w--- --------
false,0.00,-------- -bbb-bb- -------b --bBbb-b b-----ww ----w--w -------- --------
false,0.00,-------- -bbb-b-b -------b --bBbb-b b-----ww ----w--w -------- --------
false,0.00,-------- -bbb-b-b -------b --bBbb-b b-----ww ---w---w -------- --------
false,0.00,-------- -bbb-b-b -------b --b-bb-b b-----ww -------w ---B---- --------
false,0.00,-------- -bbb-b-b -------b --b-bb-b b----w-w -------w ---B---- --------
true,0.0,-------- -bbb-b-b -------b --b-b--b b------w -----b-w ---B---- --------
false,0.00,-------- -bbb-b-b -------b --b-b--b b-----w- -----b-w ---B---- --------
false,0.00,-------- -bbb-b-b -------b --b--b-b b-----w- -----b-w ---B---- --------
false,0.00,-------- -bbb-b-b -------b --b--b-b b------w -----b-w ---B---- --------
false,0.00,-------- -bbb-b-b ------b- --b--b-b b------w -----b-w ---B---- --------
true,0.0,-----W-- -bbb---b -------- --b--b-- b------- -----b-w ---B---- --------
false,0.00,-----W-- -bbb---b -------- -b---b-- b------- -----b-w ---B---- --------
false,0.00,---W---- -bb----b -------- -------- -------- -------w -------- --------
false,0.00,---W---- b-b----b -------- -------- -------- -------w -------- --------
false,0.00,-------- b-b----b -------- -------- -------- ---W---w -------- --------
false,0.00,-------- b--b---b -------- -------- -------- ---W---w -------- --------
true,0.0,---W---- b------b -------- -------- -------- -------w -------- --------
false,0.00,---W---- -b-----b -------- -------- -------- -------w -------- --------
false,0.00,-------- -b-----b ---W---- -------- -------- -------w -------- --------
false,0.00,-------- -b------ ---W---b -------- -------- -------w -------- --------
false,0.00,---W---- -b------ -------b -------- -------- -------w -------- --------
false,0.00,---W---- -------- -b-----b -------- -------- -------w -------- --------
false,0.00,--W----- -------- -b-----b -------- -------- -------w -------- --------
false,0.00,--W----- -------- -------b -b------ -------- -------w -------- --------
false,0.00,-W------ -------- -------b -b------ -------- -------w -------- --------
false,0.00,-W------ -------- -------b b------- -------- -------w -------- --------
false,0.00,-------- -------- -------b b------- -W------ -------w -------- --------
false,0.00,-------- -------- ------b- b------- -W------ -------w -------- --------
false,0.00,-------- -------- ------b- b------- --W----- -------w -------- --------
false,0.00,-------- -------- -------- b-----b- --W----- -------w -------- --------
false,0.00,--W----- -------- -------- b-----b- -------- -------w -------- --------
false,0.00,--W----- -------- -------- b------- ------b- -------w -------- --------
false,0.00,------W- -------- -------- b------- ------b- -------w -------- --------
false,0.00,------W- -------- -------- -------- b-----b- -------w -------- --------
false,0.00,-------- -------- -------- -------- b------- -------w ------W- --------
