AUTO,TIME,BOARD
false,1.72,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.01,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.36,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,4.10,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,2.98,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,6.48,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,6.98,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,7.23,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.99,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,8.70,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwww-www wwwww-ww --------
false,6.73,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwwwwwww wwww--ww --------
false,6.19,-------- bbbbb-bb b---bb-b -bbb-bb- ----w--w wwwwwwww wwww--ww --------
false,4.71,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,8.83,-------- bbbbb-bb b---b-bb -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,4.47,-------- bbbbb-bb b---b-bb -bbb-bb- w---w--w -wwwwwww wwww-w-w --------
false,7.16,-------- bbbbb-bb b---b-bb -bbb-b-b w---w--w -wwwwwww wwww-w-w --------
false,8.91,-------- bbbbb-bb b---b-bb -bbb-b-b w---w-ww -wwwww-w wwww-w-w --------
false,7.79,-------- bbbbb-bb b---b-bb -bbbb--b w---w-ww -wwwww-w wwww-w-w --------
false,6.97,-------- bbbbb-bb b---b-bb -bbbb--b w---w-ww -wwwww-w wwww-ww- --------
false,7.14,-------- bbbbb-bb b---b-bb b-bbb--b w---w-ww -wwwww-w wwww-ww- --------
false,5.58,-------- bbbbb-bb b---b-bb b-bbb--b w---w-ww wwwwww-w -www-ww- --------
false,7.12,-------- bbbbb-bb b---b-bb bb-bb--b w---w-ww wwwwww-w -www-ww- --------
false,6.29,-------- bbbbb-bb b---b-bb bb-bb--b w---w-ww wwwwwwww -www-w-- --------
false,4.03,-------- bbb-b-bb b--bb-bb bb-bb--b w---w-ww wwwwwwww -www-w-- --------
false,2.49,-------- bbb-b-bb b--bb-bb bb-bb--b w---w-ww wwwwwwww -www--w- --------
false,5.48,-------- bb--b-bb b-bbb-bb bb-bb--b w---w-ww wwwwwwww -www--w- --------
false,4.92,-------- bb--b-bb b-bbb-bb bb-bb--b w---wwww wwwww-ww -www--w- --------
false,4.81,-------- bb--b-bb b--bb-bb bbbbb--b w---wwww wwwww-ww -www--w- --------
false,2.09,-------- bb--b-bb b--bb-bb bbbbb--b w---wwww wwwww-ww -www---w --------
false,2.22,-------- bb--b-bb b--bbb-b bbbbb--b w---wwww wwwww-ww -www---w --------
false,1.90,-------- bb--b-bb b--bbb-b bbbbb--b w---wwww wwwww-ww -www--w- --------
false,2.75,-------- bb--b-bb b-b-bb-b bbbbb--b w---wwww wwwww-ww -www--w- --------
false,2.53,-------- bb--b-bb b-b-bb-b bbbbb-wb w---ww-w wwwww-ww -www--w- --------
true,0.0,-------- bb--b-bb b-b-bb-b bbbbb--- w---w--w wwwwwbww -www--w- --------
false,4.85,-------- bb--b-bb b-b-bb-b bbbbb--- w--ww--w www-wbww -www--w- --------
false,0.14,-------- bb--b-bb b-b-bb-b bbbbb--- w--ww--w www---ww -ww---w- ---B----
true,0.0,-W------ b---b-bb b---bb-b bbb-b--- w---w--w www---ww -ww---w- ---B----
true,0.0,-W------ b---b-bb b---bb-b bbb----- w------w www-b-ww -ww---w- ---B----
true,0.0,-------- b---b-bb b---bb-b b-b----- wW-----w www-b-ww -ww---w- ---B----
false,53.84,-------- b---b-bb b---bb-b b-b----- wW-----w www---ww -ww-b-w- ---B----
false,45.00,-------- b---b-bb bW--bb-b b-b----- w------w www---ww -ww-b-w- ---B----
true,0.0,-------- b---b-bb --b-bb-b b-b----- w------w www---ww -ww-b-w- ---B----
true,0.0,W------- ----b-bb --b-bb-b --b----- -------w www---ww -ww-b-w- ---B----
false,1494.44,W------- ----b-bb --b-bb-b --b----- -------w www---ww -ww-b-w- -----B--
false,228.20,W------- ----b-bb --b-bb-b --b----- -------w www---ww -w-wb-w- -----B--
