AUTO,TIME,BOARD
false,1.84,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,6.70,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.54,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.40,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,3.14,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,5.72,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,7.52,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.75,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.39,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,1.40,-------- bbbbb-bb bbb-bb-b ----bbb- ----w--w wwww-www wwwww-ww --------
false,4.91,-------- bbbbb-bb bbb-bb-b ----bbb- ----w--w wwwwwwww wwww--ww --------
false,3.80,-------- bbbbb-bb bb--bb-b --b-bbb- ----w--w wwwwwwww wwww--ww --------
false,6.34,-------- bbbbb-bb bb--bb-b --b-bbb- ---ww--w www-wwww wwww--ww --------
false,5.70,-------- bbbbb-bb b---bb-b -bb-bbb- ---ww--w www-wwww wwww--ww --------
false,5.41,-------- bbbbb-bb b---bb-b -bb-bbb- ---ww--w wwwwwwww www---ww --------
false,1.30,-------- bbbbb-bb b---bb-b -bb-bb-b ---ww--w wwwwwwww www---ww --------
false,3.48,-------- bbbbb-bb b---bb-b -bb-bb-b ---ww-ww wwwwww-w www---ww --------
false,4.22,-------- bbbbb-bb ----bb-b bbb-bb-b ---ww-ww wwwwww-w www---ww --------
false,2.92,-------- bbbbb-bb ----bb-b bbb-bb-b ---wwwww wwwww--w www---ww --------
true,0.0,-------- bbbbb-bb ----bb-b bbb-b--b ---ww-ww wwwwwb-w www---ww --------
true,0.0,-------- bbbbb-bb ----bb-b bbb-b--b ---ww-ww wwww--ww www---ww --------
true,0.0,-------- bbbbb-bb ----bb-b bbb----b ---w--ww wwwwb-ww www---ww --------
true,0.0,-------- bbbbb-bb ----bb-b bbb----b ---w--ww www--www www---ww --------
false,3.50,-------- bbb-b-bb ---bbb-b bbb----b ---w--ww www--www www---ww --------
false,3.06,-------- bbb-b-bb ---bbb-b bbb----b ---w--ww www--www www--w-w --------
false,4.51,-------- bbb-b-bb ---bb--b bbb--b-b ---w--ww www--www www--w-w --------
false,4.96,-------- bbb-b-bb ---bb--b bbb--b-b ---w--ww www--www www---ww --------
false,1.01,-------- bbb-b-bb ---bb--b bbb-b--b ---w--ww www--www www---ww --------
false,2.73,-------- bbb-b-bb ---bb--b bbb-b--b ---w--ww www--www www--w-w --------
false,3.65,-------- bbb-b--b ---bb-bb bbb-b--b ---w--ww www--www www--w-w --------
false,4.28,-------- bbb-b--b ---bb-bb bbb-b--b ---w--ww www--www www--ww- --------
false,1.06,-------- bbb-b--b ---bb-bb bbb-b-b- ---w--ww www--www www--ww- --------
false,4.77,-------- bbb-b--b ---bb-bb bbb-b-b- ---w-www www---ww www--ww- --------
false,1.47,-------- bbb-b--b ---bb-bb bbb-b--b ---w-www www---ww www--ww- --------
false,4.45,-------- bbb-b--b ---bb-bb bbb-b--b ---w-www www---ww www--w-w --------
false,0.89,-------- bbb-b--b ---bbb-b bbb-b--b ---w-www www---ww www--w-w --------
false,2.82,-------- bbb-b--b ---bbb-b bbb-b--b ---w-www www--www www----w --------
false,0.49,-------- bbb-b--b ---bb-bb bbb-b--b ---w-www www--www www----w --------
false,2.08,-------- bbb-b--b ---bb-bb bbb-b--b ---w-www www--www www---w- --------
false,0.60,-------- bbb-b--b ---b-bbb bbb-b--b ---w-www www--www www---w- --------
false,2.58,-------- bbb-b--b ---b-bbb bbb-b--b ---w-www www--www www----w --------
false,0.58,-------- bbb-b--b -----bbb bbbbb--b ---w-www www--www www----w --------
true,0.0,-------- bbb-b--b ---w-bbb bbb-b--b -----www www--www www----w --------
false,1.63,-------- bbb-b--b ---w--bb bbb-bb-b -----www www--www www----w --------
true,0.0,-------- bbb-b--b ---w-wbb bbb-b--b ------ww www--www www----w --------
true,0.0,-------- bbb-b--b --b----b bbb-b--b ------ww www--www www----w --------
false,2.18,-------- bbb-b--b --b----b bbb-b--b -----www www---ww www----w --------
false,0.96,-------- bbb-b--b --b----b bbbb---b -----www www---ww www----w --------
false,1.48,-------- bbb-b--b --b----b bbbb---b -----www www---ww www---w- --------
false,1.85,-------- bbb----b --b-b--b bbbb---b -----www www---ww www---w- --------
false,1.97,-------- bbb----b --b-b--b bbbb---b -----www www---ww ww-w--w- --------
false,1.68,-------- bbb----b -b--b--b bbbb---b -----www www---ww ww-w--w- --------
false,2.48,-------- bbb----b -b--b--b bbbb---b -----www www---ww ww-w---w --------
false,1.35,-------- bbb----b -b---b-b bbbb---b -----www www---ww ww-w---w --------
false,1.94,-------- bbb----b -b---b-b bbbb---b -----www wwww--ww ww-----w --------
false,0.98,-------- bbb----b -b----bb bbbb---b -----www wwww--ww ww-----w --------
false,1.17,-------- bbb----b -b----bb bbbb---b ---w-www www---ww ww-----w --------
true,0.0,-------- bbb----b -b----bb bbb----b -----www wwwb--ww ww-----w --------
true,0.0,-------- bbb----b -b----bb bbb----b -----www ww--w-ww ww-----w --------
false,1.11,-------- bbb----b -b----bb bb-b---b -----www ww--w-ww ww-----w --------
false,2.32,-------- bbb----b -b----bb bb-b---b ----wwww ww----ww ww-----w --------
false,1.12,-------- bbb----b -b----bb b-bb---b ----wwww ww----ww ww-----w --------
false,1.34,-------- bbb----b -b----bb b-bb---b -w--wwww w-----ww ww-----w --------
false,1.43,-------- bbb----b b-----bb b-bb---b -w--wwww w-----ww ww-----w --------
false,1.23,-------- bbb----b b-----bb b-bb---b w---wwww w-----ww ww-----w --------
false,1.08,-------- bbb----b b-----bb bb-b---b w---wwww w-----ww ww-----w --------
false,0.82,-------- bbb----b b-----bb bb-b---b w---wwww w-----ww ww----w- --------
false,1.36,-------- bbb----b b-----bb bb-b--b- w---wwww w-----ww ww----w- --------
false,0.90,-------- bbb----b b-----bb bb-b--b- w---wwww w-----ww ww-----w --------
false,0.76,-------- bbb----b b-----bb bb-b-b-- w---wwww w-----ww ww-----w --------
true,0.0,-------- bbb----b b----wbb bb-b---- w---w-ww w-----ww ww-----w --------
true,0.0,-------- bbb----b b---b--b bb-b---- w---w-ww w-----ww ww-----w --------
false,1.92,-------- bbb----b b---b--b bb-b---- w---w-ww w-----ww ww----w- --------
false,2.31,-------- bbb----b b---b--b bb--b--- w---w-ww w-----ww ww----w- --------
false,1.77,-------- bbb----b b---b--b bb--b--- w----www w-----ww ww----w- --------
false,1.54,-------- bb-----b b-b-b--b bb--b--- w----www w-----ww ww----w- --------
false,2.19,-------- bb-----b b-b-b--b bb--b--- w----www w-----ww ww-----w --------
false,1.32,-------- bb-----b b-b-b--b bb-b---- w----www w-----ww ww-----w --------
false,2.47,-------- bb-----b b-b-b--b bb-b---- w----www ww----ww w------w --------
false,1.83,-------- bb-----b b-b-b--b bb--b--- w----www ww----ww w------w --------
false,1.31,-------- bb-----b b-b-b--b bb--b--w w----ww- ww----ww w------w --------
true,0.0,-------- bb-----b b-b-b--- bb--b--- w----wwb ww----ww w------w --------
true,0.0,-------- bb-----b b-b-b--- bb--b--w w----ww- ww----w- w------w --------
false,1.80,-------- bb-----b b-b-b--- bb-b---w w----ww- ww----w- w------w --------
false,3.39,-------- bb-----b b-b-b--- bb-b--ww w----w-- ww----w- w------w --------
false,2.06,-------- bb-----b b-b-b--- bb----ww w--b-w-- ww----w- w------w --------
false,2.79,-------- bb-----b b-b-b-w- bb-----w w--b-w-- ww----w- w------w --------
false,2.54,-------- bb-----b b-b-b-w- bb-----w w----w-- ww-b--w- w------w --------
false,5.71,-------- bb-----b b-b-b-w- bb-----w w----w-- ww-b--ww w------- --------
false,4.07,-------- bb-----b b-b-b-w- bb-----w w----w-- ww----ww w--b---- --------
false,5.50,-------- bb-----b b-b-b--w bb-----w w----w-- ww----ww w--b---- --------
false,4.59,-------- bb----b- b-b-b--w bb-----w w----w-- ww----ww w--b---- --------
false,5.04,-------- bb----bw b-b-b--- bb-----w w----w-- ww----ww w--b---- --------
false,4.16,-------- bb----bw b-b-b--- bb-----w w----w-- ww----ww w------- ---B----
true,0.0,-------- bb---w-- b-b-b--- bb-----w w----w-- ww----ww w------- ---B----
false,4.44,-------- bb-B-w-- b-b-b--- bb-----w w----w-- ww----ww w------- --------
false,5.26,-----W-- bb-B---- b-b-b--- bb-----w w----w-- ww----ww w------- --------
false,4.95,-----W-- bb-B---- b-b--b-- bb-----w w----w-- ww----ww w------- --------
true,0.0,-------- bb-B---- b-b----- bb---W-w w----w-- ww----ww w------- --------
false,2.95,-------- bb-B---- b--b---- bb---W-w w----w-- ww----ww w------- --------
false,10.01,-----W-- bb-B---- b--b---- bb-----w w----w-- ww----ww w------- --------
false,11.43,-----W-- bb-B---- b---b--- bb-----w w----w-- ww----ww w------- --------
false,30.10,-----W-- bb-B---- b---b--- bb-----w w----w-w ww----w- w------- --------
false,3.72,-----W-- b-bB---- b---b--- bb-----w w----w-w ww----w- w------- --------
false,35.97,-----W-- b-bB---- b---b--- bb-----w w-----ww ww----w- w------- --------
false,3.71,-----W-- b-bB---- b---b--- b-b----w w-----ww ww----w- w------- --------
false,42.67,W------- b-bB---- b---b--- b-b----w w-----ww ww----w- w------- --------
false,3.39,W------- b--B---- b-b-b--- b-b----w w-----ww ww----w- w------- --------
false,38.98,W------- b--B---- b-b-b--- b-b----w w-----ww ww-----w w------- --------
false,3.57,W------- b--B---- b-b-b--- b--b---w w-----ww ww-----w w------- --------
false,25.24,W------- b--B---- b-b-b--w b--b---- w-----ww ww-----w w------- --------
