AUTO,TIME,BOARD
false,1.76,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,5.33,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.52,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.83,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,3.12,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,5.47,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,7.20,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,11.37,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.48,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,2.43,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwww-www wwwww-ww --------
false,5.83,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwwwwwww wwww--ww --------
false,1.98,-------- bbbbb-bb b---bb-b -bbb-bb- ----w--w wwwwwwww wwww--ww --------
false,4.22,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,3.34,-------- bbbbb--b b---bbbb -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,4.13,-------- bbbbb--b b---bbbb -bbb-bb- w---ww-w -wwww-ww wwww--ww --------
true,0.0,-------- bbbbb--b b---bbbb -bbb--b- w---w--w -wwwwbww wwww--ww --------
false,4.66,-------- bbbbb--b b---bbbb -bbb--bw w---w--- -wwwwbww wwww--ww --------
true,0.0,-------- bbbbb--b b---bbb- -bbb--b- w---w--b -wwwwbww wwww--ww --------
true,0.0,-------- bbbbbw-b b---b-b- -bbb---- w---w--- -wwwwbw- wwww--ww --------
true,0.0,-------- bbbbbw-b b---b-b- -bbb---- w---w--- -wwww--- wwww--w- -------B
false,10.13,-------- bbbbbw-b b---b-b- -bbb---- w---w--- w-www--- wwww--w- -------B
true,0.0,-------- bbbb--bb b---b-b- -bbb---- w---w--- w-www--- wwww--w- -------B
false,11.27,-------- bbbb--bb b---b-b- -bbb---- w---w--- w-www--- wwww---w -------B
true,0.0,-------- bbbb--bb b---b-b- -bbb---- w------- w-www--- w-ww---- -B------
false,2.31,-------- bbbb--bb b---b-b- -bbb---- w------- ww-ww--- w-ww---- -B------
true,0.0,-------- bbbb--bb b---b-b- -bbb---- wB------ w--ww--- w-ww---- --------
true,0.0,--W----- bb-b--bb b---b-b- -b-b---- -------- w--ww--- w-ww---- --------
false,5.42,--W----- bb-b--bb b---b-b- -b------ ---b---- w--ww--- w-ww---- --------
true,0.0,--W----- bb-b--bb b---b-b- -b-w---- -------- w---w--- w-ww---- --------
false,34.57,--W----- bb-b--bb b---b--- -b-w--b- -------- w---w--- w-ww---- --------
false,21.34,-W------ bb-b--bb b---b--- -b-w--b- -------- w---w--- w-ww---- --------
false,12.74,-W------ b-bb--bb b---b--- -b-w--b- -------- w---w--- w-ww---- --------
false,8.03,-------- b-bb--bb b---b--- ---w--b- -W------ w---w--- w-ww---- --------
false,32.13,-------- b-bb--b- b---b--b ---w--b- -W------ w---w--- w-ww---- --------
false,33.02,-------- b-bb--b- b---b--b ---w--b- -W------ w---w--- w-w-w--- --------
false,36.80,-------- b-bb--b- b---b--b ---w-b-- -W------ w---w--- w-w-w--- --------
false,37.59,-------- b-bb--b- b---b--b ---w-b-- -W------ w---w--- w-w--w-- --------
false,42.67,-------- b-bb--b- b---b--b ---w--b- -W------ w---w--- w-w--w-- --------
false,40.05,-------- b-bb--b- b---b--b ---w--b- -W------ w----w-- w-w--w-- --------
false,36.55,-------- b-bb--b- b---b-b- ---w--b- -W------ w----w-- w-w--w-- --------
false,33.56,-------- b-bb--b- b---b-b- ---w--b- -W------ w-w--w-- w----w-- --------
false,24.53,-------- b-bb--b- b---b-b- ---w---- -W----b- w-w--w-- w----w-- --------
true,0.0,-------- b-bb--b- b---b-b- ---w---- -------W w-w--w-- w----w-- --------
false,21.86,-------- b-bb--b- b-----b- ---wb--- -------W w-w--w-- w----w-- --------
true,0.0,-------- b-bb--b- b-----b- -----w-- -------W w-w--w-- w----w-- --------
false,14.82,-------- b-bb--b- b------b -----w-- -------W w-w--w-- w----w-- --------
false,0.42,-------- b-bb-W-- b------- -----w-- -------- w-w--w-- w----w-- --------
false,8.05,-------- bb-b-W-- b------- -----w-- -------- w-w--w-- w----w-- --------
true,0.0,-------- bbW----- b------- -----w-- -------- w-w--w-- w----w-- --------
true,0.0,-------- b--b---- b------- -----w-- -------- w-w--w-- w----w-- --------
false,0.72,-------- b--b---- b------- ------w- -------- w-w--w-- w----w-- --------
false,0.55,-------- b---b--- b------- ------w- -------- w-w--w-- w----w-- --------
false,0.67,-------- b---b--- b------- -------w -------- w-w--w-- w----w-- --------
