AUTO,TIME,BOARD
false,1.74,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,25.83,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.38,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,25.50,-------- bbbbbbbb b-bbbb-b -b----b- -------w wwwwwwww wwwwwww- --------
false,4.62,-------- bbbbbbbb b-bbbb-b -b----b- -----w-w wwwww-ww wwwwwww- --------
false,24.76,-------- bbbbbb-b b-bbbbbb -b----b- -----w-w wwwww-ww wwwwwww- --------
false,10.34,-------- bbbbbb-b b-bbbbbb -b----b- -----w-w wwwww-ww wwwwww-w --------
false,24.79,-------- bbbbbb-b b--bbbbb -bb---b- -----w-w wwwww-ww wwwwww-w --------
false,7.66,-------- bbbbbb-b b--bbbbb -bb---b- -----w-w wwwww-ww wwwww-ww --------
false,24.14,-------- bbbbbb-b b---bbbb -bbb--b- -----w-w wwwww-ww wwwww-ww --------
false,5.98,-------- bbbbbb-b b---bbbb -bbb--b- ----ww-w wwww--ww wwwww-ww --------
false,22.39,-------- bbb-bb-b b--bbbbb -bbb--b- ----ww-w wwww--ww wwwww-ww --------
false,6.91,-------- bbb-bb-b b--bbbbb -bbb--bw ----ww-- wwww--ww wwwww-ww --------
true,0.0,-------- bbb-bb-b b--bbbb- -bbb--b- ----ww-b wwww--ww wwwww-ww --------
true,0.0,-------- bbb-bb-b b--bbbb- -bbb-w-- ----ww-- wwww--w- wwwww-ww --------
false,20.49,-------- bbbb-b-b b--bbbb- -bbb-w-- ----ww-- wwww--w- wwwww-ww --------
false,5.60,-------- bbbb-b-b b--bbbb- -bbb-w-- ----ww-- wwwww-w- wwww--ww --------
false,20.63,-------- bb-b-b-b b-bbbbb- -bbb-w-- ----ww-- wwwww-w- wwww--ww --------
false,4.62,-------- bb-b-b-b b-bbbbb- -bbb--w- ----ww-- wwwww-w- wwww--ww --------
true,0.0,-------- bb-b-b-b b-bbbb-- -bbb---- ----wwb- wwwww-w- wwww--ww --------
false,1.79,-------- bb-b-b-b b-bbbb-- -bbb--w- ----ww-- wwwww--- wwww--ww --------
false,19.49,-------- bb-b-b-b --bbbb-- bbbb--w- ----ww-- wwwww--- wwww--ww --------
false,6.23,-------- bb-b-b-b --bbbb-- bbbb--w- ----ww-- wwwww--w wwww--w- --------
false,17.79,-------- b-bb-b-b --bbbb-- bbbb--w- ----ww-- wwwww--w wwww--w- --------
false,6.28,-------- b-bb-b-b --bbbb-- bbbb--w- ----ww-- wwwww-ww wwww---- --------
false,17.49,-------- b-bbb--b --bbbb-- bbbb--w- ----ww-- wwwww-ww wwww---- --------
false,3.75,-------- b-bbb--b --bbbb-- bbbb---w ----ww-- wwwww-ww wwww---- --------
false,18.59,-------- b-bbb--b --bbb--- bbbb-b-w ----ww-- wwwww-ww wwww---- --------
true,0.0,-------- b-bbb--b --bbbw-- bbbb---w ----w--- wwwww-ww wwww---- --------
true,0.0,-------- b-bbb--b --bb--b- bbbb---w ----w--- wwwww-ww wwww---- --------
false,4.08,-------- b-bbb--b --bb--b- bbbb---w ----w--w wwwww-w- wwww---- --------
false,16.67,-------- b-bb---b --bbb-b- bbbb---w ----w--w wwwww-w- wwww---- --------
false,3.40,-------- b-bb---b --bbb-b- bbbb---w ----w-ww wwwww--- wwww---- --------
false,15.76,-------- bb-b---b --bbb-b- bbbb---w ----w-ww wwwww--- wwww---- --------
false,2.50,-------- bb-b---b --bbb-b- bbbb---w -----www wwwww--- wwww---- --------
false,15.82,-------- b-bb---b --bbb-b- bbbb---w -----www wwwww--- wwww---- --------
false,2.39,-------- b-bb---b --bbb-b- bbbb---w ----wwww wwww---- wwww---- --------
false,15.33,-------- b-bb---b --bbbb-- bbbb---w ----wwww wwww---- wwww---- --------
false,2.31,-------- b-bb---b --bbbb-- bbbb---w ----wwww wwww---- www-w--- --------
false,16.07,-------- b-bb---b --bbbb-- bbb-b--w ----wwww wwww---- www-w--- --------
false,2.85,-------- b-bb---b --bbbb-- bbb-b--w ----wwww wwww---- wwww---- --------
true,0.0,-------- b-bb---b --bbbb-- bbb----w -----www wwwwb--- wwww---- --------
true,0.0,-------- b-bb---b --bbbb-- bbb----w -----www www--w-- wwww---- --------
false,16.65,-------- b-bb---b --bb-b-- bbb-b--w -----www www--w-- wwww---- --------
false,5.06,-------- b-bb---b --bb-b-- bbb-b--w -----www wwww-w-- www----- --------
