AUTO,TIME,BOARD
false,1.83,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.49,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.68,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,5.44,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,3.27,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,7.63,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,7.64,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,15.61,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.78,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,15.09,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwww-www wwwww-ww --------
false,6.24,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwwwwwww wwww--ww --------
false,11.29,-------- bbbbb-bb b---bb-b -bbb-bb- ----w--w wwwwwwww wwww--ww --------
false,4.68,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,18.05,-------- bb-bb-bb b-b-bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,6.19,-------- bb-bb-bb b-b-bb-b -bbb-bb- -w--w--w -wwwwwww wwww--ww --------
false,8.68,-------- b--bb-bb bbb-bb-b -bbb-bb- -w--w--w -wwwwwww wwww--ww --------
false,5.68,-------- b--bb-bb bbb-bb-b -bbb-bb- -w--w--w wwwwwwww -www--ww --------
false,14.66,-------- b---b-bb bbbbbb-b -bbb-bb- -w--w--w wwwwwwww -www--ww --------
false,6.42,-------- b---b-bb bbbbbb-b -bbb-bb- -w--w--w wwwwwwww -ww-w-ww --------
false,11.71,-------- b---b--b bbbbbbbb -bbb-bb- -w--w--w wwwwwwww -ww-w-ww --------
false,5.58,-------- b---b--b bbbbbbbb -bbb-bb- -w--w--w wwwwwwww -w-ww-ww --------
false,9.57,-------- b---b--b bbbbbbbb b-bb-bb- -w--w--w wwwwwwww -w-ww-ww --------
false,3.47,-------- b---b--b bbbbbbbb b-bb-bb- w---w--w wwwwwwww -w-ww-ww --------
false,8.33,-------- b---b--b b-bbbbbb bbbb-bb- w---w--w wwwwwwww -w-ww-ww --------
