AUTO,TIME,BOARD
false,14.23,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.95,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.85,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,4.34,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,3.57,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,8.49,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,6.69,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,7.50,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,9.56,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,8.83,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwww-www wwwww-ww --------
false,6.46,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwwwwwww wwww--ww --------
false,6.25,-------- bbbbb-bb b---bb-b -bbb-bb- ----w--w wwwwwwww wwww--ww --------
false,4.23,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,9.48,-------- bbbbb-bb b---b-bb -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,4.60,-------- bbbbb-bb b---b-bb -bbb-bb- w---w--w wwwwwwww -www--ww --------
false,6.89,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w wwwwwwww -www--ww --------
false,5.45,-------- bbbbb-bb b---bb-b -bbb-bb- w---ww-w wwwww-ww -www--ww --------
true,0.0,-------- bbbbb-bb b---bb-b -bbb--b- w---w--w wwwwwbww -www--ww --------
false,10.78,-------- bbbbb-bb b---bb-b -bbb--b- w--w---w wwwwwbww -www--ww --------
false,7.06,-------- bbbbb-bb b--b-b-b -bbb--b- w--w---w wwwwwbww -www--ww --------
false,5.48,-------- bbbbb-bb b--b-b-b -bbb--b- w--w---w wwwwwbww w-ww--ww --------
false,7.55,-------- bb-bb-bb b-bb-b-b -bbb--b- w--w---w wwwwwbww w-ww--ww --------
false,12.08,-------- bb-bb-bb b-bb-b-b -bbb--b- w--w---w wwwwwbww ww-w--ww --------
false,11.53,-------- bb-bb-bb b-bb-bb- -bbb--b- w--w---w wwwwwbww ww-w--ww --------
false,8.22,-------- bb-bb-bb b-bb-bb- wbbb--b- ---w---w wwwwwbww ww-w--ww --------
true,0.0,-------- bb-bb-bb --bb-bb- -bbb--b- b--w---w wwwwwbww ww-w--ww --------
true,0.0,-------- bb-bb-bb --bb-bb- wbbb--b- ---w---w -wwwwbww ww-w--ww --------
false,12.53,-------- b--bb-bb -bbb-bb- wbbb--b- ---w---w -wwwwbww ww-w--ww --------
false,9.41,-------- b--bb-bb -bbb-bb- wbbb--b- ---w---w wwwwwbww -w-w--ww --------
false,11.37,-------- b-b-b-bb -bbb-bb- wbbb--b- ---w---w wwwwwbww -w-w--ww --------
false,13.32,-------- b-b-b-bb -bbb-bb- wbbb--bw ---w---- wwwwwbww -w-w--ww --------
false,4.98,-------- b-b-b-bb -bbbb-b- wbbb--bw ---w---- wwwwwbww -w-w--ww --------
true,0.0,-------- b-b-b-bb -bbbb-b- wbbb-w-- ---w---- wwwwwbww -w-w--ww --------
false,6.17,-------- b-b-b-bb -bbbb-b- wb-b-w-- --bw---- wwwwwbww -w-w--ww --------
false,0.40,-------- b-b-b-bb -bbbb-b- wb--ww-- ---w---- ww-wwbww -w-w--ww --------
true,0.0,-------- b-b-b-bb -bbb--b- wb---w-- ---w---- ww-w-bww b-----ww --------
false,2.53,-------- b-b-b-bb -bbb--b- --w--w-- ---w---- ww-w-bww b-----ww --------
true,0.0,-------- b-b-b-bb -b-b--b- -----w-- ----b--- ww-w-bww b-----ww --------
true,0.0,-------- b-b-b-bb -b-b--b- ----ww-- -------- ww-w---w b-----ww --------
