AUTO,TIME,BOARD
false,8.53,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,7.52,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.43,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.62,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,3.32,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,6.26,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,6.29,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.43,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,5.51,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,1.41,-------- bbbbb-bb bbb-bb-b ----bbb- ----w--w wwww-www wwwww-ww --------
false,4.28,-------- bbbbb-bb bbb-bb-b ----bbb- ----w--w wwwwwwww wwww--ww --------
false,3.74,-------- bbbbb-bb bb--bb-b --b-bbb- ----w--w wwwwwwww wwww--ww --------
false,6.04,-------- bbbbb-bb bb--bb-b --b-bbb- ---ww--w www-wwww wwww--ww --------
false,5.83,-------- bbbbb-bb b---bb-b -bb-bbb- ---ww--w www-wwww wwww--ww --------
false,4.68,-------- bbbbb-bb b---bb-b -bb-bbb- ---ww--w wwwwwwww www---ww --------
false,1.32,-------- bbbbb-bb b---bb-b -bb-bb-b ---ww--w wwwwwwww www---ww --------
false,3.05,-------- bbbbb-bb b---bb-b -bb-bb-b ---ww-ww wwwwww-w www---ww --------
false,4.16,-------- bbbbb-bb ----bb-b bbb-bb-b ---ww-ww wwwwww-w www---ww --------
false,2.53,-------- bbbbb-bb ----bb-b bbb-bb-b ---wwwww wwwww--w www---ww --------
true,0.0,-------- bbbbb-bb ----bb-b bbb-b--b ---ww-ww wwwwwb-w www---ww --------
