AUTO,TIME,BOARD
false,6.64,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,6.10,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,2.91,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.96,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,2.69,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,5.84,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,6.97,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,11.69,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,5.32,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,2.42,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwww-www wwwww-ww --------
false,4.97,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwwwwwww wwww--ww --------
false,2.02,-------- bbbbb-bb b---bb-b -bbb-bb- ----w--w wwwwwwww wwww--ww --------
false,3.80,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,3.42,-------- bbbbb--b b---bbbb -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,3.41,-------- bbbbb--b b---bbbb -bbb-bb- w---ww-w -wwww-ww wwww--ww --------
true,0.0,-------- bbbbb--b b---bbbb -bbb--b- w---w--w -wwwwbww wwww--ww --------
false,3.85,-------- bbbbb--b b---bbbb -bbb--bw w---w--- -wwwwbww wwww--ww --------
true,0.0,-------- bbbbb--b b---bbb- -bbb--b- w---w--b -wwwwbww wwww--ww --------
true,0.0,-------- bbbbbw-b b---b-b- -bbb---- w---w--- -wwwwbw- wwww--ww --------
true,0.0,-------- bbbbbw-b b---b-b- -bbb---- w---w--- -wwww--- wwww--w- -------B
false,8.76,-------- bbbbbw-b b---b-b- -bbb---- w---w--- w-www--- wwww--w- -------B
true,0.0,-------- bbbb--bb b---b-b- -bbb---- w---w--- w-www--- wwww--w- -------B
false,9.27,-------- bbbb--bb b---b-b- -bbb---- w---w--- w-www--- wwww---w -------B
true,0.0,-------- bbbb--bb b---b-b- -bbb---- w------- w-www--- w-ww---- -B------
false,2.23,-------- bbbb--bb b---b-b- -bbb---- w------- ww-ww--- w-ww---- -B------
true,0.0,-------- bbbb--bb b---b-b- -bbb---- wB------ w--ww--- w-ww---- --------
true,0.0,--W----- bb-b--bb b---b-b- -b-b---- -------- w--ww--- w-ww---- --------
false,5.68,--W----- bb-b--bb b---b-b- -b------ ---b---- w--ww--- w-ww---- --------
true,0.0,--W----- bb-b--bb b---b-b- -b-w---- -------- w---w--- w-ww---- --------
false,35.85,--W----- bb-b--bb b---b--- -b-w--b- -------- w---w--- w-ww---- --------
false,3.28,-W------ bb-b--bb b---b--- -b-w--b- -------- w---w--- w-ww---- --------
false,13.38,-W------ b-bb--bb b---b--- -b-w--b- -------- w---w--- w-ww---- --------
false,18.86,-------- b-bb--bb b---b--- ---w--b- -------- w---w--- w-ww---- -W------
