AUTO,TIME,BOARD
false,6.68,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,7.36,-------- bbbbbbbb bbb-bbbb ---b---- -------w wwwwwww- wwwwwwww --------
false,2.56,-------- bbbbbbbb bbb-bbbb ---b---- -------w wwwwwwww wwwwwww- --------
false,8.16,-------- bbbbbbbb bbb-b-bb ---b-b-- -------w wwwwwwww wwwwwww- --------
false,3.72,-------- bbbbbbbb bbb-b-bb ---b-b-- ------ww wwwwww-w wwwwwww- --------
false,7.00,-------- bbbbbbbb -bb-b-bb b--b-b-- ------ww wwwwww-w wwwwwww- --------
false,8.37,-------- bbbbbbbb -bb-b-bb b--b-b-- ----w-ww wwww-w-w wwwwwww- --------
false,6.84,-------- bbbbb-bb -bb-bbbb b--b-b-- ----w-ww wwww-w-w wwwwwww- --------
false,13.60,-------- bbbbb-bb -bb-bbbb b--b-b-- --w-w-ww ww-w-w-w wwwwwww- --------
false,9.45,-------- bbbbb-bb -bb-bbbb b---bb-- --w-w-ww ww-w-w-w wwwwwww- --------
false,3.09,-------- bbbbb-bb -bb-bbbb b---bb-- --w-w-ww ww-www-w wwww-ww- --------
false,7.84,-------- bbbbb-bb -bb-bbbb b---b-b- --w-w-ww ww-www-w wwww-ww- --------
false,1.51,-------- bbbbb-bb -bb-bbbb b---b-b- --w-w-ww ww-wwwww wwww-w-- --------
false,9.86,-------- bbb-b-bb -bbbbbbb b---b-b- --w-w-ww ww-wwwww wwww-w-- --------
false,13.41,-------- bbb-b-bb -bbbbbbb b---b-b- --www-ww ww--wwww wwww-w-- --------
false,7.87,-------- bbb-b-bb b-bbbbbb b---b-b- --www-ww ww--wwww wwww-w-- --------
false,10.42,-------- bbb-b-bb b-bbbbbb b---b-b- --wwwwww ww--w-ww wwww-w-- --------
false,9.38,-------- bbb-b-bb b-bbbbbb b---bb-- --wwwwww ww--w-ww wwww-w-- --------
false,4.01,-------- bbb-b-bb b-bbbbbb b---bb-- --wwwwww ww--wwww wwww---- --------
false,8.88,-------- bbb-b-bb bb-bbbbb b---bb-- --wwwwww ww--wwww wwww---- --------
false,3.33,-------- bbb-b-bb bb-bbbbb b---bb-- -wwwwwww w---wwww wwww---- --------
false,5.69,-------- bb--b-bb bbbbbbbb b---bb-- -wwwwwww w---wwww wwww---- --------
false,3.00,-------- bb--b-bb bbbbbbbb b---bb-- -wwwwwww w---wwww www-w--- --------
false,6.09,-------- bb--bb-b bbbbbbbb b---bb-- -wwwwwww w---wwww www-w--- --------
false,3.58,-------- bb--bb-b bbbbbbbb b---bb-- -wwwwwww w---wwww www--w-- --------
false,5.67,-------- bb-b-b-b bbbbbbbb b---bb-- -wwwwwww w---wwww www--w-- --------
false,4.22,-------- bb-b-b-b bbbbbbbb b---bb-- -wwwwwww w---wwww www---w- --------
false,12.85,-------- b-bb-b-b bbbbbbbb b---bb-- -wwwwwww w---wwww www---w- --------
false,3.77,-------- b-bb-b-b bbbbbbbb b---bb-- -wwwwwww w---wwww www----w --------
false,11.97,-------- b-bb-b-b bbbbbbbb ----bb-- bwwwwwww w---wwww www----w --------
true,0.0,-------- b-bb-b-b bbbbbbbb w---bb-- -wwwwwww ----wwww www----w --------
true,0.0,-------- b-bb-b-b -bbbbbbb ----bb-- bwwwwwww ----wwww www----w --------
false,2.74,-------- b-bb-b-b -bbbbbbb ----bb-- bwwwwwww ----wwww www---w- --------
false,6.55,-------- b-bb-b-b b-bbbbbb ----bb-- bwwwwwww ----wwww www---w- --------
false,4.17,-------- b-bb-b-b b-bbbbbb ----bb-- bwwwwwww ----wwww www----w --------
false,10.25,-------- bb-b-b-b b-bbbbbb ----bb-- bwwwwwww ----wwww www----w --------
false,1.81,-------- bb-b-b-b b-bbbbbb ----bb-- bwwwwwww ----wwww ww-w---w --------
false,8.84,-------- bb-b-b-b --bbbbbb b---bb-- bwwwwwww ----wwww ww-w---w --------
false,1.73,-------- bb-b-b-b --bbbbbb b---bb-- bwwwwwww ----wwww ww-w--w- --------
false,8.91,-------- -b-b-b-b b-bbbbbb b---bb-- bwwwwwww ----wwww ww-w--w- --------
false,4.81,-------- -b-b-b-b b-bbbbbb b--wbb-- bww-wwww ----wwww ww-w--w- --------
true,0.0,-------- -b-b-b-b b-bbbbbb b----b-- bw--wwww --b-wwww ww-w--w- --------
false,1.30,-------- -b-b-b-b b-bbbbbb b----b-- bw--wwww --b-wwww ww--w-w- --------
true,0.0,-------- -b-b-b-b b-bbbbbb b----b-- --b-wwww --b-wwww ww--w-w- --------
false,3.71,-------- -b-b-b-b b-bbbbbb b----b-- --bw-www --b-wwww ww--w-w- --------
true,0.0,-------- -b-b-b-b b-bbbbbb b----b-- ----bwww --b-wwww ww--w-w- --------
true,0.0,-------- w------b b-bbbb-b b------- -----www --b--www ww--w-w- --------
false,4.65,-------- w------b b-bb-b-b b---b--- -----www --b--www ww--w-w- --------
false,12.12,W------- -------b b-bb-b-b b---b--- -----www --b--www ww--w-w- --------
false,6.70,W------- -------b -bbb-b-b b---b--- -----www --b--www ww--w-w- --------
true,0.0,-------- -------b -bbb--Wb -------- -----www -----www ww--w-w- --------
true,0.0,-------- -------b -bbb-b-- -------- -----www -----www ww--w-w- --------
false,5.14,-------- -------b -bbb-b-- -------- -----www ----wwww ww----w- --------
false,9.71,-------- -------- -bbb-b-b -------- -----www ----wwww ww----w- --------
false,1.63,-------- -------- -bbb-b-b ------w- -----w-w ----wwww ww----w- --------
false,4.92,-------- -------- b-bb-b-b ------w- -----w-w ----wwww ww----w- --------
false,2.68,-------- -------- b-bb-b-b ------w- -----w-w ----wwww w-w---w- --------
false,7.55,-------- -------- --bb-b-b b-----w- -----w-w ----wwww w-w---w- --------
false,3.26,-------- -------- --bb-b-b b-----w- -----w-w w---wwww --w---w- --------
false,2.98,-------- -------- --b--b-b b--b--w- -----w-w w---wwww --w---w- --------
false,4.55,-------- -------- --b--bwb b--b---- -----w-w w---wwww --w---w- --------
false,4.14,-------- -------- --b-b-wb b--b---- -----w-w w---wwww --w---w- --------
false,2.47,-------- ------w- --b-b--b b--b---- -----w-w w---wwww --w---w- --------
false,4.16,-------- ------w- --b-b--b b------- ---b-w-w w---wwww --w---w- --------
false,7.45,------W- -------- --b-b--b b------- ---b-w-w w---wwww --w---w- --------
false,2.24,------W- -------- -b--b--b b------- ---b-w-w w---wwww --w---w- --------
false,2.57,W------- -------- -b--b--b b------- ---b-w-w w---wwww --w---w- --------
false,1.55,W------- -------- b---b--b b------- ---b-w-w w---wwww --w---w- --------
false,2.61,W------- -------- b---b--b b------- ---b-w-w w--w-www --w---w- --------
true,0.0,W------- -------- b---b--b b------- -----w-w w----www -b----w- --------
false,18.00,W------- -------- b---b--b b------- w----w-w -----www -b----w- --------
true,0.0,W------- -------- b---b--b -------- -----w-w b----www -b----w- --------
false,0.04,----W--- -------- -------b -------- -----w-w -----www ------w- --------
