AUTO,TIME,BOARD
false,7.34,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.24,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.09,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,4.69,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,2.78,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,6.87,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,6.44,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,14.82,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwwww-w --------
false,6.11,-------- bbbbb-bb bbb-bb-b ---b-bb- ----w--w wwww-www wwwww-ww --------
false,14.40,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwww-www wwwww-ww --------
false,5.32,-------- bbbbb-bb bb--bb-b --bb-bb- ----w--w wwwwwwww wwww--ww --------
false,10.85,-------- bbbbb-bb b---bb-b -bbb-bb- ----w--w wwwwwwww wwww--ww --------
false,4.69,-------- bbbbb-bb b---bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,24.19,-------- bb-bb-bb b-b-bb-b -bbb-bb- w---w--w -wwwwwww wwww--ww --------
false,6.32,-------- bb-bb-bb b-b-bb-b -bbb-bb- -w--w--w -wwwwwww wwww--ww --------
false,10.29,-------- b--bb-bb bbb-bb-b -bbb-bb- -w--w--w -wwwwwww wwww--ww --------
false,5.83,-------- b--bb-bb bbb-bb-b -bbb-bb- -w--w--w wwwwwwww -www--ww --------
false,14.75,-------- b---b-bb bbbbbb-b -bbb-bb- -w--w--w wwwwwwww -www--ww --------
false,4.80,-------- b---b-bb bbbbbb-b -bbb-bb- -w--w--w wwwwwwww -ww-w-ww --------
false,11.67,-------- b---b--b bbbbbbbb -bbb-bb- -w--w--w wwwwwwww -ww-w-ww --------
false,4.13,-------- b---b--b bbbbbbbb -bbb-bb- -w--w--w wwwwwwww -w-ww-ww --------
false,9.95,-------- b---b--b bbbbbbbb b-bb-bb- -w--w--w wwwwwwww -w-ww-ww --------
false,2.77,-------- b---b--b bbbbbbbb b-bb-bb- w---w--w wwwwwwww -w-ww-ww --------
false,8.12,-------- b---b--b b-bbbbbb bbbb-bb- w---w--w wwwwwwww -w-ww-ww --------
false,2.93,-------- b---b--b b-bbbbbb bbbb-bb- -w--w--w wwwwwwww -w-ww-ww --------
false,2.33,-------- b---b--b b-bbbbbb -bbb-bb- bw--w--w wwwwwwww -w-ww-ww --------
false,3.33,-------- b---b--b bwbbbbbb --bb-bb- b---w--w wwwwwwww -w-ww-ww --------
true,0.0,-------- b---b--b bwbbbbbb --bb-bb- ----w--w -wwwwwww --bww-ww --------
true,0.0,-------- b---b--b bwbbbbbb --bb-bb- ----w--w -wwwwwww -w--w-ww --------
false,8.60,-------- b---b--b bwbbbbbb --b-bbb- ----w--w -wwwwwww -w--w-ww --------
false,4.34,-------- b---b--b bwbbbbbb --b-bbb- ----ww-w -wwww-ww -w--w-ww --------
true,0.0,-------- b---b--b bwbbbbbb --b-b-b- ----w--w -wwwwbww -w--w-ww --------
false,5.25,-------- b---b--b bwbbbbbb --b-b-bw ----w--- -wwwwbww -w--w-ww --------
true,0.0,-------- b---b--b bwbbbbb- --b-b-b- ----w--b -wwwwbww -w--w-ww --------
true,0.0,-------- b----w-b bwb-bbb- --b----- ----w--- -wwwwbw- -w--w-ww --------
true,0.0,-------- b----w-b bwb-bbb- --b----- ----w--- -wwww--- -w--w-w- -------B
true,0.0,-------- b----w-b b--wbbb- --b----- ----w--- -wwww--- -w--w-w- -------B
true,0.0,-------- b----w-b b-b--bb- --b----- ----w--- -wwww--- -w--w-w- -------B
false,18.94,-------- b---w--b b-b--bb- --b----- ----w--- -wwww--- -w--w-w- -------B
false,162.08,-------- b---w--b b-b--bb- --b----- ----w--- -wwww--- -w--w-wB --------
false,15.52,-------- b---w--b b-b--bb- --b----- ----w--- -wwww--- -w---wwB --------
false,61.65,-------- b---w--b b-b--b-- --b---b- ----w--- -wwww--- -w---wwB --------
false,27.99,-------- b---w--b b-b--b-- --b---b- ----w--- -www-w-- -w---wwB --------
false,105.46,-------- b---w--b b-b--b-- --b----- ----w-b- -www-w-- -w---wwB --------
false,17.32,-------- b---w--b b-b--b-- --b----- -----wb- -www-w-- -w---wwB --------
true,0.0,-------- b---w--b b-b--b-- --b----- ----b--- -www-w-- -w---wwB --------
false,13.44,-------- b---w--b b-b--b-- --b----- ----b--- -www-w-- --w--wwB --------
false,54.96,-------- b---w-b- b-b--b-- --b----- ----b--- -www-w-- --w--wwB --------
false,13.08,-------- b---w-b- b-b--b-- --b----- ----b--- -www--w- --w--wwB --------
false,86.78,-------- b---w-b- b-b----- --b--b-- ----b--- -www--w- --w--wwB --------
false,22.57,-------- b---w-b- b-b----- --b--b-- ---wb--- -ww---w- --w--wwB --------
true,0.0,-------- b---w-b- b-b----- --b--b-- --b----- -ww---w- --w--wwB --------
false,17.65,----W--- b-----b- b-b----- --b--b-- --b----- -ww---w- --w--wwB --------
false,139.14,----W--B b-----b- b-b----- --b--b-- --b----- -ww---w- --w--ww- --------
false,6.82,W------B b-----b- b-b----- --b--b-- --b----- -ww---w- --w--ww- --------
false,139.55,W------B b-----b- --b----- b-b--b-- --b----- -ww---w- --w--ww- --------
true,0.0,-------B -------W -------- --b----- -------- -ww---w- --w--ww- --------
true,0.0,-------- -------- -------- --b----- -------- -ww----- --w---w- -----B--
false,5.09,-------- -------- -------- --b----- -------- -ww----- ---w--w- -----B--
false,2.34,-------- -------- -------- --b----- -------- -ww----- ---w--w- -------B
false,2.65,-------- -------- -------- --b----- -------- -ww---w- ---w---- -------B
false,4.04,-------- -------- -------- --b----- -------- -ww---w- ---w---- B-------
