AUTO,TIME,BOARD
false,4.94,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.33,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,5.71,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,5.93,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,5.13,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,9.35,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,15.49,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,12.79,-------- bbbbbbbb b-b-b--b -b-b-bb- ----w--w wwwwwwww wwww-ww- --------
false,14.20,-------- bbbbbbbb b-b-b--b -b-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,25.49,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,19.67,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,13.66,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,17.01,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-w-w --------
false,13.24,-------- bbbbbb-b --b-b-bb bb-b-b-b --w-w--w wwwwwwww ww-w-w-w --------
false,24.95,-------- bbbbbb-b --b-b-bb bb-b-b-b --w-w-ww wwwwww-w ww-w-w-w --------
false,11.85,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-w-ww wwwwww-w ww-w-w-w --------
false,5.95,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-ww-w wwwwww-w ww-w-w-w --------
false,8.46,-------- bbbbbb-b --b-bb-b bb-bb--b --w-ww-w wwwwww-w ww-w-w-w --------
false,16.99,-------- bbbbbb-b --b-bb-b bb-bb--b --w-ww-w wwwwww-w ww-w-ww- --------
false,10.25,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-ww-w wwwwww-w ww-w-ww- --------
false,15.53,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-ww-w wwwwwwww ww-w-w-- --------
false,10.99,-------- bbbbbb-b --b-bb-b bb-b-bb- --w-ww-w wwwwwwww ww-w-w-- --------
false,19.30,-------- bbbbbb-b --b-bb-b bb-b-bb- --w-ww-w wwwwwwww ww-w--w- --------
false,10.70,-------- bbbbbb-b ---bbb-b bb-b-bb- --w-ww-w wwwwwwww ww-w--w- --------
false,11.36,-------- bbbbbb-b ---bbb-b bbwb-bb- ----ww-w wwwwwwww ww-w--w- --------
false,2.37,-------- bbbbbb-b ---bb-bb bbwb-bb- ----ww-w wwwwwwww ww-w--w- --------
true,0.0,-----W-- bbbbb--b ---bb-bb bbwb--b- ----w--w wwwwwwww ww-w--w- --------
false,3.07,-----W-- bbbbb--b ---bbb-b bbwb--b- ----w--w wwwwwwww ww-w--w- --------
true,0.0,-------- bbbbb--b ---bb--b bbwb---W ----w--w wwwwwwww ww-w--w- --------
false,0.72,-------- bbbbb--b ---bb--b bbw-b--W ----w--w wwwwwwww ww-w--w- --------
true,0.0,-------- bbbbb--b ---bb--b bbwW---- ----w--w wwwwwwww ww-w--w- --------
true,0.0,-------- bbbbb--b ----b--b bbw----- -------w wwwww-ww ww-w---b --------
false,16.85,-------- bbbbb--b ----b--b bbw----- ------ww wwwww--w ww-w---b --------
true,0.0,-------- bbbbb--b ----b--b b--b---- ------ww wwwww--w ww-w---b --------
false,30.86,-------- bbbbb--b ----b--b b--b---- --w---ww ww-ww--w ww-w---b --------
false,42.71,-------- bbb-b--b ---bb--b b--b---- --w---ww ww-ww--w ww-w---b --------
false,45.63,-------- bbb-b--b ---bb--b b--b---- --w-w-ww ww-w---w ww-w---b --------
false,40.73,-------- bbbb---b ---bb--b b--b---- --w-w-ww ww-w---w ww-w---b --------
false,36.82,-------- bbbb---b ---bb--b b--b---- --w-w-ww www----w ww-w---b --------
false,23.37,-------- bb-b---b --bbb--b b--b---- --w-w-ww www----w ww-w---b --------
false,29.27,-------- bb-b---b --bbb--b b--b---- --w-w-ww wwww---w ww-----b --------
false,25.83,-------- bb-b---b --bbb--b b------- --wbw-ww wwww---w ww-----b --------
true,0.0,-------- bb-b---b --bbb--b b--w---- --w-w-ww www----w ww-----b --------
false,0.89,-------- bb-b---b --b-b--b b------- -b--w-ww www----w ww-----b --------
true,0.0,-------- bb-b---b --b-b--b bw------ ----w-ww w-w----w ww-----b --------
true,0.0,-------- bb-b---b --b-b--b --b----- ----w-ww w-w----w ww-----b --------
false,34.50,-------- bb-b---b --b-b--b --b----- ----w-ww www----w w------b --------
false,15.10,-------- bb-b---b --b-b--b --b----- ----w-ww www----w w------- -------B
false,41.68,-------- bb-b---b --b-b--b --b----- w---w-ww -ww----w w------- -------B
false,45.32,-------- bb-b--b- --b-b--b --b----- w---w-ww -ww----w w------- -------B
false,32.74,-------- bb-b--b- --b-b--b --b-w--- w-----ww -ww----w w------- -------B
true,0.0,-------- bb-b--b- --b----b --b----- w---b-ww -ww----w w------- -------B
false,26.38,-------- bb-b--b- --b----b --b----- w---b-ww -ww---w- w------- -------B
true,0.0,-------- bb-b--b- --b----b --b----B w---b-w- -ww---w- w------- --------
false,52.37,-------- bb-b--b- --b----b --b----B w---b--w -ww---w- w------- --------
false,2.46,-------- bb-b--b- --b----b --b----- w---b--- -ww-B--- w------- --------
false,18.13,-------- bb-b--b- --b----b --b----- w---b--- w-w-B--- w------- --------
true,0.0,-------- bb-b--b- --b----b --b----- w---b--- wB------ w------- --------
true,0.0,-------- bb-b--b- --b----b --b----- w---b--- --w----- w------- --------
false,11.53,-------- bb-b--b- --b----b --b----- w----b-- --w----- w------- --------
false,17.96,-------- bb-b--b- --b----b --b----- w----b-- w-w----- -------- --------
false,5.92,-------- bb-b--b- --b----b --b----- w------- w-w--b-- -------- --------
false,4.85,-------- bb-b--b- --b----b w-b----- -------- w-w--b-- -------- --------
false,2.50,-------- bb-b--b- --b----b w-b----- -------- w-w----- -----b-- --------
false,6.30,-------- bb-b--b- --b----b w-b----- -------- w--w---- -----b-- --------
false,5.42,-------- bb-b--b- --b----b w-b----- -------- w--w---- -------- -----B--
false,10.12,-------- bb-b--b- --b----b w-b----- ---w---- w------- -------- -----B--
false,6.69,-------- bb-b--b- --b----b w-b----- ---w---- w------- -------- B-------
false,0.25,-------- bb-b--b- --b----b w-b----- w--w---- -------- -------- B-------
false,2.09,-------- bb-b--b- --b----b w-b----- w--w---- -------- -------- -------B
false,2.83,-------- bb-b--b- --b----b w-bw---- w------- -------- -------- -------B
true,0.0,-------- bb-b--b- --b----b w---b--- w------- -------- -------- -------B
false,0.83,-------- bb-b--b- w-b----b ----b--- w------- -------- -------- -------B
true,0.0,-------- -b-b--b- --b----b ----b--- -------- b------- -------- -------B
