AUTO,TIME,BOARD
false,4.40,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,7.16,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.53,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.27,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,3.85,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,5.25,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,10.54,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,6.89,-------- bbbbbbbb b-b-b--b -b-b-bb- ----w--w wwwwwwww wwww-ww- --------
false,10.64,-------- bbbbbbbb b-b-b--b -b-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,3.89,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,14.01,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,2.35,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,12.44,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-w-w --------
false,2.48,-------- bbbbbb-b --b--bbb bb-b-bb- --w-w--w wwwwwwww ww-w-w-w --------
false,13.16,-------- bbbbbb-b --b--bbb bb-b-bbw --w-w--- wwwwwwww ww-w-w-w --------
true,0.0,-------- bbbbbb-b --b--bb- bb-b-bb- --w-w--b wwwwwwww ww-w-w-w --------
true,0.0,-------- bbbbbb-b --b--bb- bb-b-bbw --w-w--- wwwwwww- ww-w-w-w --------
false,1.50,-------- bbbb-b-b --b-bbb- bb-b-bbw --w-w--- wwwwwww- ww-w-w-w --------
false,3.20,-------- bbbb-b-b --b-bbb- bb-b-bbw --w--w-- wwwwwww- ww-w-w-w --------
false,1.60,-------- bbbb-b-b --b-bbb- bb-bb-bw --w--w-- wwwwwww- ww-w-w-w --------
true,0.0,-------- bbbb-b-b --b-bbb- bb-bbw-- --w--w-- wwwwwww- ww-w-w-w --------
true,0.0,-------- bbbb-b-b --b-bbb- bb-b--b- --w--w-- wwwwwww- ww-w-w-w --------
false,21.40,-------- bbbb-b-b --b-bbb- bb-b--b- --w--w-- wwwwwwww ww-w-w-- --------
false,2.58,-------- bbbb-b-b --b-bbb- bb-b---b --w--w-- wwwwwwww ww-w-w-- --------
false,23.78,-------- bbbb-b-b --b-bbb- bb-b---b --w--ww- wwwwww-w ww-w-w-- --------
false,2.66,-------- bbbb-b-b --b-bb-- bb-b--bb --w--ww- wwwwww-w ww-w-w-- --------
true,0.0,-------- bbbb-b-b --b-bbw- bb-b---b --w--w-- wwwwww-w ww-w-w-- --------
true,0.0,-------- bbbb-b-b --b-b--b bb-b---b --w--w-- wwwwww-w ww-w-w-- --------
false,27.07,-------- bbbb-b-b --b-b--b bb-b---b --w-ww-- wwww-w-w ww-w-w-- --------
false,2.61,-------- b-bb-b-b -bb-b--b bb-b---b --w-ww-- wwww-w-w ww-w-w-- --------
false,5.37,-------- b-bb-b-b -bb-b--b bb-b---b --w-ww-- wwww-w-w ww-w--w- --------
false,3.59,-------- b-bb-b-b -bb-b--b bb-b---- --w-ww-b wwww-w-w ww-w--w- --------
true,0.0,-------- b-bb-b-b -bb-b--b bb-b---w --w-ww-- wwww-w-- ww-w--w- --------
true,0.0,-------- b-bb-b-b -bb-b--- bb-b---- --w-ww-b wwww-w-- ww-w--w- --------
false,35.23,-------- b-bb-b-b -bb-b--- bb-b---- --w-ww-b wwww-w-- ww-w---w --------
false,2.67,-------- b-bb---b -bb-bb-- bb-b---- --w-ww-b wwww-w-- ww-w---w --------
false,14.97,-------- b-bb---b -bb-bb-- bb-b---- --w-ww-b wwww-w-- ww-w--w- --------
false,2.49,-------- b-bb---b -bbb-b-- bb-b---- --w-ww-b wwww-w-- ww-w--w- --------
false,20.73,-------- b-bb---b -bbb-b-- bb-bw--- --w--w-b wwww-w-- ww-w--w- --------
true,0.0,-------- b-bb---b -bbb-b-- bb---b-- --w--w-b wwww-w-- ww-w--w- --------
false,52.01,-------- b-bb---b -bbb-b-- bb---b-- --w--w-b wwww-w-- ww-w---w --------
false,10.60,-------- b-bb---b -bb--b-- bb-b-b-- --w--w-b wwww-w-- ww-w---w --------
false,16.85,-------- b-bb---b -bb--b-- bb-b-b-- --w--w-b wwww-w-- ww-w--w- --------
false,2.38,-------- b-bb---b -bb--b-- bb-bb--- --w--w-b wwww-w-- ww-w--w- --------
false,32.41,-------- b-bb---b -bb--b-- bb-bb--- --w--w-b wwww-ww- ww-w---- --------
false,1.75,-------- b-b----b -bbb-b-- bb-bb--- --w--w-b wwww-ww- ww-w---- --------
false,23.78,-------- b-b----b -bbb-b-- bb-bb--- --w--w-b wwww-ww- ww--w--- --------
false,1.76,-------- b-b----b -bbb--b- bb-bb--- --w--w-b wwww-ww- ww--w--- --------
false,17.12,-------- b-b----b -bbb--b- bb-bb--- --w--w-b wwww-ww- ww-w---- --------
false,1.60,-------- b-b----- -bbb--bb bb-bb--- --w--w-b wwww-ww- ww-w---- --------
false,14.14,-------- b-b----- -bbb--bb bb-bb--- --w--w-b wwww-ww- ww--w--- --------
false,5.12,-------- b-b----- -bbb--bb bbb-b--- --w--w-b wwww-ww- ww--w--- --------
false,12.27,-------- b-b----- -bbb--bb bbb-b--- --w--w-b wwww-ww- ww-w---- --------
false,4.47,-------- b-b----- -bbb--b- bbb-b--b --w--w-b wwww-ww- ww-w---- --------
false,13.90,-------- b-b----- -bbb--b- bbb-b--b --w--w-b wwww-ww- ww--w--- --------
false,6.29,-------- --b----- bbbb--b- bbb-b--b --w--w-b wwww-ww- ww--w--- --------
false,12.18,-------- --b----- bbbb--b- bbb-b--b --w--w-b wwww-ww- ww-w---- --------
false,4.16,-------- --b----- bbbb---- bbb-b-bb --w--w-b wwww-ww- ww-w---- --------
false,5.36,-------- --b----- bbbb---- bbb-b-bb --w--w-b wwww-ww- ww--w--- --------
false,2.43,-------- --b----- bbb-b--- bbb-b-bb --w--w-b wwww-ww- ww--w--- --------
false,8.68,-------- --b----- bbb-b--- bbb-b-bb --w--w-b wwww-ww- w-w-w--- --------
false,2.97,-------- --b----- bbb--b-- bbb-b-bb --w--w-b wwww-ww- w-w-w--- --------
false,10.86,-------- --b----- bbb--b-- bbb-b-bb --w--w-b wwwwwww- w-w----- --------
false,2.48,-------- --b----- bbb--b-- bbb-b-bb --w--w-- wwwwwwwb w-w----- --------
false,7.16,-------- --b----- bbb--b-- bbb-b-bb --w-ww-- wwww-wwb w-w----- --------
true,0.0,-------- --b----- bbb--b-- bbb---bb --w--w-- wwwwbwwb w-w----- --------
false,5.68,-------- --b----- bbb--b-- bbb---bb --w---w- wwwwbwwb w-w----- --------
false,2.02,-------- --b----- bbb--b-- bbb--b-b --w---w- wwwwbwwb w-w----- --------
false,5.51,-------- --b----- bbb--b-- bbb--b-b --w--ww- wwwwb-wb w-w----- --------
false,3.83,-------- --b----- bbb--b-- bbb----b --w---w- wwwwbbwb w-w----- --------
false,3.51,-------- --b----- bbb--b-- bbb----b -ww---w- w-wwbbwb w-w----- --------
true,0.0,-------- --b----- bbb--b-- b-b----b --w---w- wbwwbbwb w-w----- --------
false,1.99,-------- --b----- bbb--b-- b-b----b --ww--w- wbw-bbwb w-w----- --------
true,0.0,-------- --b----- bbb--b-- b-b----b --ww--w- w--bbbwb w-w----- --------
false,3.56,-------- --b----- bbb--b-- b-b----b --ww--w- w-wbbbwb w------- --------
true,0.0,-------- --b----- bbb--b-- b-b----b --ww--w- wb--bbwb w------- --------
true,0.0,-------- --b----- bbb--b-- b-b----b --ww--w- --w-bbwb w------- --------
false,4.97,-------- --b----- bbb--b-- b-b----b --ww--w- --w-b-wb w----b-- --------
false,1.96,-------- --b----- bbb--b-- b-b----b --ww--w- w-w-b-wb -----b-- --------
true,0.0,-------- --b----- bbb--b-- b-b----b --ww--w- w-w-bb-- -----b-- --------
false,5.97,-------- --b----- bbb--b-- b-b----b w-ww--w- --w-bb-- -----b-- --------
true,0.0,-------- --b----- bbb--b-- --b----b --ww--w- b-w-bb-- -----b-- --------
false,9.01,-------- --b----- bbb--b-- --b---wb --ww---- b-w-bb-- -----b-- --------
true,0.0,-------- --b----- bbb--b-- --b--b-- --ww---- b-w-bb-- -----b-- --------
false,3.59,-------- --b----- bbb--b-- --b--b-- --w-w--- b-w-bb-- -----b-- --------
false,0.68,-------- --b----- bbb--b-- --b--b-- --w-w--- b-w-bb-- -------- -----B--
false,6.02,-------- --b----- bbb--b-- --b-wb-- --w----- b-w-bb-- -------- -----B--
true,0.0,-------- --b----- bbb--b-- --bb---- --w----- b-w-bb-- -------- -----B--
