AUTO,TIME,BOARD
false,5.46,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,6.80,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,4.04,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,4.76,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,4.29,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,6.49,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,12.81,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,14.31,-------- bbbbbbbb bb--b--b --bb-bb- ----w--w wwwwwwww wwww-ww- --------
false,11.84,-------- bbbbbbbb bb--b--b --bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,4.33,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,16.62,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w wwwwwwww w-ww-ww- --------
false,5.16,-------- bbbbbbbb -b--b--b --bb-bb- bw--w--w wwwwwwww w-ww-ww- --------
true,0.0,-------- bbbbbbbb -b--b--b w-bb-bb- -w--w--w -wwwwwww w-ww-ww- --------
false,5.27,-------- bbbbbb-b -b--b-bb w-bb-bb- -w--w--w -wwwwwww w-ww-ww- --------
false,4.89,-------- bbbbbb-b -b--b-bb w-bb-bb- -w--w--w wwwwwwww --ww-ww- --------
false,4.11,-------- bbbbb--b -b--bbbb w-bb-bb- -w--w--w wwwwwwww --ww-ww- --------
false,8.05,-------- bbbbb--b -b--bbbb w-bb-bb- ww--w--w -wwwwwww --ww-ww- --------
false,11.39,-------- bbb-b--b -b-bbbbb w-bb-bb- ww--w--w -wwwwwww --ww-ww- --------
false,10.10,-------- bbb-b--b -b-bbbbb w-bb-bb- ww--w--w -wwwwwww --ww-w-w --------
false,2.97,-------- bb--b--b -bbbbbbb w-bb-bb- ww--w--w -wwwwwww --ww-w-w --------
false,9.50,-------- bb--b--b -bbbbbbb w-bb-bb- ww--w-ww -wwwww-w --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbbbb w-bb-b-- ww--w--w -wwwwwbw --ww-w-w --------
false,15.91,-------- bb--b--b -bbbbbbb w-bb-b-w ww--w--- -wwwwwbw --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbbb- w-bb-b-- ww--w--b -wwwwwbw --ww-w-w --------
