AUTO,TIME,BOARD
false,6.59,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,9.38,-------- bbbbbbbb bbbbb-bb -----b-- -------w wwwwwww- wwwwwwww --------
false,4.05,-------- bbbbbbbb bbbbb-bb -----b-- -------w wwwwwwww wwwwwww- --------
false,9.29,-------- bbbbbbbb bb-bb-bb --b--b-- -------w wwwwwwww wwwwwww- --------
false,7.45,-------- bbbbbbbb bb-bb-bb --b--b-- ------ww wwwwww-w wwwwwww- --------
false,7.21,-------- bbbbbbbb bb-bb-bb --b---b- ------ww wwwwww-w wwwwwww- --------
false,9.15,-------- bbbbbbbb bb-bb-bb --b---b- ------ww wwwwwwww wwwwww-- --------
false,10.93,-------- bbbbbbbb -b-bb-bb b-b---b- ------ww wwwwwwww wwwwww-- --------
false,51.51,-------- bbbbbbbb -b-bb-bb b-b---b- -----www wwwww-ww wwwwww-- --------
false,8.35,-------- bbbbbbbb ---bb-bb bbb---b- -----www wwwww-ww wwwwww-- --------
false,4.62,-------- bbbbbbbb ---bb-bb bbb---b- -----www wwwwwwww wwwww--- --------
false,7.78,-------- bb-bbbbb --bbb-bb bbb---b- -----www wwwwwwww wwwww--- --------
false,12.41,-------- bb-bbbbb --bbb-bb bbb---b- ----wwww wwww-www wwwww--- --------
false,5.95,-------- bb-bb-bb --bbbbbb bbb---b- ----wwww wwww-www wwwww--- --------
false,4.86,-------- bb-bb-bb --bbbbbb bbb---b- ----wwww wwwwwwww wwww---- --------
false,5.27,-------- bb-bb-bb --bbbbbb bbb--b-- ----wwww wwwwwwww wwww---- --------
false,16.10,-------- bb-bb-bb --bbbbbb bbb--b-- ---wwwww www-wwww wwww---- --------
false,7.41,-------- b--bb-bb -bbbbbbb bbb--b-- ---wwwww www-wwww wwww---- --------
false,3.81,-------- b--bb-bb -bbbbbbb bbb--b-- ---wwwww wwwwwwww www----- --------
false,4.99,-------- b-b-b-bb -bbbbbbb bbb--b-- ---wwwww wwwwwwww www----- --------
false,13.76,-------- b-b-b-bb -bbbbbbb bbb--b-- ---wwwww wwwwwwww ww-w---- --------
false,5.55,-------- b-b-bb-b -bbbbbbb bbb--b-- ---wwwww wwwwwwww ww-w---- --------
false,4.02,-------- b-b-bb-b -bbbbbbb bbb--b-- ---wwwww wwwwwwww ww--w--- --------
false,5.74,-------- b-b-bb-b -bbbbbbb bbb-b--- ---wwwww wwwwwwww ww--w--- --------
false,7.38,-------- b-b-bb-b -bbbbbbb bbb-b--- ---wwwww wwwwwwww ww---w-- --------
false,5.11,-------- b-b-bb-b b-bbbbbb bbb-b--- ---wwwww wwwwwwww ww---w-- --------
false,2.91,-------- b-b-bb-b b-bbbbbb bbb-b--- ---wwwww wwwwwwww ww----w- --------
false,5.57,-------- b-b-b-bb b-bbbbbb bbb-b--- ---wwwww wwwwwwww ww----w- --------
false,3.73,-------- b-b-b-bb b-bbbbbb bbb-b-w- ---www-w wwwwwwww ww----w- --------
true,0.0,-------- b-b-b-bb b-bbbb-b bbb-b--- ---wwwbw wwwwwwww ww----w- --------
true,0.0,-------- b-b-b-bb b-bbbb-b bbb-b-w- ---www-w wwwwww-w ww----w- --------
false,7.85,-------- b-b-b-bb b-bbbbb- bbb-b-w- ---www-w wwwwww-w ww----w- --------
false,6.97,-------- b-b-b-bb b-bbbbb- bbb-b-ww ---www-- wwwwww-w ww----w- --------
true,0.0,-------- b-b-b-bb b-bbbb-- bbb-b--w ---wwwb- wwwwww-w ww----w- --------
true,0.0,-------- b-b-b-bb b-bbbb-- bbb-b--w ---ww--w wwwwww-w ww----w- --------
false,7.40,-------- b--bb-bb b-bbbb-- bbb-b--w ---ww--w wwwwww-w ww----w- --------
false,8.77,-------- b--bb-bb b-bbbb-- bbb-b--w ---ww--w wwwwwwww ww------ --------
false,5.54,-------- b-b-b-bb b-bbbb-- bbb-b--w ---ww--w wwwwwwww ww------ --------
false,4.83,-------- b-b-b-bb b-bbbb-- bbb-b--w ---ww-ww wwwwww-w ww------ --------
false,5.88,-------- b-b-b-bb b-bbbb-- bbbb---w ---ww-ww wwwwww-w ww------ --------
false,4.10,-------- b-b-b-bb b-bbbb-- bbbb---w ---wwwww wwwww--w ww------ --------
false,5.30,-------- b-b-b-bb b-bbbb-- bbb-b--w ---wwwww wwwww--w ww------ --------
false,3.54,-------- b-b-b-bb b-bbbb-- bbb-b-ww ---www-w wwwww--w ww------ --------
false,4.74,-------- b-bb--bb b-bbbb-- bbb-b-ww ---www-w wwwww--w ww------ --------
false,1.63,-------- b-bb--bb b-bbbb-- bbb-bwww ---ww--w wwwww--w ww------ --------
true,0.0,-------- b-bb--bb b-bbb--- bbb-b-ww ---wwb-w wwwww--w ww------ --------
true,0.0,-------- b-bb--bb b-bbb--- bbb-b-ww ---w--ww wwwww--w ww------ --------
false,5.63,-------- b-bb--bb b-bbb--- bbbb--ww ---w--ww wwwww--w ww------ --------
false,1.94,-------- b-bb--bb b-bbb--- bbbb--ww ---ww-ww wwww---w ww------ --------
false,5.29,-------- bb-b--bb b-bbb--- bbbb--ww ---ww-ww wwww---w ww------ --------
false,1.56,-------- bb-b--bb b-bbb--- bbbb--ww ---ww-ww wwww---w w-w----- --------
false,5.11,-------- bb-b--bb b-bbb--- b-bb--ww -b-ww-ww wwww---w w-w----- --------
true,0.0,-------- bb-b--bb b-bbb--- bwbb--ww ---ww-ww w-ww---w w-w----- --------
false,4.94,-------- bb-b--bb -bbbb--- bwbb--ww ---ww-ww w-ww---w w-w----- --------
false,0.74,-------- bb-b--bb -bbbb--- bwbb--ww ---ww-ww w-ww---w w--w---- --------
true,0.0,-------- bb-b--bb --bbb--- b-bb--ww -b-ww-ww w-ww---w w--w---- --------
false,4.24,-------- bb-b--bb --bbb--- b-bb-w-w -b-ww-ww w-ww---w w--w---- --------
false,4.46,-------- bb-b--bb --bbb--- b-bb-w-w ---ww-ww wbww---w w--w---- --------
false,3.69,-------- bb-b--bb --bbb--- b-bbw--w ---ww-ww wbww---w w--w---- --------
true,0.0,-------- bb-b--bb --bbb--- b-b--b-w ---ww-ww wbww---w w--w---- --------
false,6.53,-------- bb-b--bb --bbb--- b-b--bw- ---ww-ww wbww---w w--w---- --------
true,0.0,-------- bb-b--bb --bbb--- b-b----b ---ww-ww wbww---w w--w---- --------
true,0.0,-------W bb-b--b- --bbb--- b-b----- ---ww-w- wbww---w w--w---- --------
false,3.72,-------W bb-b---- --bbb-b- b-b----- ---ww-w- wbww---w w--w---- --------
false,9.68,-------W bb-b---- --bbb-b- b-b----- ---ww-w- wbww---w -w-w---- --------
true,0.0,-------W bb-b---- --bbb-b- b-b----- ---ww-w- w-ww---w ---w---- -B------
false,44.19,-------W bb-b---- --bbb-b- b-b----- --www-w- w--w---w ---w---- -B------
true,0.0,-------W bb-b---- --bbb-b- b------- ---ww-w- w---b--w ---w---- -B------
false,41.52,-------W bb-b---- --bbb-b- b------- w--ww-w- ----b--w ---w---- -B------
true,0.0,-------W bb-b---- --bbb-b- -------- ---ww-w- b---b--w ---w---- -B------
false,57.95,-------W bb-b---- --bbb-b- -------- ---ww-w- b---b--w ----w--- -B------
true,0.0,-------W bb-b---- --bbb-b- -------- ---ww-w- b------w -------- -B--B---
false,10.11,W------- bb-b---- --bbb-b- -------- ---ww-w- b------w -------- -B--B---
true,0.0,W------- bb-b---- --bbb-b- ----B--- ---w--w- b------w -------- -B------
false,0.19,-------- -------- ---b---- -------- ---w--w- -------w -------- ----W---
