AUTO,TIME,BOARD
false,6.24,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.81,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,3.97,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,5.83,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,4.15,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,8.71,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,13.36,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,17.78,-------- bbbbbbbb bb--b--b --bb-bb- ----w--w wwwwwwww wwww-ww- --------
false,12.37,-------- bbbbbbbb bb--b--b --bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,21.26,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,16.84,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w wwwwwwww w-ww-ww- --------
false,25.77,-------- bbbbbbbb -b--b--b --bb-bb- bw--w--w wwwwwwww w-ww-ww- --------
true,0.0,-------- bbbbbbbb -b--b--b w-bb-bb- -w--w--w -wwwwwww w-ww-ww- --------
false,24.53,-------- bbbbbb-b -b--b-bb w-bb-bb- -w--w--w -wwwwwww w-ww-ww- --------
false,5.07,-------- bbbbbb-b -b--b-bb w-bb-bb- -w--w--w wwwwwwww --ww-ww- --------
false,22.48,-------- bbbbb--b -b--bbbb w-bb-bb- -w--w--w wwwwwwww --ww-ww- --------
false,8.43,-------- bbbbb--b -b--bbbb w-bb-bb- ww--w--w -wwwwwww --ww-ww- --------
false,13.06,-------- bbb-b--b -b-bbbbb w-bb-bb- ww--w--w -wwwwwww --ww-ww- --------
false,10.68,-------- bbb-b--b -b-bbbbb w-bb-bb- ww--w--w -wwwwwww --ww-w-w --------
false,17.11,-------- bbb-b--b -b-bbbbb w-bb-b-b ww--w--w -wwwwwww --ww-w-w --------
false,13.06,-------- bbb-b--b -b-bbbbb w-bb-b-b ww--w-ww -wwwww-w --ww-w-w --------
false,14.96,-------- bb--b--b -bbbbbbb w-bb-b-b ww--w-ww -wwwww-w --ww-w-w --------
false,3.83,-------- bb--b--b -bbbbbbb w-bb-bwb ww--w--w -wwwww-w --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbb-b w-bb-b-b ww--w-bw -wwwww-w --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbb-b w-bb-b-b ww--ww-- -wwwww-w --ww-w-w --------
false,13.62,-------- bb--b--b -bbbbb-b w-bb-b-- ww--ww-b -wwwww-w --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbb-b w-bb-b-w ww--ww-- -wwwww-- --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-b -wwwww-- --ww-w-w --------
false,11.73,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-b -wwwww-- --ww-ww- --------
false,14.68,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-- -wwwww-b --ww-ww- --------
false,21.79,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-- -wwwww-b --www-w- --------
false,9.60,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-- -wwwww-- --www-wb --------
false,22.44,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-- -wwwww-- -w-ww-wb --------
true,0.0,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-- -wwwww-- -w-wwb-- --------
true,0.0,-------- bb--b--b -bbbbb-- w-bb-b-- ww--ww-- -wwwww-- -w-w--w- --------
false,14.23,-------- bb--b--- -bbbbb-b w-bb-b-- ww--ww-- -wwwww-- -w-w--w- --------
false,12.94,-------- bb--b--- -bbbbb-b w-bb-b-- ww--ww-- -wwwwww- -w-w---- --------
false,10.76,-------- bb--b--- -bbbbb-- w-bb-b-b ww--ww-- -wwwwww- -w-w---- --------
false,12.18,-------- bb--b--- -bbbbb-- w-bb-b-b ww--www- -wwwww-- -w-w---- --------
false,7.20,-------- bb--b--- -bbbbb-- w-bb--bb ww--www- -wwwww-- -w-w---- --------
true,0.0,-------- bb--b--- -bbbbbw- w-bb---b ww--ww-- -wwwww-- -w-w---- --------
true,0.0,-------- bb--b--- -bbbb--b w-bb---b ww--ww-- -wwwww-- -w-w---- --------
false,12.79,-------- bb--b--- -bbbb--b w-bb---b ww-www-- -ww-ww-- -w-w---- --------
true,0.0,-------- bb--b--- -bbbb--b w-b----b ww--ww-- -ww-ww-- -w------ ---B----
false,32.51,-------- bb--b--- -bbbb--b w-b----b www-ww-- -w--ww-- -w------ ---B----
true,0.0,-------- bb--b--- -bbbb--b w------b ww--ww-- b---ww-- -w------ ---B----
false,13.71,-------- bb--b--- -bbbb--b w------b ww-w-w-- b---ww-- -w------ ---B----
true,0.0,-------- bb--b--- -bbbb--b w--B---b ww---w-- b---ww-- -w------ --------
false,7.43,-------- bb--b--- -bbbb--b -w-B---b ww---w-- b---ww-- -w------ --------
true,0.0,-------- bb--b--- -bbbb--b B------b ww---w-- b---ww-- -w------ --------
true,0.0,W------- -b--b--- -bbbb--b -------b -w---w-- b---ww-- -w------ --------
false,8.73,W------- -b--b--- -bbb---b ----b--b -w---w-- b---ww-- -w------ --------
false,8.31,-------- -b--b--- -bbb---b ----b--b -w---w-- ----ww-- -w------ W-------
false,33.16,-------- -b--b--- -bb----b ---bb--b -w---w-- ----ww-- -w------ W-------
false,7.31,-------- -b--b--- -bb----b ---bb--b -w---w-- -w--ww-- -------- W-------
false,28.63,-------- -b-b---- -bb----b ---bb--b -w---w-- -w--ww-- -------- W-------
false,8.12,-------- -b-b---- -bb----b ---bb--b -w---w-- -w--ww-- -------- -------W
false,20.10,-------- -b------ -bbb---b ---bb--b -w---w-- -w--ww-- -------- -------W
false,5.48,-------- -b------ -bbb---b ---bb--b -w---w-- -w--ww-- -------- W-------
false,16.01,-------- -b------ -bbb---b ---bb-b- -w---w-- -w--ww-- -------- W-------
false,4.02,-------- -b------ -bbb---b ---bbwb- -w------ -w--ww-- -------- W-------
false,3.11,-------- -b------ -bbb---b ---bbw-b -w------ -w--ww-- -------- W-------
false,0.75,-------- -b------ -bbb-w-b ---bb--b -w------ -w--ww-- -------- W-------
false,10.37,-------- -b------ -bbb-wb- ---bb--b -w------ -w--ww-- -------- W-------
true,0.0,-------- -b------ -bbb---w ---bb--b -w------ -w--ww-- -------- W-------
false,12.04,-------- -b------ -bbb---w ---bb--- -w-----b -w--ww-- -------- W-------
false,2.42,-------- -b-----w -bbb---- ---bb--- -w-----b -w--ww-- -------- W-------
false,10.44,-------- -b-----w -bbb---- ---bb--- -w------ -w--ww-b -------- W-------
false,4.48,-------W -b------ -bbb---- ---bb--- -w------ -w--ww-b -------- W-------
false,7.66,-------W -b------ -bbb---- ----b--- -w-b---- -w--ww-b -------- W-------
false,20.75,-------- -b------ -bbb---- ----b--- -w-b---- -w--ww-- -------- W------W
false,39.62,-------- -b------ -bbb---- ----b--- -w------ -w-bww-- -------- W------W
true,0.0,-------- -b------ -bbb---- ----b--- -w------ -ww--w-- -------- W------W
false,30.77,-------- b------- -bbb---- ----b--- -w------ -ww--w-- -------- W------W
true,0.0,W------- -------- -bbb---- ----b--- -w------ -ww--w-- -------- -------W
