AUTO,TIME,BOARD
false,12.90,-------- bbbbbbbb bbbbbbbb -------- ---w---- www-wwww wwwwwwww --------
false,11.43,-------- bbbbbbbb bbbbbbb- -------b ---w---- www-wwww wwwwwwww --------
false,11.75,-------- bbbbbbbb bbbbbbb- -------b ---w-w-- www-w-ww wwwwwwww --------
false,8.76,-------- bbbbbbbb bbbbbb-- ------bb ---w-w-- www-w-ww wwwwwwww --------
false,10.96,-------- bbbbbbbb bbbbbb-- ------bb ---w--w- www-w-ww wwwwwwww --------
false,5.38,-------- bbbbbb-b bbbbbbb- ------bb ---w--w- www-w-ww wwwwwwww --------
false,14.28,-------- bbbbbb-b bbbbbbb- ------bb ---w---w www-w-ww wwwwwwww --------
false,4.60,-------- bbbbbb-- bbbbbbbb ------bb ---w---w www-w-ww wwwwwwww --------
false,8.99,-------- bbbbbb-- bbbbbbbb ------bb -w-w---w w-w-w-ww wwwwwwww --------
false,23.09,-------- bbbbbb-- -bbbbbbb b-----bb -w-w---w w-w-w-ww wwwwwwww --------
false,9.06,-------- bbbbbb-- -bbbbbbb b-----bb -w-w---w www-w-ww w-wwwwww --------
false,7.72,-------- bbbbbb-- -bbbb-bb b----bbb -w-w---w www-w-ww w-wwwwww --------
false,11.69,-------- bbbbbb-- -bbbb-bb b----bbb w--w---w www-w-ww w-wwwwww --------
false,7.83,-------- -bbbbb-- bbbbb-bb b----bbb w--w---w www-w-ww w-wwwwww --------
false,16.62,-------- -bbbbb-- bbbbb-bb b----bbb w--w---w www-wwww w-www-ww --------
false,11.02,-------- -bbbbb-- bbbbbb-b b----bbb w--w---w www-wwww w-www-ww --------
false,12.27,-------- -bbbbb-- bbbbbb-b b----bbb w--w---w wwwwwwww w-w-w-ww --------
false,7.09,-------- -bbbbb-- bbbbbb-b b---b-bb w--w---w wwwwwwww w-w-w-ww --------
false,10.92,-------- -bbbbb-- bbbbbb-b b---b-bb w-ww---w ww-wwwww w-w-w-ww --------
false,8.76,-------- -bbbbb-- b-bbbb-b bb--b-bb w-ww---w ww-wwwww w-w-w-ww --------
false,9.96,-------- -bbbbb-- b-bbbb-b bb--b-bb w-ww---w wwwwwwww w---w-ww --------
false,4.86,-------- -bbbbb-- b--bbb-b bbb-b-bb w-ww---w wwwwwwww w---w-ww --------
true,0.0,--W----- -b-bbb-- b--bbb-b bb--b-bb w--w---w wwwwwwww w---w-ww --------
false,17.75,--W----- --bbbb-- b--bbb-b bb--b-bb w--w---w wwwwwwww w---w-ww --------
true,0.0,-------- ---bbb-- b--bbb-b bb---Wbb w--w---w wwwwwwww w---w-ww --------
true,0.0,-------- ---bbb-- b--bb--b bb----bb w--w---w wwwww-ww w--b--ww --------
false,10.79,-------- ---bbb-- b--bb--b bb----bb w---w--w wwwww-ww w--b--ww --------
false,35.01,-------- ---bbb-- b--bb--b bb----bb w---w--w wwwww-ww w-b---ww --------
false,8.93,-------- ---bbb-- b--bb--b bb----bb w----w-w wwwww-ww w-b---ww --------
false,16.80,-------- ---bbb-- b--bb--b b-b---bb w----w-w wwwww-ww w-b---ww --------
false,9.18,-------- ---bbb-- b--bb--b b-b---bb w-----ww wwwww-ww w-b---ww --------
false,7.45,-------- ---bbb-- b--bb--b b-b---bb w-----ww wwwww-ww w-----ww --B-----
true,0.0,-------- ---bbb-- b--bb-wb b-b----b w------w wwwww-ww w-----ww --B-----
false,0.54,-------- ---bbb-- b--bb-wb b-b----b w-B----w ww-ww-ww w-----ww --------
false,8.04,-------- ---bbb-- b--bb-wb b-b----b wwB----w w--ww-ww w-----ww --------
true,0.0,-------- ---bbb-- b--bbb-- b-b----b wwB----w w--ww-ww w-----ww --------
false,7.89,-------- ---bbb-- b--bbb-- b-b----b w--w---w w--ww-ww w-----ww --------
false,1.43,-------- ---bbb-- b--bbb-- b-b---b- w--w---w w--ww-ww w-----ww --------
false,7.61,-------- ---bbb-- b--bbb-- b-b---b- w-w----w w--ww-ww w-----ww --------
true,0.0,-------- ---bbb-- b--bbb-- b-----b- w------w w-bww-ww w-----ww --------
true,0.0,-------- ---bbb-- b--bbb-- b-----b- w------w ww--w-ww w-----ww --------
false,2.39,-------- ---bbb-- b--bb--- b----bb- w------w ww--w-ww w-----ww --------
false,7.10,-------- ---bbb-- b--bb--- b----bb- w------w ww---www w-----ww --------
false,1.95,-------- ---bbb-- b--b---- b---bbb- w------w ww---www w-----ww --------
false,7.06,-------- ---bbb-- b--b---- b---bbb- w-----w- ww---www w-----ww --------
false,1.34,-------- ---bbb-- b--b---- b---bb-b w-----w- ww---www w-----ww --------
false,6.88,-------- ---bbb-- b--b---- b---bb-b w------w ww---www w-----ww --------
false,0.61,-------- ---bbb-- b--b---- b---b-bb w------w ww---www w-----ww --------
true,0.0,-------- ---bbb-- b--b---w b---b-b- w------- ww---www w-----ww --------
false,5.29,-------- ---bbb-- b--b---w b---b--b w------- ww---www w-----ww --------
false,6.59,-------- ---bbb-- b--b---w b---b--b w-----w- ww---w-w w-----ww --------
false,5.95,-------- ---bbb-- b------w b--bb--b w-----w- ww---w-w w-----ww --------
false,6.65,-------- ---bbb-- b------w b--bb--b w-----w- ww---www w------w --------
false,3.86,-------- ---bbb-- b------w b---b--b w--b--w- ww---www w------w --------
false,6.70,-------- ---bbb-- b------w b---b--b w--b---w ww---www w------w --------
false,4.63,-------- ---bbb-- b------w b---b-b- w--b---w ww---www w------w --------
false,6.70,-------- ---bbb-- b------w b---b-b- w--b-w-w ww----ww w------w --------
false,6.53,-------- ---bbb-- b------w b---b-b- w----w-w ww-b--ww w------w --------
false,6.51,-------- ---bbb-w b------- b---b-b- w----w-w ww-b--ww w------w --------
false,5.55,-------- ---bb-bw b------- b---b-b- w----w-w ww-b--ww w------w --------
true,0.0,-------- ---bbw-- b------- b---b-b- w----w-w ww-b--ww w------w --------
true,0.0,-------- ---b--b- b------- b---b-b- w----w-w ww-b--ww w------w --------
false,6.20,-------- ---b--b- b------- b---b-b- w-----ww ww-b--ww w------w --------
false,3.18,-------- ---b---b b------- b---b-b- w-----ww ww-b--ww w------w --------
true,0.0,-------- ---b---b b-----w- b---b--- w------w ww-b--ww w------w --------
false,6.48,-------- ---b---b b-----w- b---b--- w------w ww----ww w--b---w --------
false,6.98,-------- ---b---b b-----w- b---b--w w------- ww----ww w--b---w --------
false,7.48,-------- ---b---b b-----w- b---b--w w------- ww----ww w------w ---B----
false,7.56,-------- ---b---b b------w b---b--w w------- ww----ww w------w ---B----
false,0.66,-------- ---b--b- b------w b---b--w w------- ww----ww w------w ---B----
false,6.84,-------- ---b--b- b------w b---b--w w------- ww---w-w w------w ---B----
false,4.21,-------- ---b--b- b------w b------w w---b--- ww---w-w w------w ---B----
false,6.70,-------- ---b--b- b------w b------w w---b--w ww---w-- w------w ---B----
false,2.92,-------- ---b---- b-----bw b------w w---b--w ww---w-- w------w ---B----
true,0.0,-------- ---b---- b----w-- b------w w---b--w ww---w-- w------w ---B----
false,2.90,-------- ---b---- b----w-- b------w w------w ww--bw-- w------w ---B----
true,0.0,-------- ---b---- b----w-- b------w w------w ww-w---- w------w ---B----
false,1.16,-------- ---b---- b-----B- b------w w------w ww------ w------w --------
false,4.86,-------- ---b---- b-----B- b------w w------w ww-----w w------- --------
false,0.75,-------- ---b---- -b----B- b------w w------w ww-----w w------- --------
true,0.0,-------- ---b---- --w---B- -------w -------w ww-----w w------- --------
false,0.27,-------- ---b---- -------- -------w -------w w------w w------- -B------
false,3.61,-------- ---b---- -------w -------- -------w w------w w------- -B------
false,0.67,-B------ ---b---- -------w -------- -------w w------w w------- --------
false,3.41,-B------ ---b---- -------w -------w -------- w------w w------- --------
false,0.72,-B------ ----b--- -------w -------w -------- w------w w------- --------
false,2.57,-B------ ----b--w -------- -------w -------- w------w w------- --------
false,1.79,-B------ -----b-w -------- -------w -------- w------w w------- --------
false,2.25,-B-----W -----b-- -------- -------w -------- w------w w------- --------
false,4.00,-------W -----b-- -------- -------w -------- w------w w------- -B------
false,2.33,-------W -----b-- -------- -------w -------- w-----w- w------- -B------
false,7.50,-------W -----b-- -------- -------w -------- w-----w- w------- -----B--
false,2.16,-------W -----b-- -------- ------w- -------- w-----w- w------- -----B--
false,8.40,-------W -----b-- -------- ------w- -------- w-----w- w------- --B-----
false,2.43,-------- -----b-- -------- ------w- -------- w-----w- w------- --B----W
false,2.70,-------- --B--b-- -------- ------w- -------- w-----w- w------- -------W
false,2.26,-------- --B--b-- ------w- -------- -------- w-----w- w------- -------W
false,3.16,-------- ----Bb-- ------w- -------- -------- w-----w- w------- -------W
false,2.01,-------- ----Bb-- ------w- -------- -------- w----w-- w------- -------W
false,1.98,-------- ---B-b-- ------w- -------- -------- w----w-- w------- -------W
false,2.07,-------- ---B-b-- ------w- -------- -------- w---w--- w------- -------W
false,2.05,-------- --B--b-- ------w- -------- -------- w---w--- w------- -------W
false,2.22,-------- --B--b-- ------w- -------- -------- w--w---- w------- -------W
false,2.15,-------- --B----- -----bw- -------- -------- w--w---- w------- -------W
true,0.0,-------- --B----- ----w--- -------- -------- w--w---- w------- -------W
false,4.36,-------- ------B- ----w--- -------- -------- w--w---- w------- -------W
false,2.26,-------- ------B- -----w-- -------- -------- w--w---- w------- -------W
false,2.58,-------- ----B--- -----w-- -------- -------- w--w---- w------- -------W
false,1.71,-------- ----B--- -----w-- -------- -------- w-w----- w------- -------W
false,1.69,-------- -------B -----w-- -------- -------- w-w----- w------- -------W
true,0.0,-------W -------- -----w-- -------- -------- w-w----- w------- --------
