AUTO,TIME,BOARD
false,11.76,-------- bbbbbbbb bbbbbbbb -------- ---w---- www-wwww wwwwwwww --------
false,7.27,-------- bbbbbbbb bbbbbbb- -------b ---w---- www-wwww wwwwwwww --------
false,8.47,-------- bbbbbbbb bbbbbbb- -------b ---w--w- www-ww-w wwwwwwww --------
false,5.38,-------- bbbbbbbb bbbbb-b- -----b-b ---w--w- www-ww-w wwwwwwww --------
false,7.46,-------- bbbbbbbb bbbbb-b- -----b-b w--w--w- -ww-ww-w wwwwwwww --------
false,14.91,-------- bbbbbbbb bbbb--b- ----bb-b w--w--w- -ww-ww-w wwwwwwww --------
false,6.87,-------- bbbbbbbb bbbb--b- ----bb-b w--w-w-- -ww-ww-w wwwwwwww --------
false,6.88,-------- bbbbbbbb bbb---b- ---bbb-b w--w-w-- -ww-ww-w wwwwwwww --------
true,0.0,-------W bbbbbbb- bbb----- ---bb--b w--w---- -ww-ww-w wwwwwwww --------
true,0.0,-------W bbbbbbb- bbb----- ----b--b w------- -ww-ww-w www-wwww ---B----
true,0.0,-------- bbbbbbb- bbb----- ----b--- w------W -ww-ww-w www-wwww ---B----
false,22.56,-------- bbbbbbb- bbb----- -------- w---b--W -ww-ww-w www-wwww ---B----
true,0.0,---W---- bbb-bbb- bbb----- -------- w------- -ww-ww-w www-wwww ---B----
false,14.78,---W---- bbb-bbb- bbb----- -------- w------- -ww-ww-w www-wwww -B------
false,5.57,---W---- bbb-bbb- bbb----- -------- w------- w-w-ww-w www-wwww -B------
true,0.0,---W---- bbb-bbb- bbb----- -------- w------- w--Bww-w w-w-wwww --------
false,4.77,-------- bbb-bbb- bbb----- -------- w------- w---ww-w w-w-wwww ---W----
false,10.21,-------- bbb-bb-- bbb---b- -------- w------- w---ww-w w-w-wwww ---W----
false,5.26,-------- bbb-bb-- bbb---b- -------- w----w-- w---w--w w-w-wwww ---W----
false,23.74,-------- bbbb-b-- bbb---b- -------- w----w-- w---w--w w-w-wwww ---W----
true,0.0,---W---- bbb--b-- bbb---b- -------- w----w-- w---w--w w-w-wwww --------
false,37.80,---W---- bb-b-b-- bbb---b- -------- w----w-- w---w--w w-w-wwww --------
true,0.0,-------- bb---b-- bbb----W -------- w----w-- w---w--w w-w-wwww --------
false,27.77,-------- bb---b-- bb-b---W -------- w----w-- w---w--w w-w-wwww --------
true,0.0,-------- bb---b-- bbW----- -------- w----w-- w---w--w w-w-wwww --------
true,0.0,-------- bb---b-- b--b---- -------- w----w-- w---w--w w-w-wwww --------
false,5.58,-------- bb---b-- b--b---- -----w-- w------- w---w--w w-w-wwww --------
false,4.07,-------- bb---b-- b------- ---b-w-- w------- w---w--w w-w-wwww --------
false,4.92,-------- bb---b-- b------- ---b-w-- w------- w---w-ww w-w-ww-w --------
false,4.70,-------- bb---b-- b------- -----w-- w--b---- w---w-ww w-w-ww-w --------
false,4.31,-------- bb---b-- b------- -----w-- w--b---- w---w-ww w-ww-w-w --------
false,5.72,-------- b----b-- bb------ -----w-- w--b---- w---w-ww w-ww-w-w --------
false,4.25,-------- b----b-- bb------ -----w-- w--b---- w--w--ww w-ww-w-w --------
false,8.41,-------- b----b-- bb------ -----w-- w---b--- w--w--ww w-ww-w-w --------
false,4.25,-------- b----b-- bb------ -----w-- w---b--- w--w--ww w-w-ww-w --------
false,5.61,-------- b----b-- bb------ -----w-- w------- w--wb-ww w-w-ww-w --------
false,3.45,-------- b----b-- bb------ -----w-- w---w--- w--w--ww w-w--w-w --------
false,9.88,-------- b----b-- b-b----- -----w-- w---w--- w--w--ww w-w--w-w --------
false,3.69,-------- b----b-- b-b----- -----w-- w---w--- w-ww--ww w----w-w --------
false,19.19,-------- b----b-- b------- --b--w-- w---w--- w-ww--ww w----w-w --------
false,3.26,-------- b----b-- b------- w-b--w-- ----w--- w-ww--ww w----w-w --------
true,0.0,-------- b----b-- -------- --b--w-- b---w--- w-ww--ww w----w-w --------
true,0.0,-------- b----b-- -------- w-b--w-- ----w--- --ww--ww w----w-w --------
false,10.00,-------- b----b-- -------- w--b-w-- ----w--- --ww--ww w----w-w --------
false,2.44,-------- b----b-- -------- w--b-w-- ---w---- --ww--ww w----w-w --------
false,3.33,-------- b----b-- -------- w-b--w-- ---w---- --ww--ww w----w-w --------
false,2.96,-------- b----b-- -------- w-b--w-- ---w---w --ww--w- w----w-w --------
false,8.00,-------- b----b-- -------- w----w-- --bw---w --ww--w- w----w-w --------
false,2.07,-------- b----b-- -------- w-w--w-- ---w---w ---w--w- w----w-w --------
false,4.46,-------- b-----b- -------- w-w--w-- ---w---w ---w--w- w----w-w --------
false,2.38,-------- b-----b- -----w-- w-w----- ---w---w ---w--w- w----w-w --------
false,5.50,-------- b------b -----w-- w-w----- ---w---w ---w--w- w----w-w --------
false,1.77,-------- b------b -----w-- w-w----- ---w---w ---w---w w----w-w --------
false,1.59,-------- b------- -----w-b w-w----- ---w---w ---w---w w----w-w --------
false,1.37,-------- b------- --w--w-b w------- ---w---w ---w---w w----w-w --------
false,0.39,-------- b------- --w--w-- w------b ---w---w ---w---w w----w-w --------
true,0.0,-------- b------- --w--w-w w------- ---w---- ---w---w w----w-w --------
false,0.22,-------- -------- b-w--w-w w------- ---w---- ---w---w w----w-w --------
true,0.0,-------- w------- --w--w-w -------- ---w---- ---w---w w----w-w --------
