AUTO,TIME,BOARD
false,57.84,-------- bbbbbbbb bbbbbbbb -------- -w------ w-wwwwww wwwwwwww --------
false,3.82,-------- bbbbbbbb bbbbbbb- -------b -w------ w-wwwwww wwwwwwww --------
false,55.50,-------- bbbbbbbb bbbbbbb- -------b -w----w- w-wwww-w wwwwwwww --------
false,10.19,-------- bbbbbbbb bbbbb-b- -----b-b -w----w- w-wwww-w wwwwwwww --------
false,50.28,-------- bbbbbbbb bbbbb-b- -----b-b -w----w- w-wwwwww wwwwww-w --------
false,11.79,-------- bbbbbbbb bbbbb--b -----b-b -w----w- w-wwwwww wwwwww-w --------
false,57.66,-------- bbbbbbbb bbbbb--b -----b-b -w-w--w- w-w-wwww wwwwww-w --------
false,16.87,-------- bbbbbbbb bbbb---b ----bb-b -w-w--w- w-w-wwww wwwwww-w --------
false,43.52,-------- bbbbbbbb bbbb---b ----bb-b -w-w--w- w-wwwwww www-ww-w --------
false,19.10,-------- bbbbbbbb bbbb---b ----bb-- -w-w--wb w-wwwwww www-ww-w --------
true,0.0,-------- bbbbbbbb bbbb---b ----bb-w -w-w--w- w-wwwww- www-ww-w --------
true,0.0,-------- bbbbbbbb bbbb---- ----bb-- -w-w-b-- w-wwwww- www-ww-w --------
false,46.40,-------- bbbbbbbb bbbb---- ----bb-- -w-w-b-- wwwwwww- w-w-ww-w --------
false,11.11,-------- bbbbbbbb -bbb---- b---bb-- -w-w-b-- wwwwwww- w-w-ww-w --------
false,51.36,-------- bbbbbbbb -bbb---- b---bb-- -w-w-b-- wwwwww-w w-w-ww-w --------
false,17.40,-------- bbbbbbbb b-bb---- b---bb-- -w-w-b-- wwwwww-w w-w-ww-w --------
false,44.06,-------- bbbbbbbb b-bb---- b---bb-- w--w-b-- wwwwww-w w-w-ww-w --------
false,12.13,-------- bbbbbbb- b-bb---b b---bb-- w--w-b-- wwwwww-w w-w-ww-w --------
false,39.85,-------- bbbbbbb- b-bb---b b---bb-- w--w-b-- wwwwww-w w-ww-w-w --------
false,15.53,-------- bbbbbbb- b-bb---- b---bb-b w--w-b-- wwwwww-w w-ww-w-w --------
false,45.85,-------- bbbbbbb- b-bb---- b---bb-b w--w-b-- wwwwww-w w-www--w --------
true,0.0,-------- bbbbbbb- b-bb---- b---bb-b w--w---- wwwww--w w-wwwb-w --------
true,0.0,-------- bbbbbbb- b-bb---- b---bb-b w--w---- wwwww--w w-ww--ww --------
false,12.04,-------- bbbbbbb- b--b---- b-b-bb-b w--w---- wwwww--w w-ww--ww --------
false,41.17,-------- bbbbbbb- b--b---- b-b-bb-b w--w---- wwwww-ww w-ww---w --------
false,12.73,-------- bbbbbb-- b--b--b- b-b-bb-b w--w---- wwwww-ww w-ww---w --------
false,35.88,-------- bbbbbb-- b--b--b- b-b-bb-b w--w--w- wwwww--w w-ww---w --------
false,11.80,-------- bbbbb--- b--b-bb- b-b-bb-b w--w--w- wwwww--w w-ww---w --------
false,33.58,-------- bbbbb--- b--b-bb- b-b-bb-b w--w---w wwwww--w w-ww---w --------
false,2.19,-------- bbbbb--- b--b-bb- b-b-bbb- w--w---w wwwww--w w-ww---w --------
false,36.83,-------- bbbbb--- b--b-bb- b-b-bbbw w--w---- wwwww--w w-ww---w --------
