AUTO,TIME,BOARD
false,1.85,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,2.36,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,5.06,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,5.18,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,4.55,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,7.54,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,14.23,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,10.90,-------- bbbbbbbb b-b-b--b -b-b-bb- ----w--w wwwwwwww wwww-ww- --------
false,18.19,-------- bbbbbbbb b-b-b--b -b-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,19.72,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,22.25,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,11.87,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,19.45,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-w-w --------
false,11.89,-------- bbbbbb-b --b-b-bb bb-b-b-b --w-w--w wwwwwwww ww-w-w-w --------
false,30.42,-------- bbbbbb-b --b-b-bb bb-b-b-b --w-w-ww wwwwww-w ww-w-w-w --------
false,11.30,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-w-ww wwwwww-w ww-w-w-w --------
false,25.41,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-ww-w wwwwww-w ww-w-w-w --------
false,9.83,-------- bbbbbb-b --b-bb-b bb-bb--b --w-ww-w wwwwww-w ww-w-w-w --------
false,17.57,-------- bbbbbb-b --b-bb-b bb-bb--b --w-ww-w wwwwww-w ww-w-ww- --------
false,9.16,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-ww-w wwwwww-w ww-w-ww- --------
false,17.88,-------- bbbbbb-b --b-bb-b bb-b-b-b --w-ww-w wwwwwwww ww-w-w-- --------
false,9.83,-------- bbbbbb-b --b-bb-b bb-b-bb- --w-ww-w wwwwwwww ww-w-w-- --------
false,21.68,-------- bbbbbb-b --b-bb-b bb-b-bb- --w-ww-w wwwwwwww ww-w--w- --------
false,9.60,-------- bbbbbb-b ---bbb-b bb-b-bb- --w-ww-w wwwwwwww ww-w--w- --------
false,11.62,-------- bbbbbb-b ---bbb-b bbwb-bb- ----ww-w wwwwwwww ww-w--w- --------
false,2.00,-------- bbbbbb-b ---bb-bb bbwb-bb- ----ww-w wwwwwwww ww-w--w- --------
true,0.0,-----W-- bbbbb--b ---bb-bb bbwb--b- ----w--w wwwwwwww ww-w--w- --------
false,2.60,-----W-- bbbbb--b ---bbb-b bbwb--b- ----w--w wwwwwwww ww-w--w- --------
true,0.0,-------- bbbbb--b ---bb--b bbwb---W ----w--w wwwwwwww ww-w--w- --------
false,0.58,-------- bbbbb--b ---bb--b bbw-b--W ----w--w wwwwwwww ww-w--w- --------
true,0.0,-------- bbbbb--b ---bb--b bbwW---- ----w--w wwwwwwww ww-w--w- --------
true,0.0,-------- bbbbb--b ----b--b bbw----- -------w wwwww-ww ww-w---b --------
false,19.50,-------- bbbbb--b ----b--b bbw----- ------ww wwwww--w ww-w---b --------
true,0.0,-------- bbbbb--b ----b--b b--b---- ------ww wwwww--w ww-w---b --------
false,35.94,-------- bbbbb--b ----b--b b--b---- --w---ww ww-ww--w ww-w---b --------
false,39.22,-------- bbb-b--b ---bb--b b--b---- --w---ww ww-ww--w ww-w---b --------
false,52.49,-------- bbb-b--b ---bb--b b--b---- --w-w-ww ww-w---w ww-w---b --------
false,34.34,-------- bbbb---b ---bb--b b--b---- --w-w-ww ww-w---w ww-w---b --------
false,37.26,-------- bbbb---b ---bb--b b--b---- --w-w-ww www----w ww-w---b --------
false,19.60,-------- bb-b---b --bbb--b b--b---- --w-w-ww www----w ww-w---b --------
false,26.65,-------- bb-b---b --bbb--b b--b--w- --w-w--w www----w ww-w---b --------
false,21.78,-------- bb-b---b --bbb--b b--b--w- --w-w--w www----w ww-w---- -------B
false,28.60,-------- bb-b---b --bbb-wb b--b---- --w-w--w www----w ww-w---- -------B
true,0.0,-------- bb-b---b --bbbb-- b--b---- --w-w--w www----w ww-w---- -------B
false,36.36,-------- bb-b---b --bbbb-- b--bw--- --w----w www----w ww-w---- -------B
false,2.74,-------- bb-b---b --bb-b-- b--b---- --w-b--w www----w ww-w---- -------B
false,22.86,-------- bb-b---b --bb-b-- b--b---- --w-b--w www---w- ww-w---- -------B
false,2.01,-------- bb-b---b --bb-b-B b--b---- --w-b--- www---w- ww-w---- --------
false,31.04,-------- bb-b---b --bb-b-B b--b---- --w-b--- www----w ww-w---- --------
true,0.0,-------- bb-b---b --bb-b-- b--b---- --w-b--- www----- wwB----- --------
true,0.0,-------- bb-b---b --bb-b-- b--b---- --w-b--- www----- w--w---- --------
false,4.87,-------- bb-b---b --bb---- b--b-b-- --w-b--- www----- w--w---- --------
false,8.12,-------- bb-b---b --bb---- b--b-b-- -ww-b--- w-w----- w--w---- --------
false,4.28,-------- bb-b---b --bb---- b--b---- -ww-bb-- w-w----- w--w---- --------
false,7.31,-------- bb-b---b --bb---- b--b---- -ww-bb-- w-w----- w---w--- --------
false,3.07,-------- bb-b---b --bb---- b--b---- -ww-b--- w-w--b-- w---w--- --------
false,6.48,-------- bb-b---b --bb---- bw-b---- --w-b--- w-w--b-- w---w--- --------
true,0.0,-------- bb-b---b --bb---- --bb---- --w-b--- w-w--b-- w---w--- --------
false,11.99,-------- bb-b---b --bb---- --bb---- --w-b--- w-w-wb-- w------- --------
true,0.0,-------- bb-b---b --bb---- --bb---- --w-b--- wb------ w------- --------
true,0.0,-------- bb-b---b --bb---- --bb---- --w-b--- --w----- w------- --------
false,1.96,-------- bb-b---b --bb---- --bb---- --w----- --w-b--- w------- --------
false,1.94,-------- bb-b---b --bb---- --bb---- --w----- w-w-b--- -------- --------
false,1.70,-------- bb-b---b --bb---- --bb---- --w----- w-w----- ----b--- --------
false,1.48,-------- bb-b---b --bb---- --bb---- -w------ w-w----- ----b--- --------
false,3.08,-------- bb-b---b --bb---- --bb---- -w------ w-w----- -------- ----B---
false,4.17,-------- bb-b---b --bb---- --bb---- -ww----- w------- -------- ----B---
true,0.0,-------- bb-b---b --bb---- ---b---- -w------ w-b----- -------- ----B---
false,0.36,-------- bb-b---b --bb---- ---b---- ww------ --b----- -------- ----B---
false,0.26,-------- bb-b---b --bb---- ---b---- ww------ --b----- -------- -------B
false,0.55,-------- bb-b---b --bb---- -w-b---- w------- --b----- -------- -------B
false,0.47,-------- bb-b---b --bb---- -w-b---- w------- --b----- -------- B-------
false,0.04,-------- bb-b---b --bb---- ww-b---- -------- --b----- -------- B-------
true,0.0,-------- bb-b---b B-bb---- -w-b---- -------- --b----- -------- --------
