AUTO,TIME,BOARD
false,1.63,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,6.26,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,4.13,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.37,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,4.42,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,5.86,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,14.30,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,7.36,-------- bbbbbbbb b-b-b--b -b-b-bb- ----w--w wwwwwwww wwww-ww- --------
false,14.88,-------- bbbbbbbb b-b-b--b -b-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,3.69,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w ww-wwwww wwww-ww- --------
false,18.10,-------- bbbbbbbb --b-b--b bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,2.17,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-ww- --------
false,16.08,-------- bbbbbb-b --b-b-bb bb-b-bb- --w-w--w wwwwwwww ww-w-w-w --------
false,2.35,-------- bbbbbb-b --b--bbb bb-b-bb- --w-w--w wwwwwwww ww-w-w-w --------
false,15.62,-------- bbbbbb-b --b--bbb bb-b-bbw --w-w--- wwwwwwww ww-w-w-w --------
true,0.0,-------- bbbbbb-b --b--bb- bb-b-bb- --w-w--b wwwwwwww ww-w-w-w --------
true,0.0,-------- bbbbbb-b --b--bb- bb-b-bbw --w-w--- wwwwwww- ww-w-w-w --------
false,1.58,-------- bbbb-b-b --b-bbb- bb-b-bbw --w-w--- wwwwwww- ww-w-w-w --------
false,14.17,-------- bbbb-b-b --b-bbb- bb-b-bbw --w--w-- wwwwwww- ww-w-w-w --------
false,1.69,-------- bbbb-b-b --b-bbb- bb-bb-bw --w--w-- wwwwwww- ww-w-w-w --------
true,0.0,-------- bbbb-b-b --b-bbb- bb-bbw-- --w--w-- wwwwwww- ww-w-w-w --------
true,0.0,-------- bbbb-b-b --b-bbb- bb-b--b- --w--w-- wwwwwww- ww-w-w-w --------
false,27.29,-------- bbbb-b-b --b-bbb- bb-b--b- --w--w-- wwwwwwww ww-w-w-- --------
false,2.54,-------- bbbb-b-b --b-bbb- bb-b---b --w--w-- wwwwwwww ww-w-w-- --------
false,29.91,-------- bbbb-b-b --b-bbb- bb-b---b --w--ww- wwwwww-w ww-w-w-- --------
