AUTO,TIME,BOARD
false,1.61,-------- bbbbbbbb bbbbbbbb -------- -------w wwwwwww- wwwwwwww --------
false,5.24,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwww- wwwwwwww --------
false,4.10,-------- bbbbbbbb bbbbbb-b ------b- -------w wwwwwwww wwwwwww- --------
false,3.98,-------- bbbbbbbb bbbbb--b -----bb- -------w wwwwwwww wwwwwww- --------
false,4.45,-------- bbbbbbbb bbbbb--b -----bb- ----w--w wwww-www wwwwwww- --------
false,5.77,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwww-www wwwwwww- --------
false,14.34,-------- bbbbbbbb bbb-b--b ---b-bb- ----w--w wwwwwwww wwww-ww- --------
false,12.78,-------- bbbbbbbb bb--b--b --bb-bb- ----w--w wwwwwwww wwww-ww- --------
false,13.33,-------- bbbbbbbb bb--b--b --bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,3.89,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w w-wwwwww wwww-ww- --------
false,18.18,-------- bbbbbbbb -b--b--b b-bb-bb- -w--w--w wwwwwwww w-ww-ww- --------
false,4.70,-------- bbbbbbbb -b--b--b --bb-bb- bw--w--w wwwwwwww w-ww-ww- --------
true,0.0,-------- bbbbbbbb -b--b--b w-bb-bb- -w--w--w -wwwwwww w-ww-ww- --------
false,4.67,-------- bbbbbb-b -b--b-bb w-bb-bb- -w--w--w -wwwwwww w-ww-ww- --------
false,18.84,-------- bbbbbb-b -b--b-bb w-bb-bb- -w--w--w wwwwwwww --ww-ww- --------
false,3.66,-------- bbbbb--b -b--bbbb w-bb-bb- -w--w--w wwwwwwww --ww-ww- --------
false,8.87,-------- bbbbb--b -b--bbbb w-bb-bb- ww--w--w -wwwwwww --ww-ww- --------
false,9.83,-------- bbb-b--b -b-bbbbb w-bb-bb- ww--w--w -wwwwwww --ww-ww- --------
false,11.06,-------- bbb-b--b -b-bbbbb w-bb-bb- ww--w--w -wwwwwww --ww-w-w --------
false,2.65,-------- bb--b--b -bbbbbbb w-bb-bb- ww--w--w -wwwwwww --ww-w-w --------
false,9.80,-------- bb--b--b -bbbbbbb w-bb-bb- ww--w-ww -wwwww-w --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbbbb w-bb-b-- ww--w--w -wwwwwbw --ww-w-w --------
false,16.52,-------- bb--b--b -bbbbbbb w-bb-b-w ww--w--- -wwwwwbw --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbbb- w-bb-b-- ww--w--b -wwwwwbw --ww-w-w --------
true,0.0,-------- bb--b--b -bbbbbb- w-bb-b-w ww--w--- -wwwwwb- --ww-w-w --------
false,0.97,-------- bb--b--b -bbbbbb- w-bb-b-w ww--w--- -wwwww-- --ww-wbw --------
false,4.69,-------- bb--b--b -bbbbbb- w-bb-b-w ww--w--- -wwwww-w --ww-wb- --------
true,0.0,-------- bb--b--b -bbbbbb- w-bb-b-w ww--w--- -wwwww-w --wwb--- --------
true,0.0,-------- bb--b--b -bbbbbb- w-bb-b-w ww--w--- -wwwww-w --w--w-- --------
false,13.77,-------- bb--b--b -bbbbbb- w-b-bb-w ww--w--- -wwwww-w --w--w-- --------
false,20.89,-------- bb--b--b -bbbbbb- w-b-bb-w ww--w--w -wwwww-- --w--w-- --------
false,14.89,-------- bb--b--b -bb-bbb- w-bbbb-w ww--w--w -wwwww-- --w--w-- --------
false,15.32,-------- bb--b--b -bb-bbb- w-bbbb-w ww--w--w -wwwww-- --w---w- --------
false,8.29,-------- bb--b--b -bb-bbb- wb-bbb-w ww--w--w -wwwww-- --w---w- --------
true,0.0,-------- bbw-b--b -b--bbb- ---bbb-w ww--w--w -wwwww-- --w---w- --------
true,0.0,-------- b--bb--b -b--bbb- ---bbb-w ww--w--w -wwwww-- --w---w- --------
false,13.33,-------- b--bb--b -b--bbb- ---bbb-w ww--w--w -wwwwww- --w----- --------
false,7.78,-------- b---b--b -b-bbbb- ---bbb-w ww--w--w -wwwwww- --w----- --------
false,14.06,-------- b---b--b -b-bbbb- ---bbb-w ww--w-ww -wwwww-- --w----- --------
false,4.50,-------- b---b--b -b-bbb-- ---bbbbw ww--w-ww -wwwww-- --w----- --------
true,0.0,-------- b---b--b -b-bbbw- ---bbb-w ww--w--w -wwwww-- --w----- --------
true,0.0,-------- b---b--b -b-bb--b ---bbb-w ww--w--w -wwwww-- --w----- --------
false,6.17,-------- b---b--b -b-bb--b ---bbb-w ww--ww-w -wwww--- --w----- --------
true,0.0,-------- b---b--b -b-bb--b ---bb--w ww--w--w -wwwwb-- --w----- --------
true,0.0,-------- b---b--b -b-bb--b ---bb--w ww--w--w -www--w- --w----- --------
true,0.0,-------- b---b--b -b-bb--b ---b---w ww-----w -wwwb-w- --w----- --------
true,0.0,-------- b---b--b -b-bb--b ---b---w ww-----w -ww--ww- --w----- --------
false,5.02,-------- b---b--b -b-bb--b -------w ww-b---w -ww--ww- --w----- --------
false,8.76,-------- b---b--b -b-bb--b -------w ww-b--ww -ww--w-- --w----- --------
false,9.46,-------- b---b--b -b-b---b ----b--w ww-b--ww -ww--w-- --w----- --------
false,8.72,-------- b---b--b -b-b---b ----b--w ww-b-www -ww----- --w----- --------
false,4.50,-------- b---b--b -b-b---b -------w ww-bbwww -ww----- --w----- --------
false,8.00,-------- b---b--b -b-b---b -------w ww-bbwww -ww----- ---w---- --------
false,4.24,-------- b---b--b -b-b---b -------w ww-b-www -ww-b--- ---w---- --------
false,11.58,-------- b---b--b -b-b---b -------w ww-bw-ww -ww-b--- ---w---- --------
true,0.0,-------- b---b--b -b-b---b -------w ww---bww -ww-b--- ---w---- --------
true,0.0,-------- b---b--b -b-b---b -------w ww--w--w -ww-b--- ---w---- --------
false,11.55,-------- b---b--b -b-----b ---b---w ww--w--w -ww-b--- ---w---- --------
false,16.30,-------- b---b--b -b-----b w--b---w -w--w--w -ww-b--- ---w---- --------
false,8.01,-------- b---b--b -b-----b w--b---w -w--w--w -ww--b-- ---w---- --------
false,27.12,-------- b---b--b -b-----b w--bw--w -w-----w -ww--b-- ---w---- --------
true,0.0,-------- b---b--b -b-----b w----b-w -w-----w -ww--b-- ---w---- --------
false,15.94,-------- b---b--b -b-----b w----b-w -w-----w -ww--b-- ----w--- --------
false,5.72,-------- b---b--b -b-----b w----b-w -w-----w -ww---b- ----w--- --------
false,13.00,-------- b---b--b -b-----b w----b-w -w-----w -ww---b- -----w-- --------
false,6.88,-------- b---b--b -b-----b w----b-w -w-----w -ww----b -----w-- --------
false,4.76,-------- b---b--b -b-----b ww---b-w -------w -ww----b -----w-- --------
true,0.0,-------- b---b--b -------b w----b-w -------w --w----b -b---w-- --------
false,4.58,-------- b---b--b -------b w----bw- -------w --w----b -b---w-- --------
true,0.0,-------- b---b--b -------b w------b -------w --w----b -b---w-- --------
false,3.88,-------- b---b--b -------b w------b -------w --w--w-b -b------ --------
false,5.60,-------- b---b--b -------b w------b -------w --w--w-- -b-----b --------
false,2.25,-------- b---b--b -------b w------b -----w-w --w----- -b-----b --------
true,0.0,-------- b---b--b -------b w------- -----w-- --w----b -b-----b --------
false,4.57,-------- b---b--b -------b w------- --w--w-- -------b -b-----b --------
false,5.15,-------- b---b--b -------b w------- --w--w-- -------b -b------ -------B
false,12.25,-------- b---b--b -------b w----w-- --w----- -------b -b------ -------B
false,3.84,-------- b---b--b -------b w----w-- --w----- -------b -b------ B-------
false,1.70,-------- b---b--b -------b w-w--w-- -------- -------b -b------ B-------
true,0.0,-------- b---b--b B------b --w--w-- -------- -------b -b------ --------
false,0.85,-------- b---b--b B----w-b --w----- -------- -------b -b------ --------
true,0.0,-------- b---b--b ------Bb --w----- -------- -------b -b------ --------
